,instance,RESPONSE
0,potato/potato_3,small sweet potato
1,banana/banana_4,there is a ripe banana with the back of its curve facing me
2,food_can/food_can_3,again used for containing food
3,book/book_2,a red hardback book
4,allen_wrench/allen_wrench_5,a set of Allen wrenches
5,marker/marker_2,this is a marker
6,allen_wrench/allen_wrench_4,this is a type of tool that is used to tighten objects
7,bell_pepper/bell_pepper_2,a red bell pepper
8,screwdriver/screwdriver_4,it is a black and yellow screwdriver
9,allen_wrench/allen_wrench_5,it's a tool
10,fork/fork_2,a silver fork
11,lime/lime_3,he's a green lime
12,toothbrush/toothbrush_2,it is a presidio 242 cleaning
13,potato/potato_2,it is a potato a vegetable
14,cell_phone/cell_phone_1,Asus smartphone
15,can_opener/can_opener_2,it's a bunch
16,food_can/food_can_5,a can of corn
17,band_aid/band_aid_2,a box of CareOne flexible fabric bandages
18,syringe/syringe_3,a blunt tip syringe sits on the white turntable it's got a turquoise colored tip that extends to the metal to its blunt as I said so as no point and it's quite wide so quite a large gauge
19,lightbulb/lightbulb_1,DC BBQ sauce for lighting
20,band_aid/band_aid_1,a box of Toy Story Band-Aids
21,food_can/food_can_5,that is a can of something possibly a can of corn
22,shampoo/shampoo_3,this is a blue-collar shower gel used for
23,band_aid/band_aid_4,the Box Band-Aid laying down
24,screwdriver/screwdriver_2,this is a screwdriver and the handle looks like it's plastic and the colors on it is like a lighter blue yellow and a darker blue
25,marker/marker_4,this is a black colored marker used on lighting
26,onion/onion_4,it is a whole white onion
27,gauze/gauze_2,a blue box filled with gauze pads
28,bell_pepper/bell_pepper_4,it is an orange bell pepper
29,plate/plate_3,it's a plate
30,book/book_3,it said book
31,lime/lime_1,Edison lemon green color used for making lemonade
32,food_jar/food_jar_3,this is a picture into a glass bottle
33,plate/plate_4,that is a green plate people usually eat food off of plates
34,lime/lime_3,a fresh green lime
35,potato/potato_3,this is a red potato is a starchy vegetable
36,onion/onion_5,it is a vegetable steamer
37,potato/potato_4,object is a small potato
38,toothbrush/toothbrush_5,white handle toothbrush
39,presciption_medicine_bottle/presciption_medicine_bottle_1,a prescription bottle
40,picture_frame/picture_frame_2,a book is a black picture frame with three panels that holds three separate pictures
41,screwdriver/screwdriver_4,a Phillips head screwdriver with a black round handle
42,lime/lime_5,a lime
43,bell_pepper/bell_pepper_3,a green pepper
44,eye_glasses/eye_glasses_2,this isn't glass used for chatting
45,can_opener/can_opener_2,lime green can opener
46,medicine_bottle/medicine_bottle_4,black or dark Amber bottle with a yellow label going around a I can C supplement facts on it I think there's some sort of vitamin has a yellow cap that flips open
47,screwdriver/screwdriver_4,this is the screwdriver used for driving screws
48,shampoo/shampoo_5,it's a blue Argan Oil shampoo
49,band_aid/band_aid_1,a box of Toy Story Band-Aids
50,hand_towel/hand_towel_1,this is a yellow color clothes used for painting something
51,stapler/stapler_4,this is a stapler that is used to staple paper papers together
52,bell_pepper/bell_pepper_3,this is a green pepper
53,toothpaste/toothpaste_1,Complete Care toothpaste
54,lime/lime_3,this is the Lemon used for making London
55,lime/lime_1,a green color around vegetable stays on the turntable
56,hammer/hammer_6,there is a hammer with a wooden handle
57,band_aid/band_aid_2,backside of a Band-Aid box
58,lightbulb/lightbulb_5,there is what looks like a small outlet plug but I'm not exactly sure maybe a little flashlight connected to it
59,gauze/gauze_1,a gauze in plastic wrap
60,book/book_5,disassemble our knowledge or maybe that is sometimes
61,potato/potato_5,it is a sweet potato
62,bell_pepper/bell_pepper_3,the object is a medium or large size green pepper
63,screwdriver/screwdriver_1,a Craftsman flat-head screwdriver it's got a black handle with red accents and white lettered Craftsman on a red background and then red at the tip and right where the screw the metal portion of the screwdriver meets the handle
64,marker/marker_2,I just had black colored marker weekend right
65,potato/potato_1,a russet potato
66,fork/fork_2,object has a somewhat larger silver fork
67,medicine_bottle/medicine_bottle_1,it is a partially used bottle of DayQuil cold medicine
68,band_aid/band_aid_5,there is a blue and white Band-Aid box
69,lemon/lemon_1,this is the yellow color lemon used for making love
70,medicine_bottle/medicine_bottle_3,a plastic bottle over the counter medication
71,bell_pepper/bell_pepper_3,green capsicum is on YouTube
72,picture_frame/picture_frame_1,it's a simple white picture frame
73,banana/banana_5,this is a banana it is yellow
74,apple/apple_1,the object has a yellow apple
75,water_bottle/water_bottle_2,it is a bottle of water
76,bowl/bowl_3,it is a red ceramic Bowl
77,scissors/scissors_1,it's a tool
78,scissors/scissors_5,this is this desert used for cutting paper or something else
79,spoon/spoon_2,it's a spoon
80,medicine_bottle/medicine_bottle_3,backside of a bottle of pills
81,syringe/syringe_3,businesses shouldn't use for injecting medicine
82,coffee_mug/coffee_mug_3,and all white coffee cup
83,toothpaste/toothpaste_3,this is a white 2 with a blue label it holds some type of paste
84,marker/marker_5,it is a black Sharpie marker
85,onion/onion_5,the object is a yellow or sweet onion has kind of an orange has orange peel to it
86,coffee_mug/coffee_mug_4,that is a tea cup with a flower design
87,pliers/pliers_4,black handles cutters
88,band_aid/band_aid_2,it's a blue box of Band-Aids
89,fork/fork_1,a metal dinner Fork
90,toothpaste/toothpaste_2,Institute best
91,allen_wrench/allen_wrench_4,an allen key
92,bell_pepper/bell_pepper_5,this is the yellow paper
93,eye_glasses/eye_glasses_3,it's a glass
94,pliers/pliers_1,looking at a pair of pliers they're rather small with a pink grip
95,apple/apple_4,object is a red delicious apple
96,eye_glasses/eye_glasses_2,a pair of Optical Eyeglasses
97,cell_phone/cell_phone_1,a cell phone it looks like an older model compared to the ones from nowadays and I don't think it's an iPhone I think it's Android but I'm not completely certain
98,apple/apple_1,a yellow apple
99,pencil/pencil_2,it is a blue pen
100,stapler/stapler_1,it's a magenta stapler
101,hammer/hammer_4,it's a small black and yellow hammer
102,banana/banana_4,it is a whole unpeeled single banana
103,lightbulb/lightbulb_4,it is a light bulb
104,bell_pepper/bell_pepper_1,this is a bright red vegetable it has four bucks on one side and a stem on the other
105,soda_bottle/soda_bottle_2,there is a bottle of Coca-Cola
106,stapler/stapler_3,a purple stapler
107,banana/banana_2,this is the number of bananas
108,plate/plate_5,a square ceramic plate
109,food_can/food_can_1,can of tomatoes
110,pencil/pencil_4,is it been inducers for writing
111,picture_frame/picture_frame_2,triple frame picture frame
112,screwdriver/screwdriver_5,a small screwdriver with a red and black handle
113,toothpaste/toothpaste_3,I'm looking at a blue bottle of toothpaste
114,bowl/bowl_2,deceptive blue color glass about
115,bowl/bowl_2,it's a blue bow
116,soda_bottle/soda_bottle_3,this is a bottle of Coca-Cola it's a type of soda pump
117,hand_towel/hand_towel_3,object is a white kitchen towel that has some kind of red patterns on it
118,picture_frame/picture_frame_4,that is a photo frame
119,eye_glasses/eye_glasses_3,a pair of blue see-through glasses
120,tissue_box/tissue_box_1,this is a tissue paper used for sighting space
121,band_aid/band_aid_2,this is a product
122,coffee_mug/coffee_mug_5,this is a white cup is used to put beverages in
123,scissors/scissors_4,scissors with grey and orange handle
124,onion/onion_2,onion is on the table
125,scissors/scissors_1,black handled pair of scissors
126,stapler/stapler_4,this is a stapler
127,lime/lime_1,a lime
128,band_aid/band_aid_2,there is a small blue box of bandages
129,band_aid/band_aid_4,it is a blue and white box containing Band-Aids
130,hammer/hammer_5,pink and black hammer
131,plate/plate_1,the object is a white paper plate with blue flowers that's a design
132,toothpaste/toothpaste_4,this is a jar of toothpaste
133,marker/marker_2,looking at a black Magic Marker
134,scissors/scissors_6,those are scissors you use them to cut things like paper
135,soda_bottle/soda_bottle_1,it's a dr. pepper soda
136,can_opener/can_opener_4,it is a manual can opener
137,toothbrush/toothbrush_4,a white and blue toothbrush
138,lime/lime_3,object is a lime
139,syringe/syringe_4,it says City inch
140,onion/onion_2,the object appears to be a sweet or yellow onion
141,plate/plate_3,a red ceramic plate
142,soda_bottle/soda_bottle_1,this is a 500ml bottle of dr. pepper
143,plate/plate_4,this is a green colored place used for
144,screwdriver/screwdriver_1,a black and red handled flat head screws
145,shampoo/shampoo_5,there is a blue bottle of shampoo
146,bowl/bowl_4,there is a small light blue cereal bowl it appears to be plastic or ceramic
147,pliers/pliers_1,a pair of needle-nose pliers with pink handles
148,lime/lime_1,there is a wine the wine is green on the bottom section of the line is a yellow spot
149,pliers/pliers_1,a pair of needle-nose pliers with pink handles
150,syringe/syringe_1,a syringe
151,fork/fork_2,it's it a spoon
152,hand_towel/hand_towel_1,yellow dish.
153,measuring_tape/measuring_tape_1,the object of the yellow tape measure
154,banana/banana_5,a regular sized banana that is unusually straight with very minor block bruising
155,book/book_3,it is a book to Ingrid pages
156,fork/fork_2,a fork with a wide flange at the end where you would hold it it looks like a normal Fork to stainless steel silver
157,mouse/mouse_2,it is a black computer mouse it is wired so it has the cord attached
158,syringe/syringe_1,a blue syringe
159,medicine_bottle/medicine_bottle_5,HR of cough syrup
160,toothbrush/toothbrush_2,Elsa toothbrush
161,picture_frame/picture_frame_3,object is a black picture frame and I'm looking at it from behind
162,toothpaste/toothpaste_1,a box of Arm & Hammer Complete Care toothpaste it's primarily a yellow box Complete Care is in White on a red background and it's on a couple side so that that Brandon Arm & Hammer has a logo off to the side on both sides as well
163,potato/potato_3,it is a potato
164,fork/fork_5,a white plastic fork
165,onion/onion_2,Vidalia onion
166,apple/apple_2,a green Granny Smith apple with the manufacturing sticker still on it
167,lime/lime_2,it's a lemon
168,eye_glasses/eye_glasses_3,a pair of glasses
169,marker/marker_6,do you say pen in fuses for
170,gauze/gauze_2,a box of blue gods
171,measuring_tape/measuring_tape_3,a black and pink tape measure
172,shampoo/shampoo_3,it's a man scream
173,lemon/lemon_3,that's a lemon it's the color yellow
174,spoon/spoon_4,this is the silver car used
175,lemon/lemon_2,the object is a lemon
176,potato/potato_5,there is a whole sweet potato
177,stapler/stapler_2,black Staples
178,food_jar/food_jar_2,it's a glass jar of tomato sauce
179,bell_pepper/bell_pepper_2,a red pepper
180,lightbulb/lightbulb_2,Edison Light. Do candy
181,book/book_5,it is a hardcover textbook
182,food_can/food_can_4,can you see you again on the table
183,allen_wrench/allen_wrench_5,pack of Allen wrenches
184,cell_phone/cell_phone_3,ATT cell phone
185,potato/potato_2,a russet potato
186,picture_frame/picture_frame_1,an empty white picture frame
187,potato/potato_3,a red potato
188,presciption_medicine_bottle/presciption_medicine_bottle_1,medication prescription bottle
189,measuring_tape/measuring_tape_3,black and pink tape measure
190,plate/plate_2,it is a plate its color is blue
191,syringe/syringe_4,pain in the paper
192,food_can/food_can_1,it's a can of tomato sauce
193,banana/banana_1,that is a ripe banana
194,allen_wrench/allen_wrench_3,this is a little larger version of the previous tool that I described that you get when you order something and it requires like assembling and this might be a for car cuz it looks a little bit larger than the previous one
195,bell_pepper/bell_pepper_2,a red bell pepper
196,pencil/pencil_4,it is a black retractable pen
197,scissors/scissors_1,a black pair of scissors that are kitchen shears there's a red right in the middle or where the hinge would be it's it's covering the thought that would keep them together
198,book/book_3,a large textbook that you would use in college or maybe High School it looks like it has a picture of the forest on the front and then some words underneath that and probably the author and stuff
199,soda_bottle/soda_bottle_3,it is a motel with Coca-Cola
200,plate/plate_5,a decorated white plate
201,lightbulb/lightbulb_4,the object is medium sized white light bulb
202,medicine_bottle/medicine_bottle_5,it is a bottle of Nyquil
203,gauze/gauze_2,a blue box of gauze
204,allen_wrench/allen_wrench_2,this is a tool that is used to tighten objects
205,hammer/hammer_4,a hammer like tool with a black and yellow handle
206,measuring_tape/measuring_tape_5,this is a ruler that I see a lot of professionals use I'm not sure how long ago sand know you push it out will you pull it out and when you when you're finished with it it's world's right back into into the container that it comes in
207,picture_frame/picture_frame_3,a picture frame now it's rectangular and it is on the long side and it is standing up it's got no picture in it and it's just got like a brown cork backgrounds backboard in that Scott looks like black border
208,apple/apple_1,it is a apple with a safe road
209,lemon/lemon_3,a yellow lemon
210,bell_pepper/bell_pepper_4,this is an orange pepper
211,cell_phone/cell_phone_3,a black smartphone
212,band_aid/band_aid_4,it is a box of Band-Aids
213,potato/potato_5,a sweet potato
