Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
apple,scissors/scissors_2 (nan)      can_opener/can_opener_2 (nan)      pliers/pliers_5 (nan)      onion/onion_4 (nan)      picture_frame/picture_frame_4 (nan)      apple/apple_3 (nan)      ,apple/apple_3 (nan) ,apple/apple_3 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,apple/apple_3 (nan)      scissors/scissors_2 (nan)      onion/onion_4 (nan)      picture_frame/picture_frame_4 (nan)      pliers/pliers_5 (nan)      can_opener/can_opener_2 (nan)      ,apple/apple_3 (nan) ,apple/apple_3 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,apple/apple_3 (nan)      picture_frame/picture_frame_4 (nan)      apple/apple_3 (nan)      pliers/pliers_5 (nan)      ,apple/apple_3 (nan) apple/apple_3 (nan) ,apple/apple_3 (nan) apple/apple_3 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,apple/apple_3 (nan)      pliers/pliers_5 (nan)      scissors/scissors_2 (nan)      picture_frame/picture_frame_4 (nan)      ,apple/apple_3 (nan) ,apple/apple_3 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,scissors/scissors_2 (nan)      onion/onion_4 (nan)      apple/apple_3 (nan)      picture_frame/picture_frame_4 (nan)      can_opener/can_opener_2 (nan)      pliers/pliers_5 (nan)      ,apple/apple_3 (nan) ,apple/apple_3 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,apple/apple_3 (nan)      scissors/scissors_2 (nan)      pliers/pliers_5 (nan)      picture_frame/picture_frame_4 (nan)      can_opener/can_opener_2 (nan)      apple/apple_3 (nan)      ,apple/apple_3 (nan) apple/apple_3 (nan) ,apple/apple_3 (nan) apple/apple_3 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,apple/apple_3 (nan)      picture_frame/picture_frame_4 (nan)      apple/apple_3 (nan)      apple/apple_3 (nan)      ,apple/apple_3 (nan) apple/apple_3 (nan) apple/apple_3 (nan) ,apple/apple_3 (nan) apple/apple_3 (nan) apple/apple_3 (nan) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,scissors/scissors_2 (nan)      picture_frame/picture_frame_4 (nan)      apple/apple_3 (nan)      apple/apple_3 (nan)      pliers/pliers_5 (nan)      ,apple/apple_3 (nan) apple/apple_3 (nan) ,apple/apple_3 (nan) apple/apple_3 (nan) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,scissors/scissors_2 (nan)      pliers/pliers_5 (nan)      apple/apple_3 (nan)      picture_frame/picture_frame_4 (nan)      ,apple/apple_3 (nan) apple/apple_3 (nan) ,apple/apple_3 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
