conf_speech/audio_descriptions.csv_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
apple,0.7833333333333333,1.0,0.7666666666666666,0.85,1,8
bell,0.9466666666666667,1.0,0.9166666666666666,0.9466666666666667,1,8
bowl,0.975,1.0,0.9666666666666666,0.9800000000000001,1,8
frame,0.9216666666666666,1.0,0.9,0.9400000000000001,1,8
pepper,0.8333333333333334,0.7666666666666666,0.8833333333333332,0.7899999999999999,1,8
yellow,0.72,0.5833333333333333,1.0,0.7228571428571429,9,8
syringe,0.7483333333333333,0.85,0.75,0.7533333333333333,1,8
pink,0.9166666666666667,0.7833333333333333,1.0,0.86,2,10
computer,0.9333333333333332,1.0,0.9333333333333332,0.96,1,8
design,0.8416666666666666,1.0,0.7666666666666666,0.8433333333333334,1,8
sharpie,0.95,1.0,0.9,0.9333333333333332,1,8
measure,0.9466666666666667,1.0,0.9333333333333332,0.96,1,8
marker,0.8766666666666666,1.0,0.8,0.8733333333333334,1,8
scissors,0.9216666666666666,1.0,0.8833333333333332,0.9266666666666665,1,8
plastic,0.8800000000000001,0.775,1.0,0.8590476190476191,2,7
hammer,0.9466666666666667,0.8916666666666666,1.0,0.9323809523809523,2,10
lime,0.865,0.9333333333333332,0.8666666666666668,0.8933333333333333,1,8
flashlight,0.8216666666666667,0.7,0.9666666666666666,0.78,1,8
lemon,0.9466666666666667,1.0,0.9166666666666666,0.9466666666666667,1,8
cover,0.7216666666666666,0.75,0.8,0.76,1,8
cup,0.8800000000000001,1.0,0.9,0.93,1,8
toothpaste,0.8916666666666666,1.0,0.8666666666666666,0.9200000000000002,1,8
jar,0.9216666666666666,1.0,0.8833333333333332,0.9266666666666665,1,8
pen,0.9466666666666667,1.0,0.9333333333333332,0.9600000000000002,1,8
label,1.0,1.0,1.0,1.0,3,9
mug,0.9216666666666666,1.0,0.8666666666666666,0.9133333333333333,1,8
opener,0.6516666666666666,0.6583333333333333,0.85,0.7261904761904762,1,8
black,0.8433333333333334,0.795,1.0,0.869047619047619,13,7
orange,1.0,1.0,1.0,1.0,3,9
tape,0.9466666666666667,1.0,0.9166666666666666,0.9466666666666667,1,8
white,0.6716666666666666,0.5716666666666667,1.0,0.6997619047619048,9,7
banana,0.8099999999999999,0.95,0.8,0.8299999999999998,1,8
red,0.9583333333333334,0.9166666666666666,1.0,0.9466666666666667,4,9
wrench,0.8483333333333334,0.8333333333333333,0.9,0.8400000000000001,1,8
fork,0.96,1.0,0.9,0.9333333333333332,1,8
plate,0.8966666666666667,1.0,0.8666666666666666,0.9199999999999999,1,8
coffee,0.9416666666666667,1.0,0.9333333333333332,0.96,1,8
handle,0.7733333333333333,0.6416666666666666,1.0,0.7538095238095238,5,10
plier,0.925,1.0,0.8833333333333332,0.9266666666666667,1,8
food,0.9266666666666667,1.0,0.8833333333333332,0.9266666666666667,1,8
blue,0.8883333333333333,0.8166666666666668,1.0,0.8847619047619049,9,9
screwdriver,0.9466666666666667,1.0,0.9,0.9333333333333332,1,8
toothbrush,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,8
band,0.8266666666666668,0.8833333333333332,0.8166666666666667,0.8133333333333332,1,8
spoon,0.8966666666666668,0.95,0.9,0.9066666666666666,1,8
allen,0.9099999999999999,0.95,0.85,0.8833333333333332,1,8
water,0.9550000000000001,1.0,0.9333333333333332,0.96,1,8
pair,0.93,0.8,1.0,0.8666666666666666,3,10
stapler,0.8716666666666667,0.8333333333333333,0.95,0.8766666666666666,1,8
glass,0.7366666666666666,0.625,0.9666666666666666,0.7523809523809525,2,9
silver,0.7433333333333333,0.5583333333333333,1.0,0.709047619047619,3,9
bulb,1.0,1.0,1.0,1.0,1,8
box,0.9333333333333333,0.8333333333333333,1.0,0.8933333333333333,3,9
gray,0.8633333333333333,1.0,0.8,0.8733333333333334,1,8
picture,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,7
potato,0.6016666666666666,0.5016666666666667,0.9333333333333333,0.6407142857142857,1,8
towel,0.7683333333333333,0.8083333333333332,0.8333333333333333,0.7957142857142857,1,8
like,0.8566666666666667,0.7666666666666666,0.95,0.818095238095238,1,5
onion,0.95,1.0,0.9333333333333332,0.96,1,8
phone,0.8583333333333332,1.0,0.8,0.8733333333333333,1,8
light,0.9800000000000001,1.0,0.95,0.9666666666666666,1,7
clear,0.9466666666666667,0.9,0.9666666666666666,0.9133333333333333,2,9
cap,0.8483333333333334,0.65,1.0,0.7733333333333333,2,8
shampoo,0.755,0.5833333333333333,0.9,0.7,1,8
pencil,0.8966666666666667,1.0,0.85,0.9066666666666666,1,8
green,0.9800000000000001,0.95,1.0,0.9666666666666666,4,9
can,0.9583333333333334,0.95,0.9666666666666666,0.9466666666666667,2,7
bottle,1.0,1.0,1.0,1.0,5,9
mechanical,1.0,1.0,1.0,1.0,1,8
small,0.73,0.625,1.0,0.7552380952380952,5,7
aid,0.9183333333333333,0.9,0.9166666666666666,0.8966666666666667,1,8
mouse,0.9133333333333333,1.0,0.8833333333333332,0.9266666666666665,1,8
book,1.0,1.0,1.0,1.0,2,9
prescription,0.8683333333333334,1.0,0.8166666666666667,0.8866666666666667,1,8
Folder Number:  6000
Accuracy:  0.8846621621621622
F1-Score:  0.8844015444015444
Precision:  0.8957432432432432
Recall:  0.9193693693693693
conf_speech/audio_descriptions.csv_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
apple,1.0,1.0,1.0,1.0,1,8
bell,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666667,1,8
bowl,0.96,1.0,0.9,0.9333333333333332,1,8
frame,0.8949999999999999,1.0,0.8,0.8733333333333334,1,8
pepper,0.8800000000000001,0.9166666666666666,0.8833333333333332,0.8733333333333334,1,8
yellow,0.705,0.6050000000000001,1.0,0.7316666666666667,9,8
syringe,0.9,1.0,0.8666666666666666,0.9099999999999999,1,8
pink,0.9400000000000001,0.85,1.0,0.9,2,10
computer,0.9083333333333332,1.0,0.8666666666666666,0.9133333333333333,1,8
design,1.0,1.0,1.0,1.0,1,8
sharpie,0.9800000000000001,1.0,0.95,0.9666666666666666,1,8
measure,0.9333333333333333,0.9,0.95,0.9,1,8
marker,0.9216666666666666,1.0,0.9,0.9400000000000001,1,8
scissors,0.8800000000000001,1.0,0.8333333333333333,0.8933333333333333,1,8
plastic,0.8850000000000001,0.7833333333333333,1.0,0.8647619047619047,2,6
hammer,0.7266666666666668,0.5249999999999999,1.0,0.6690476190476191,2,9
lime,0.96,1.0,0.9333333333333332,0.96,1,8
flashlight,0.9466666666666667,1.0,0.9333333333333332,0.96,1,8
lemon,0.8916666666666666,1.0,0.8666666666666666,0.9099999999999999,1,8
cover,0.7966666666666666,0.7333333333333333,0.85,0.74,1,7
cup,1.0,1.0,1.0,1.0,1,8
toothpaste,0.8333333333333334,0.7666666666666667,0.9666666666666666,0.8447619047619048,1,8
jar,0.8666666666666666,1.0,0.8166666666666667,0.8766666666666666,1,8
pen,0.875,1.0,0.8666666666666668,0.9200000000000002,1,8
label,1.0,1.0,1.0,1.0,3,8
mug,0.9550000000000001,1.0,0.9166666666666666,0.9466666666666667,1,8
opener,0.6166666666666666,0.5583333333333332,0.8833333333333332,0.6633333333333333,1,8
black,0.76,0.5583333333333333,1.0,0.6857142857142857,13,7
orange,1.0,1.0,1.0,1.0,3,8
tape,0.8466666666666669,0.95,0.8,0.8400000000000001,1,8
white,0.7233333333333333,0.6399999999999999,1.0,0.7526190476190477,9,6
banana,0.7766666666666666,0.8833333333333332,0.7833333333333333,0.7899999999999999,1,8
