,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.885015015,0.887241527,-1,-1,0.902785285,0.918918919
aid,0.845555556,0.85,8,1,0.877777778,0.872222222
allen,0.913888889,0.896666667,8,1,0.972222222,0.861111111
apple,0.919444444,0.938888889,8,1,1,0.905555556
banana,0.848333333,0.855555556,8,1,0.927777778,0.85
band,0.841666667,0.827777778,8,1,0.877777778,0.844444444
bell,0.943333333,0.946666667,8,1,1,0.916666667
black,0.837777778,0.806031746,7,13,0.717777778,1
blue,0.901666667,0.893650794,8.333333333,9,0.827777778,1
book,0.908333333,0.880952381,8.666666667,2,0.822222222,0.988888889
bottle,0.979444444,0.975555556,9,5,0.961111111,1
bowl,0.932777778,0.937777778,8,1,1,0.9
box,0.944444444,0.928571429,9,3,0.886111111,1
bulb,0.928888889,0.937777778,8,1,0.927777778,0.966666667
can,0.918888889,0.911904762,7,2,0.908333333,0.955555556
cap,0.836666667,0.811746032,8.666666667,2,0.719444444,0.977777778
clear,0.976666667,0.964444444,8.333333333,2,0.955555556,0.988888889
coffee,0.935,0.944444444,8,1,1,0.911111111
computer,0.911666667,0.926666667,8,1,1,0.883333333
cover,0.839444444,0.833333333,7.333333333,1,0.827777778,0.883333333
cup,0.932222222,0.956666667,8,1,1,0.933333333
design,0.929444444,0.934444444,8,1,1,0.9
flashlight,0.857777778,0.858888889,8,1,0.855555556,0.922222222
food,0.758888889,0.742222222,8,1,0.675,0.933333333
fork,0.93,0.924444444,8,1,1,0.883333333
frame,0.910555556,0.893333333,8,1,1,0.833333333
glass,0.739444444,0.744365079,9,2,0.636666667,0.955555556
gray,0.883333333,0.876666667,8,1,0.966666667,0.833333333
green,0.961666667,0.953333333,9,4,0.927777778,1
hammer,0.813333333,0.784603175,9.666666667,2,0.7,0.988888889
handle,0.795,0.791269841,9.666666667,5,0.683333333,1
jar,0.878333333,0.858888889,8,1,0.894444444,0.888888889
label,1,1,8.333333333,3,1,1
lemon,0.913333333,0.921111111,8,1,1,0.877777778
light,0.860555556,0.886666667,7,1,1,0.827777778
like,0.905,0.897142857,5,1,0.905555556,0.933333333
lime,0.912777778,0.931111111,8,1,0.977777778,0.9
marker,0.888333333,0.907777778,8,1,1,0.855555556
measure,0.946666667,0.94,8,1,0.966666667,0.938888889
mechanical,0.951666667,0.966666667,8,1,1,0.944444444
mouse,0.888333333,0.894444444,8,1,1,0.838888889
mug,0.943888889,0.935555556,8,1,1,0.9
onion,0.84,0.873333333,8,1,0.922222222,0.855555556
opener,0.725555556,0.757619048,8,1,0.716666667,0.877777778
orange,0.978333333,0.973015873,8.666666667,3,0.958333333,1
pair,0.955,0.934920635,9.666666667,3,0.9,1
pen,0.922777778,0.946666667,8,1,1,0.911111111
pencil,0.935555556,0.937777778,8,1,1,0.9
pepper,0.794444444,0.816349206,8,1,0.836111111,0.85
phone,0.911111111,0.931111111,8,1,1,0.888888889
picture,0.963333333,0.958888889,7.666666667,1,1,0.938888889
pink,0.935555556,0.902222222,9.333333333,2,0.861111111,0.988888889
plastic,0.895555556,0.883492063,6.666666667,2,0.836111111,0.977777778
plate,0.918888889,0.94,8,1,1,0.9
plier,0.871666667,0.896666667,8,1,1,0.838888889
potato,0.838333333,0.856904762,8,1,0.833888889,0.944444444
prescription,0.933888889,0.948888889,8,1,1,0.916666667
red,0.885555556,0.878095238,8.666666667,4,0.805555556,1
scissors,0.885555556,0.903333333,8,1,1,0.85
screwdriver,0.848888889,0.854444444,8,1,0.933333333,0.833333333
shampoo,0.783888889,0.784126984,8,1,0.741666667,0.883333333
sharpie,0.928333333,0.928888889,8,1,1,0.888888889
silver,0.812222222,0.787301587,8.333333333,3,0.680555556,1
small,0.787222222,0.826190476,7,5,0.723333333,1
spoon,0.928888889,0.926666667,8,1,0.983333333,0.9
stapler,0.831666667,0.832222222,8,1,0.844444444,0.888888889
syringe,0.783333333,0.780793651,8,1,0.803888889,0.861111111
tape,0.908888889,0.911111111,8,1,0.983333333,0.877777778
toothbrush,0.921666667,0.926666667,8,1,1,0.883333333
toothpaste,0.897222222,0.91047619,8,1,0.922222222,0.927777778
towel,0.85,0.870793651,8,1,0.936111111,0.85
water,0.928888889,0.931111111,8,1,1,0.888888889
white,0.700555556,0.723571429,6.333333333,9,0.598888889,1
wrench,0.876666667,0.892222222,8,1,0.944444444,0.883333333
yellow,0.747222222,0.761984127,8,9,0.641666667,1
