,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.851583333,0.856480159,-1,-1,0.857763889,0.912569444
aid,0.871111111,0.868888889,8,1,0.938888889,0.85
allen,0.887222222,0.902222222,8,1,0.927777778,0.911111111
appl,0.914444444,0.891111111,8,1,0.888888889,0.944444444
banana,0.882222222,0.904444444,8,1,1,0.855555556
band,0.887777778,0.856349206,8,1,0.863888889,0.905555556
bell,0.846111111,0.829285714,8,1,0.800555556,0.922222222
black,0.592777778,0.628015873,8,7,0.477777778,1
blue,0.913333333,0.889047619,8.666666667,5,0.830555556,1
book,0.971111111,0.973333333,9.333333333,2,0.988888889,0.966666667
bottl,0.881111111,0.861269841,9.333333333,5,0.780555556,1
bowl,0.877222222,0.907777778,8,1,1,0.855555556
box,0.979444444,0.973015873,8.666666667,3,0.958333333,1
bulb,0.877222222,0.878888889,8,1,0.883333333,0.922222222
can,0.819444444,0.798253968,8,2,0.744444444,0.944444444
cap,0.903888889,0.89015873,8.666666667,2,0.825,1
ceram,0.978333333,0.98,9,2,1,0.966666667
clear,0.801111111,0.81952381,7,1,0.8,0.894444444
coca,0.842777778,0.856666667,8,1,0.9,0.877777778
coffe,0.910555556,0.92,8,1,1,0.872222222
cola,0.873888889,0.868571429,8,1,0.897222222,0.883333333
comput,0.86,0.88,8,1,0.95,0.861111111
cord,0.885555556,0.908888889,8,1,0.966666667,0.877777778
cup,0.934444444,0.933333333,8,1,0.983333333,0.911111111
cut,0.612777778,0.635714286,8,1,0.552777778,0.822222222
flashlight,0.823333333,0.852380952,8,1,0.830555556,0.933333333
food,0.663888889,0.677142857,8,1,0.606666667,0.9
fork,0.765,0.780793651,8,1,0.836111111,0.794444444
frame,0.956111111,0.957777778,8,1,1,0.933333333
glass,0.861111111,0.863333333,8,1,0.938888889,0.833333333
gray,0.868888889,0.857142857,8,1,0.844444444,0.922222222
green,0.947222222,0.935555556,9,4,0.9,1
hammer,0.895555556,0.897460317,8,1,0.952777778,0.877777778
handl,0.680555556,0.711349206,8,5,0.572777778,1
jar,0.75,0.755555556,8,1,0.744444444,0.872222222
label,0.918888889,0.915555556,7.333333333,1,0.983333333,0.883333333
lemon,0.881666667,0.873333333,8,1,0.938888889,0.861111111
light,0.816666667,0.812698413,7,1,0.761111111,0.927777778
like,0.829444444,0.842222222,5,1,0.938888889,0.805555556
lime,0.901111111,0.907777778,8,1,1,0.855555556
marker,0.841666667,0.872222222,8,1,0.961111111,0.833333333
measur,0.909444444,0.904444444,8,1,0.922222222,0.927777778
mechan,0.886111111,0.893333333,8,1,1,0.838888889
medic,0.898333333,0.893015873,8,1,0.925,0.9
mous,0.897777778,0.896666667,8,1,0.955555556,0.883333333
mug,0.931111111,0.933333333,8,1,0.983333333,0.911111111
needl,0.650555556,0.691984127,8,1,0.592222222,0.883333333
open,0.859444444,0.885238095,7,1,0.897222222,0.905555556
orang,0.805,0.786825397,8.333333333,2,0.716666667,0.944444444
pair,0.821666667,0.821269841,9.666666667,3,0.716666667,1
pen,0.870555556,0.893015873,8,1,0.936111111,0.894444444
pencil,0.888888889,0.917777778,8,1,1,0.866666667
pepper,0.705,0.693492063,8,1,0.602777778,0.877777778
phone,0.857777778,0.865238095,8,1,0.913888889,0.877777778
pictur,0.939444444,0.944444444,8,1,1,0.911111111
pink,0.827777778,0.810396825,9,3,0.703333333,1
plastic,0.847777778,0.822857143,7,3,0.730555556,1
plate,0.906111111,0.936666667,8,1,1,0.9
plier,0.675555556,0.710714286,8,1,0.686666667,0.838888889
potato,0.923888889,0.908888889,8,1,0.983333333,0.872222222
prescript,0.825,0.811111111,8,1,0.833333333,0.861111111
purpl,0.872222222,0.881269841,8.666666667,2,0.830555556,0.966666667
red,0.85,0.845714286,7.666666667,4,0.763888889,1
scissor,0.675555556,0.718571429,8,1,0.616666667,0.911111111
screwdriv,0.895555556,0.897142857,8,1,0.9,0.933333333
shampoo,0.927222222,0.933333333,8,1,0.944444444,0.944444444
sharpi,0.871111111,0.89,8,1,0.922222222,0.883333333
silver,0.797777778,0.81531746,9,4,0.700555556,1
small,0.911666667,0.906507937,6,6,0.855555556,1
spoon,0.855555556,0.857460317,8,1,0.863888889,0.905555556
stapler,0.817222222,0.834603175,8,1,0.786111111,0.933333333
syring,0.677222222,0.705,8,1,0.597777778,0.905555556
tape,0.911111111,0.915555556,8,1,0.938888889,0.916666667
toothbrush,0.911111111,0.933333333,8,1,1,0.9
toothpast,0.845,0.856666667,8,1,0.95,0.822222222
towel,0.928333333,0.924444444,8,1,1,0.883333333
use,0.946666667,0.924444444,3.666666667,2,0.916666667,0.966666667
water,0.928333333,0.928888889,8,1,1,0.888888889
white,0.703333333,0.71047619,6.666666667,7,0.58,1
wrench,0.769444444,0.765238095,8,1,0.763888889,0.872222222
yellow,0.9,0.886666667,8.666666667,5,0.822222222,1
