,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.7199180327868852,0.5343169398907105,-1.0,-1.0,0.5982695810564663,0.5313296903460838
aid,0.7577777777777778,0.6588888888888889,8.0,1.0,0.7333333333333334,0.6611111111111111
allen,0.648888888888889,0.22777777777777777,8.0,1.0,0.3499999999999999,0.17777777777777778
appl,0.945,0.9511111111111111,8.0,1.0,1.0,0.922222222222222
banana,0.8527777777777777,0.7433333333333333,8.0,1.0,0.8666666666666667,0.6777777777777777
band,0.7572222222222221,0.678888888888889,8.0,1.0,0.7444444444444445,0.7333333333333334
bell,0.7433333333333333,0.6566666666666666,8.0,1.0,0.7277777777777779,0.6666666666666666
black,0.6005555555555556,0.4142857142857143,7.333333333333333,10.0,0.38055555555555554,0.4777777777777778
blue,0.5294444444444445,0.5382539682539682,8.0,10.0,0.49111111111111105,0.6555555555555556
book,0.7738888888888887,0.6666666666666666,8.0,1.0,0.8833333333333333,0.5777777777777778
bottl,0.873888888888889,0.8412698412698413,9.666666666666666,5.0,0.7638888888888888,0.9888888888888889
bowl,0.77,0.7544444444444446,8.0,1.0,0.9333333333333332,0.6666666666666666
box,0.8438888888888889,0.8104761904761905,10.333333333333334,3.0,0.7722222222222221,0.9055555555555554
bulb,0.7438888888888888,0.5955555555555555,8.0,1.0,0.7999999999999999,0.5055555555555555
can,0.7438888888888888,0.6133333333333334,8.0,2.0,0.7666666666666666,0.5666666666666667
coffe,0.8138888888888888,0.6433333333333333,8.0,1.0,0.7666666666666666,0.5777777777777778
color,0.8233333333333333,0.733015873015873,3.6666666666666665,2.0,0.7972222222222222,0.7222222222222222
fork,0.6044444444444445,0.21666666666666667,8.0,1.0,0.2833333333333334,0.18888888888888888
frame,0.7716666666666666,0.7244444444444444,10.0,2.0,0.9833333333333334,0.6
glass,0.30944444444444447,0.0,8.0,1.0,0.0,0.0
green,0.8961111111111112,0.7811111111111112,9.0,3.0,0.85,0.7388888888888889
hammer,0.6566666666666666,0.43,8.0,1.0,0.5444444444444444,0.3833333333333333
handl,0.6427777777777777,0.668968253968254,9.0,5.0,0.5183333333333333,1.0
jar,0.7188888888888888,0.6852380952380953,8.0,1.0,0.6361111111111111,0.8722222222222222
lemon,0.9316666666666666,0.9222222222222222,8.0,1.0,0.9666666666666667,0.9111111111111111
light,0.6822222222222223,0.5022222222222222,7.0,1.0,0.6999999999999998,0.4222222222222222
lime,0.9166666666666666,0.9166666666666666,8.0,1.0,0.9666666666666667,0.8944444444444444
marker,0.47888888888888886,0.0,8.0,1.0,0.0,0.0
measur,0.5783333333333333,0.0,8.0,1.0,0.0,0.0
mechan,0.5388888888888889,0.0,8.0,1.0,0.0,0.0
mug,0.8538888888888888,0.6244444444444445,8.0,1.0,0.7333333333333334,0.5722222222222223
needl,0.6733333333333333,0.35888888888888887,9.333333333333334,2.0,0.5277777777777778,0.2888888888888889
onion,0.7383333333333333,0.5644444444444444,8.0,1.0,0.6999999999999998,0.5055555555555555
open,0.49722222222222207,0.0,7.666666666666667,1.0,0.0,0.0
orang,0.6677777777777778,0.43999999999999995,7.0,1.0,0.5333333333333333,0.4166666666666666
pair,0.7883333333333332,0.5933333333333334,9.0,3.0,0.7055555555555554,0.5388888888888889
pencil,0.49277777777777776,0.0,8.0,1.0,0.0,0.0
pepper,0.6244444444444445,0.33,9.0,2.0,0.5,0.2611111111111111
pictur,0.8566666666666668,0.8588888888888889,7.666666666666667,1.0,0.9555555555555554,0.8277777777777778
pink,0.9461111111111111,0.94,8.666666666666666,2.0,0.9500000000000001,0.9555555555555554
plastic,0.7966666666666667,0.5800000000000001,6.0,1.0,0.75,0.5055555555555555
plate,0.6750000000000002,0.2333333333333333,8.0,1.0,0.3333333333333333,0.19444444444444445
plier,0.7544444444444446,0.7455555555555554,8.0,1.0,0.7777777777777777,0.7444444444444445
potato,0.8983333333333334,0.9011111111111111,8.0,1.0,0.9666666666666667,0.8833333333333333
purpl,0.48666666666666664,0.0,8.0,1.0,0.0,0.0
red,0.7944444444444443,0.7013492063492063,7.0,6.0,0.6727777777777777,0.7833333333333333
scissor,0.8266666666666667,0.6622222222222222,8.0,1.0,0.6833333333333332,0.7000000000000001
screwdriv,0.7744444444444444,0.728888888888889,8.0,1.0,0.9111111111111111,0.6555555555555556
shampoo,0.8883333333333333,0.8844444444444445,8.0,1.0,1.0,0.8222222222222223
silver,0.826111111111111,0.7466666666666667,9.0,3.0,0.7555555555555555,0.7999999999999999
small,0.4811111111111111,0.0,5.333333333333333,4.0,0.0,0.0
spoon,0.5861111111111111,0.22222222222222224,8.0,1.0,0.2833333333333334,0.19999999999999998
stapler,0.8927777777777778,0.8922222222222222,8.0,1.0,0.9833333333333334,0.8555555555555555
syring,0.5483333333333332,0.0,8.0,1.0,0.0,0.0
tape,0.48888888888888893,0.0,8.0,1.0,0.0,0.0
toothbrush,0.5177777777777778,0.0,8.0,1.0,0.0,0.0
toothpast,0.701111111111111,0.48444444444444446,8.0,1.0,0.6666666666666666,0.4055555555555555
use,0.8583333333333334,0.8307936507936509,4.0,1.0,0.8249999999999998,0.911111111111111
water,0.8644444444444445,0.8955555555555555,8.0,1.0,1.0,0.8444444444444444
white,0.5366666666666667,0.5907936507936508,5.333333333333333,9.0,0.465,0.9111111111111111
wrench,0.6827777777777778,0.45555555555555555,8.0,1.0,0.5888888888888888,0.41111111111111115
yellow,0.9483333333333334,0.9533333333333335,8.0,8.0,1.0,0.922222222222222
