conf_speech/audio_descriptions.csv_stop_raw.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
bowl,0.8516666666666666,0.9166666666666666,0.85,0.86,1,8
apple,0.9833333333333334,0.95,1.0,0.9666666666666666,1,8
bell,0.9600000000000002,1.0,0.9333333333333332,0.9600000000000002,1,8
jar,0.8950000000000001,1.0,0.8333333333333333,0.9,1,8
frame,0.8800000000000001,1.0,0.85,0.8966666666666667,1,8
scissors,0.865,0.8,0.9166666666666666,0.8099999999999999,1,8
pepper,0.925,0.95,0.9333333333333332,0.9266666666666667,1,8
yellow,0.635,0.475,1.0,0.6257142857142858,8,7
syringe,0.7183333333333333,0.7333333333333333,0.85,0.7533333333333333,1,8
pink,0.9166666666666666,0.95,0.9166666666666666,0.9133333333333333,1,8
computer,0.8633333333333333,0.95,0.9,0.8966666666666667,1,8
measure,0.8966666666666667,1.0,0.85,0.9066666666666666,1,8
marker,0.7933333333333332,0.7166666666666667,0.8833333333333332,0.77,1,8
aids,0.7816666666666666,0.7666666666666666,0.7833333333333333,0.7233333333333334,1,8
plastic,1.0,1.0,1.0,1.0,2,7
hammer,0.5549999999999999,0.45166666666666666,0.9666666666666666,0.6009523809523809,2,9
cola,0.6666666666666666,0.5666666666666667,0.8833333333333332,0.66,1,8
flashlight,0.8800000000000001,1.0,0.8166666666666667,0.8800000000000001,1,8
dry,0.8416666666666668,0.85,0.85,0.8266666666666665,1,8
lemon,0.8216666666666667,1.0,0.8333333333333333,0.89,1,8
cover,1.0,1.0,1.0,1.0,2,8
glass,0.8966666666666667,1.0,0.8333333333333333,0.8933333333333332,1,8
purple,0.9800000000000001,1.0,0.95,0.9666666666666666,1,8
toothpaste,0.805,0.85,0.8833333333333332,0.8166666666666667,1,8
pliers,0.8150000000000001,0.8166666666666667,0.9,0.8333333333333334,1,8
tip,0.8133333333333332,0.825,0.85,0.799047619047619,1,7
label,0.9266666666666667,0.9,0.9333333333333332,0.8933333333333333,1,8
mug,0.835,0.875,0.8333333333333333,0.8290476190476189,1,8
opener,0.9666666666666668,0.9,1.0,0.9333333333333332,1,8
black,0.5599999999999999,0.44333333333333336,1.0,0.6026190476190476,7,7
orange,0.82,0.75,0.9166666666666666,0.8033333333333335,1,7
tape,0.9133333333333333,0.95,0.9,0.9066666666666666,1,8
white,0.585,0.5466666666666666,1.0,0.6888095238095236,10,5
lime,1.0,1.0,1.0,1.0,1,8
pill,0.4916666666666666,0.4083333333333333,0.85,0.5223809523809525,1,8
red,0.8933333333333333,0.8083333333333332,1.0,0.879047619047619,8,7
wrench,0.8266666666666665,1.0,0.8333333333333333,0.89,1,8
fork,0.8833333333333334,0.8,0.9166666666666666,0.8133333333333332,1,8
plate,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,8
coffee,0.8633333333333335,0.8833333333333332,0.9166666666666666,0.8799999999999999,1,8
needle,0.74,0.6166666666666667,0.9333333333333332,0.7314285714285714,1,8
handle,0.735,0.5849999999999999,1.0,0.7221428571428572,4,8
bottle,0.835,0.6916666666666667,1.0,0.8104761904761905,5,9
mouse,0.9383333333333332,0.95,0.9333333333333332,0.9266666666666667,1,8
blue,0.635,0.5466666666666666,1.0,0.6897619047619047,8,8
screwdriver,0.835,0.85,0.9333333333333332,0.85,1,8
toothbrush,0.7333333333333333,0.7,0.8166666666666668,0.7433333333333334,1,8
band,0.8383333333333333,0.8333333333333333,0.9,0.8333333333333334,1,8
spoon,0.9666666666666668,0.9,1.0,0.9333333333333332,1,8
allen,0.8266666666666668,0.8333333333333333,0.8666666666666668,0.8099999999999999,1,8
prescription,0.9099999999999999,0.9166666666666666,0.9,0.8800000000000001,1,8
pair,0.8216666666666667,0.66,1.0,0.7716666666666667,3,9
stapler,0.8833333333333332,0.85,0.9333333333333332,0.8600000000000001,1,8
silver,1.0,1.0,1.0,1.0,3,7
bulb,0.8083333333333333,0.8333333333333333,0.8666666666666668,0.8266666666666665,1,8
box,0.9633333333333333,0.9166666666666666,1.0,0.9466666666666667,3,8
water,0.89,0.85,0.9333333333333332,0.86,1,8
picture,0.9400000000000001,1.0,0.9,0.9400000000000001,1,8
potato,0.9800000000000001,1.0,0.95,0.9666666666666666,1,8
towel,0.8333333333333333,1.0,0.8666666666666666,0.9099999999999999,1,8
like,0.8800000000000001,0.8833333333333332,0.9333333333333332,0.8866666666666667,2,5
onion,0.905,1.0,0.85,0.9066666666666666,1,8
phone,0.8583333333333332,1.0,0.8,0.8633333333333333,1,8
light,0.8716666666666667,0.925,0.8833333333333332,0.879047619047619,1,8
clear,0.9266666666666665,0.9166666666666666,0.9333333333333332,0.9066666666666666,2,8
cap,0.7133333333333334,0.5499999999999999,0.9666666666666666,0.6733333333333333,2,8
shampoo,0.6416666666666666,0.5666666666666667,0.8666666666666666,0.66,1,8
pencil,0.85,1.0,0.85,0.8966666666666665,1,8
erase,0.8083333333333333,0.8,0.85,0.7866666666666666,1,8
green,0.89,0.7333333333333333,1.0,0.8266666666666665,4,8
can,0.9833333333333334,0.95,1.0,0.9666666666666666,2,7
coca,0.635,0.5499999999999999,0.85,0.6266666666666667,1,8
mechanical,0.9416666666666667,1.0,0.9333333333333332,0.9600000000000002,1,8
small,0.9800000000000001,0.95,1.0,0.9666666666666666,5,6
aid,0.7916666666666666,0.8833333333333332,0.7333333333333333,0.7766666666666667,1,8
metal,0.95,0.9,1.0,0.9400000000000001,2,8
book,0.975,1.0,0.9666666666666666,0.9800000000000001,2,8
glasses,0.9349999999999999,1.0,0.9,0.9400000000000001,1,8
Folder Number:  6000
Accuracy:  0.8489957264957263
F1-Score:  0.8481043956043957
Precision:  0.8458333333333332
Recall:  0.9151709401709403
conf_speech/audio_descriptions.csv_stop_raw.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
bowl,0.8799999999999999,0.8666666666666666,0.9333333333333332,0.8733333333333333,1,8
apple,0.9,0.95,0.8833333333333332,0.8933333333333333,1,8
bell,0.9083333333333332,1.0,0.9,0.93,1,8
jar,0.8800000000000001,0.9,0.8666666666666666,0.8466666666666667,1,8
