,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.85266453,0.852292125,-1,-1,0.855514957,0.911730769
aid,0.770333333,0.76252381,8,1,0.774166667,0.845
aids,0.810833333,0.783333333,8,1,0.761666667,0.891666667
allen,0.835,0.827285714,8,1,0.813333333,0.896666667
apple,0.910166667,0.912333333,8,1,0.976666667,0.886666667
band,0.820333333,0.798904762,8,1,0.774166667,0.905
bell,0.910333333,0.920333333,8,1,1,0.88
black,0.571,0.624071429,7.4,7,0.4785,1
blue,0.621333333,0.658071429,8.1,8,0.514666667,1
book,0.957666667,0.958571429,9,2,0.959166667,0.973333333
bottle,0.912166667,0.896619048,9.2,5,0.8375,1
bowl,0.870166667,0.885333333,8,1,0.941666667,0.873333333
box,0.946,0.912,9,3,0.865,1
bulb,0.857,0.862571429,8,1,0.925833333,0.856666667
can,0.929833333,0.90447619,6.4,2,0.881666667,0.97
cap,0.818333333,0.780333333,8.2,2,0.694166667,0.973333333
clear,0.951333333,0.944809524,9.1,2,0.933333333,0.98
coca,0.742333333,0.711714286,8,1,0.655833333,0.885
coffee,0.862833333,0.856238095,8,1,0.884166667,0.893333333
cola,0.765166667,0.747666667,8,1,0.6925,0.898333333
computer,0.900333333,0.906666667,8,1,0.956666667,0.893333333
cover,0.947166667,0.945690476,8.6,2,0.9285,0.983333333
dry,0.871166667,0.863333333,8,1,0.883333333,0.89
erase,0.856,0.871285714,8,1,0.9,0.888333333
flashlight,0.898666667,0.870666667,8,1,0.89,0.913333333
fork,0.8835,0.873333333,8,1,0.91,0.893333333
frame,0.92,0.929,8,1,1,0.89
glass,0.8425,0.839238095,8,1,0.875833333,0.858333333
glasses,0.891833333,0.907333333,8,1,0.995,0.861666667
green,0.939,0.909142857,8.9,4,0.858333333,1
hammer,0.636333333,0.665238095,9,2,0.522666667,0.976666667
handle,0.735833333,0.728452381,8.3,4,0.589166667,1
jar,0.83,0.839952381,8,1,0.886666667,0.853333333
label,0.919666667,0.906333333,7.9,1,0.948333333,0.906666667
lemon,0.882833333,0.901333333,8,1,1,0.845
light,0.8705,0.869904762,8,1,0.9025,0.891666667
like,0.895,0.886190476,5.5,2,0.870833333,0.943333333
lime,0.928333333,0.931238095,8,1,0.9575,0.93
marker,0.84,0.840238095,8,1,0.840833333,0.89
measure,0.891,0.885,8,1,0.951666667,0.868333333
mechanical,0.913166667,0.927,8,1,1,0.886666667
metal,0.946666667,0.93,8.5,2,0.916666667,0.973333333
mouse,0.888666667,0.882333333,8,1,0.945,0.87
mug,0.8755,0.863142857,8,1,0.893333333,0.888333333
needle,0.702333333,0.694952381,8,1,0.580833333,0.911666667
onion,0.883833333,0.909333333,8,1,1,0.86
opener,0.8655,0.844714286,8,1,0.864166667,0.886666667
orange,0.769166667,0.749047619,7,1,0.715833333,0.875
pair,0.856,0.832142857,9.5,3,0.743666667,1
pencil,0.902666667,0.923666667,8,1,1,0.883333333
pepper,0.916833333,0.917333333,8,1,0.95,0.915
phone,0.901166667,0.905571429,8,1,0.9875,0.863333333
picture,0.935333333,0.947,8,1,1,0.915
pill,0.702333333,0.690642857,8,1,0.637666667,0.871666667
pink,0.886,0.878666667,8,1,0.925,0.88
plastic,0.9755,0.981238095,7.1,2,0.9925,0.976666667
plate,0.889833333,0.904666667,8,1,1,0.853333333
pliers,0.810166667,0.825428571,8,1,0.831666667,0.881666667
potato,0.9265,0.934333333,8,1,1,0.896666667
prescription,0.866333333,0.864571429,8,1,0.935833333,0.848333333
purple,0.913,0.928666667,8,1,1,0.89
red,0.880666667,0.871333333,7.4,8,0.798666667,1
scissors,0.804833333,0.801238095,8,1,0.8225,0.86
screwdriver,0.7865,0.809214286,8,1,0.792666667,0.891666667
shampoo,0.733833333,0.737380952,8,1,0.695833333,0.865
silver,0.9645,0.965333333,7.9,3,0.9425,1
small,0.928666667,0.9165,7,5,0.8685,1
spoon,0.917,0.908,8,1,0.951666667,0.906666667
stapler,0.868333333,0.854666667,8,1,0.883333333,0.891666667
syringe,0.686166667,0.711952381,8,1,0.652666667,0.878333333
tape,0.890666667,0.88,8,1,0.928333333,0.875
tip,0.8575,0.857142857,7.5,1,0.888333333,0.88
toothbrush,0.744,0.761666667,8,1,0.709166667,0.875
toothpaste,0.8125,0.806714286,8,1,0.8175,0.866666667
towel,0.934166667,0.950666667,8,1,1,0.923333333
water,0.9015,0.896666667,8,1,0.928333333,0.911666667
white,0.582,0.650690476,5.9,10,0.507333333,1
wrench,0.903166667,0.903666667,8,1,0.97,0.878333333
yellow,0.7435,0.744738095,7.9,8,0.621333333,1
