,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.684105461393597,0.49285579768630616,-1.0,-1.0,0.5609887005649717,0.488135593220339
aids,0.5594444444444444,0.43222222222222223,8.0,1.0,0.5833333333333334,0.4055555555555556
allen,0.5966666666666667,0.2222222222222222,8.0,1.0,0.3666666666666667,0.16666666666666666
apple,0.8844444444444445,0.8911111111111111,8.0,1.0,0.9333333333333332,0.8944444444444444
banana,0.7883333333333334,0.7200000000000001,8.0,1.0,0.9333333333333332,0.6166666666666667
band,0.737777777777778,0.5477777777777778,8.0,1.0,0.7333333333333334,0.48888888888888893
bell,0.7994444444444445,0.7011111111111111,8.0,1.0,0.8222222222222223,0.6666666666666666
black,0.3116666666666667,0.2884126984126984,7.0,8.0,0.2577777777777777,0.33888888888888885
blue,0.5716666666666668,0.42825396825396816,9.0,9.0,0.461111111111111,0.4166666666666667
book,0.6266666666666667,0.0,9.333333333333334,2.0,0.0,0.0
bottle,0.9472222222222223,0.8577777777777778,10.0,5.0,0.8888888888888888,0.8444444444444444
bowl,0.5644444444444444,0.1722222222222222,8.0,1.0,0.3,0.12222222222222223
box,0.8627777777777778,0.8298412698412698,9.666666666666666,3.0,0.7388888888888889,1.0
bulb,0.7172222222222221,0.58,8.0,1.0,0.7666666666666666,0.5
can,0.5033333333333333,0.14444444444444443,6.0,2.0,0.19999999999999998,0.13333333333333333
coffee,0.7955555555555556,0.6744444444444445,8.0,1.0,0.8333333333333334,0.5944444444444444
fork,0.7288888888888888,0.6888888888888888,8.0,1.0,0.8055555555555555,0.6611111111111111
frame,0.8066666666666666,0.7733333333333334,8.0,1.0,0.9666666666666667,0.6888888888888888
glass,0.44722222222222224,0.0,8.0,1.0,0.0,0.0
glasses,0.4877777777777778,0.0,8.0,1.0,0.0,0.0
green,0.9877777777777778,0.9866666666666667,8.333333333333334,4.0,1.0,0.9777777777777777
hammer,0.5372222222222222,0.5076190476190476,8.0,1.0,0.49722222222222223,0.6055555555555555
handle,0.5105555555555555,0.5335714285714287,8.333333333333334,4.0,0.4138888888888889,0.8388888888888889
jar,0.8894444444444445,0.8933333333333334,8.0,1.0,0.9833333333333334,0.8555555555555555
label,0.9538888888888889,0.9577777777777777,9.666666666666666,2.0,0.9611111111111111,0.9666666666666667
lemon,0.9272222222222223,0.9377777777777778,8.0,1.0,1.0,0.9
light,0.7166666666666667,0.5311111111111111,7.0,1.0,0.6999999999999998,0.4611111111111111
lime,0.9177777777777778,0.9174603174603174,8.0,1.0,0.9638888888888889,0.9055555555555554
marker,0.605,0.47000000000000003,8.0,1.0,0.5888888888888889,0.47222222222222215
measure,0.6455555555555555,0.2833333333333333,8.0,1.0,0.43333333333333335,0.22777777777777777
mechanical,0.4911111111111111,0.0,8.0,1.0,0.0,0.0
mug,0.831111111111111,0.741111111111111,8.0,1.0,0.9,0.6611111111111111
needle,0.8322222222222222,0.7066666666666667,8.0,1.0,0.7999999999999999,0.6777777777777777
onion,0.6211111111111112,0.31111111111111106,8.0,1.0,0.5,0.2388888888888889
opener,0.31888888888888883,0.0,8.0,1.0,0.0,0.0
orange,0.6433333333333334,0.3122222222222222,9.0,2.0,0.45,0.24999999999999997
pair,0.7488888888888888,0.6466666666666666,10.0,3.0,0.7388888888888889,0.6111111111111112
pencil,0.5127777777777778,0.0,8.0,1.0,0.0,0.0
pepper,0.6827777777777778,0.3444444444444444,9.666666666666666,2.0,0.5666666666666668,0.2555555555555556
picture,0.86,0.7333333333333334,8.0,1.0,0.8333333333333334,0.6833333333333332
pink,0.8016666666666666,0.7712698412698412,9.333333333333334,2.0,0.6761111111111111,0.9888888888888889
plastic,0.6816666666666666,0.4477777777777778,8.666666666666666,3.0,0.6166666666666666,0.3722222222222222
plate,0.6161111111111112,0.12777777777777777,8.0,1.0,0.18333333333333335,0.10555555555555556
pliers,0.8288888888888889,0.7766666666666667,8.0,1.0,0.8388888888888889,0.7833333333333333
potato,0.9255555555555555,0.9288888888888889,8.0,1.0,1.0,0.8888888888888888
red,0.806111111111111,0.8056349206349206,9.0,8.0,0.7505555555555555,0.9333333333333332
scissors,0.5522222222222223,0.27333333333333326,8.0,1.0,0.3944444444444444,0.24444444444444446
screwdriver,0.45722222222222225,0.0,8.0,1.0,0.0,0.0
shampoo,0.9244444444444445,0.931111111111111,8.0,1.0,1.0,0.8888888888888888
silver,0.5127777777777779,0.016666666666666666,9.0,4.0,0.03333333333333333,0.011111111111111112
small,0.36166666666666664,0.16555555555555554,5.666666666666667,4.0,0.14722222222222223,0.2222222222222222
spoon,0.5961111111111111,0.28555555555555556,8.0,1.0,0.4166666666666667,0.23888888888888885
stapler,0.7761111111111112,0.7455555555555554,8.0,1.0,0.7777777777777777,0.8055555555555555
syringe,0.6583333333333333,0.6693650793650794,8.0,1.0,0.5994444444444444,0.8555555555555556
tape,0.6888888888888888,0.31666666666666665,8.0,1.0,0.4333333333333333,0.26666666666666666
toothbrush,0.4083333333333334,0.0,8.0,1.0,0.0,0.0
toothpaste,0.8794444444444444,0.8744444444444444,8.0,1.0,0.9833333333333334,0.8222222222222223
water,0.5983333333333333,0.2111111111111111,8.0,1.0,0.3166666666666667,0.17777777777777778
white,0.5216666666666666,0.4035714285714285,6.0,11.0,0.4033333333333333,0.48888888888888893
yellow,0.7961111111111112,0.5612698412698413,7.0,9.0,0.6055555555555555,0.5777777777777778
