Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
lightbulb,presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      lightbulb/lightbulb_4 (nan)      allen_wrench/allen_wrench_5 (nan)      band_aid/band_aid_3 (nan)      food_jar/food_jar_1 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,lightbulb/lightbulb_4 (nan)      lightbulb/lightbulb_4 (nan)      lightbulb/lightbulb_4 (nan)      band_aid/band_aid_3 (nan)      allen_wrench/allen_wrench_5 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,allen_wrench/allen_wrench_5 (nan)      band_aid/band_aid_3 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      lightbulb/lightbulb_4 (nan)      allen_wrench/allen_wrench_5 (nan)      band_aid/band_aid_3 (nan)      lightbulb/lightbulb_4 (nan)      food_jar/food_jar_1 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      food_jar/food_jar_1 (nan)      allen_wrench/allen_wrench_5 (nan)      band_aid/band_aid_3 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,lightbulb/lightbulb_4 (nan)      lightbulb/lightbulb_4 (nan)      allen_wrench/allen_wrench_5 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,lightbulb/lightbulb_4 (nan)      allen_wrench/allen_wrench_5 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      band_aid/band_aid_3 (nan)      food_jar/food_jar_1 (nan)      ,lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,lightbulb/lightbulb_4 (nan)      lightbulb/lightbulb_4 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      band_aid/band_aid_3 (nan)      allen_wrench/allen_wrench_5 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,2.0,2.0,0.0,1.0,0.8,1.0,0.666666666667,0.8
lightbulb,band_aid/band_aid_3 (nan)      lightbulb/lightbulb_4 (nan)      allen_wrench/allen_wrench_5 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,lightbulb/lightbulb_4 (nan)      lightbulb/lightbulb_4 (nan)      allen_wrench/allen_wrench_5 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - lightbulb,,,,,,,,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001
 ,,,,,,,,,,,
measuring,measuring_tape/measuring_tape_5 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      apple/apple_1 (nan)      band_aid/band_aid_3 (nan)      ,measuring_tape/measuring_tape_5 (nan) measuring_tape/measuring_tape_5 (nan) measuring_tape/measuring_tape_5 (nan) ,measuring_tape/measuring_tape_5 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
measuring,presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      apple/apple_1 (nan)      band_aid/band_aid_3 (nan)      eye_glasses/eye_glasses_1 (nan)      measuring_tape/measuring_tape_5 (nan)      measuring_tape/measuring_tape_5 (nan)      ,measuring_tape/measuring_tape_5 (nan) measuring_tape/measuring_tape_5 (nan) ,measuring_tape/measuring_tape_5 (nan) measuring_tape/measuring_tape_5 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
measuring,measuring_tape/measuring_tape_5 (nan)      apple/apple_1 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      bell_pepper/bell_pepper_2 (nan)      band_aid/band_aid_3 (nan)      eye_glasses/eye_glasses_1 (nan)      ,measuring_tape/measuring_tape_5 (nan) ,measuring_tape/measuring_tape_5 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
measuring,measuring_tape/measuring_tape_5 (nan)      measuring_tape/measuring_tape_5 (nan)      apple/apple_1 (nan)      band_aid/band_aid_3 (nan)      ,measuring_tape/measuring_tape_5 (nan) measuring_tape/measuring_tape_5 (nan) ,measuring_tape/measuring_tape_5 (nan) measuring_tape/measuring_tape_5 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
