conf_text/text_desciptions.csv_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
lightbulb,0.875,1.0,0.85,0.8966666666666667,1,8
measuring,0.8333333333333334,0.875,0.8833333333333332,0.8623809523809525,1,8
apple,0.9333333333333333,0.9416666666666667,0.95,0.9323809523809524,1,8
bell,0.9216666666666666,1.0,0.8666666666666666,0.9133333333333333,1,8
folded,0.89,0.9083333333333332,0.9,0.879047619047619,1,8
frame,0.8966666666666667,1.0,0.8666666666666666,0.9199999999999999,1,8
scissors,0.8766666666666667,0.8,0.9166666666666666,0.8133333333333332,1,8
yellow,0.8683333333333334,0.7083333333333333,1.0,0.8123809523809523,7,8
jar,0.8633333333333333,1.0,0.8,0.8733333333333334,1,8
marker,0.93,0.95,0.9,0.9,1,8
computer,0.8833333333333332,1.0,0.8666666666666666,0.9099999999999999,1,8
design,0.9,0.8,1.0,0.8714285714285716,1,8
measure,0.765,0.7,0.8333333333333333,0.7466666666666667,1,8
syringe,0.8466666666666665,1.0,0.8166666666666668,0.8866666666666667,1,8
allen,1.0,1.0,1.0,1.0,1,8
soda,0.9133333333333333,1.0,0.9,0.9400000000000001,1,8
label,0.975,1.0,0.9666666666666666,0.9800000000000001,2,7
hammer,0.8516666666666668,0.75,1.0,0.8447619047619048,1,8
stapler,0.9266666666666667,0.9,0.9333333333333332,0.8933333333333332,1,8
lime,0.8766666666666667,0.925,0.8999999999999998,0.8923809523809524,1,8
pink,0.93,1.0,0.9,0.9400000000000001,2,9
light,0.86,0.8083333333333332,0.9333333333333332,0.8457142857142858,2,9
lemon,0.89,0.7583333333333333,1.0,0.8457142857142855,1,8
cup,0.7716666666666667,0.8,0.8166666666666668,0.7833333333333333,1,8
purple,0.93,0.95,0.9333333333333332,0.9266666666666665,2,9
mouse,0.9550000000000001,1.0,0.9333333333333332,0.96,1,8
tube,0.9400000000000001,1.0,0.8666666666666666,0.9133333333333333,1,8
bowl,0.7566666666666666,0.6833333333333333,0.8833333333333332,0.7366666666666667,1,8
plastic,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,6
mug,0.8516666666666668,0.8833333333333332,0.9,0.8666666666666666,1,8
book,0.7833333333333333,0.8,0.85,0.7933333333333332,1,8
black,0.71,0.5666666666666667,1.0,0.7061904761904761,7,7
orange,0.9349999999999999,1.0,0.8833333333333332,0.9266666666666665,1,8
tape,0.7049999999999998,0.7,0.7666666666666667,0.7133333333333334,1,8
white,0.7066666666666666,0.5366666666666667,1.0,0.68,6,5
banana,0.5616666666666668,0.4916666666666666,0.8833333333333332,0.5990476190476189,1,8
red,1.0,1.0,1.0,1.0,6,8
wrench,0.8749999999999998,1.0,0.85,0.9066666666666666,1,8
fork,0.8883333333333333,1.0,0.85,0.9066666666666666,1,8
flashlight,0.9099999999999999,0.9,0.9333333333333332,0.8933333333333332,1,8
pepper,0.9033333333333333,0.8666666666666666,0.9333333333333332,0.8733333333333334,1,8
used,0.6849999999999998,0.5499999999999999,0.9666666666666666,0.6814285714285714,1,5
handle,0.71,0.5166666666666666,1.0,0.6647619047619047,3,8
plate,0.8683333333333334,0.8416666666666666,0.9333333333333332,0.8657142857142859,1,8
plier,0.975,0.975,1.0,0.9857142857142858,1,8
blue,0.8733333333333334,0.7416666666666666,1.0,0.839047619047619,10,6
bandaids,0.82,0.8333333333333333,0.8333333333333333,0.8033333333333333,1,8
screwdriver,0.7549999999999999,0.75,0.85,0.7666666666666666,1,8
water,0.8916666666666666,1.0,0.85,0.9066666666666666,1,8
phone,0.6916666666666667,0.75,0.75,0.6900000000000001,1,8
spoon,0.9583333333333334,0.95,0.9666666666666666,0.9466666666666667,1,8
wired,0.9383333333333332,0.95,0.9333333333333332,0.9266666666666665,1,8
opener,0.8133333333333332,0.8,0.9,0.8166666666666667,1,8
potato,0.96,1.0,0.9333333333333332,0.96,1,8
pair,0.7733333333333333,0.625,1.0,0.7366666666666667,3,9
bulb,0.9416666666666667,0.9666666666666666,0.9666666666666666,0.96,1,8
silver,0.7666666666666667,0.65,0.9666666666666666,0.7647619047619048,2,8
box,0.9383333333333335,0.925,0.9666666666666666,0.9323809523809524,2,9
toothbrush,0.8833333333333332,1.0,0.8333333333333333,0.8933333333333333,1,8
picture,0.8966666666666667,1.0,0.85,0.9066666666666666,1,8
toothpaste,0.9333333333333332,1.0,0.9333333333333332,0.96,1,8
towel,0.8699999999999999,0.925,0.8166666666666668,0.849047619047619,1,8
prescription,0.9,1.0,0.9333333333333332,0.95,1,8
onion,0.8666666666666666,1.0,0.8833333333333332,0.9166666666666666,1,8
glass,0.9583333333333334,0.9,1.0,0.9333333333333332,2,7
brown,0.9,1.0,0.8333333333333333,0.8933333333333333,1,8
cap,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,8
shampoo,0.7949999999999999,0.8833333333333332,0.8666666666666666,0.8433333333333334,1,8
pencil,0.96,1.0,0.9,0.9333333333333332,1,8
pill,0.93,1.0,0.8666666666666666,0.9133333333333333,1,8
green,0.975,1.0,0.9666666666666666,0.9800000000000001,2,8
can,0.755,0.6916666666666667,0.9666666666666666,0.7623809523809524,2,9
bottle,0.95,0.9083333333333332,1.0,0.9457142857142857,5,8
mechanical,0.9550000000000001,1.0,0.9166666666666666,0.9466666666666667,1,8
metal,0.7166666666666667,0.775,0.8166666666666667,0.7823809523809524,1,7
bandage,0.7816666666666667,0.7083333333333333,0.9,0.7323809523809524,1,8
Folder Number:  6000
Accuracy:  0.8678947368421054
F1-Score:  0.866672932330827
Precision:  0.8765789473684211
Recall:  0.9105263157894737
conf_text/text_desciptions.csv_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
lightbulb,0.9066666666666666,1.0,0.8333333333333333,0.8933333333333333,1,8
measuring,0.85,0.9,0.8833333333333332,0.89,1,8
apple,0.625,0.6166666666666666,0.85,0.6880952380952381,1,8
bell,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,8
folded,0.86,0.85,0.9333333333333332,0.8633333333333333,1,8
frame,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,8
scissors,0.8933333333333333,1.0,0.8333333333333333,0.8933333333333333,1,8
yellow,0.82,0.7,1.0,0.8114285714285714,7,8
jar,1.0,1.0,1.0,1.0,1,8
marker,0.7916666666666667,0.85,0.8666666666666666,0.8099999999999999,1,8
computer,0.95,0.95,0.95,0.9333333333333332,1,8
design,0.9216666666666666,1.0,0.8666666666666666,0.9133333333333333,1,8
measure,0.7483333333333333,0.825,0.7666666666666666,0.7523809523809525,1,8
syringe,0.8666666666666668,1.0,0.8166666666666668,0.8766666666666666,1,8
allen,0.8416666666666666,1.0,0.8666666666666666,0.9099999999999999,1,8
soda,0.9550000000000001,1.0,0.9333333333333332,0.96,1,8
label,1.0,1.0,1.0,1.0,2,7
hammer,0.9466666666666667,1.0,0.9333333333333332,0.9600000000000002,1,8
stapler,0.8533333333333333,0.7833333333333333,0.9333333333333332,0.82,1,8
lime,0.7883333333333333,0.95,0.8,0.8600000000000001,1,8
pink,1.0,1.0,1.0,1.0,2,10
light,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,2,8
lemon,0.975,1.0,0.9666666666666666,0.9800000000000001,1,8
cup,0.8983333333333334,0.9,0.8833333333333332,0.86,1,8
purple,1.0,1.0,1.0,1.0,2,8
mouse,0.8933333333333333,0.95,0.8333333333333333,0.86,1,8
tube,0.9550000000000001,1.0,0.9166666666666666,0.9466666666666667,1,8
bowl,0.7983333333333333,0.8833333333333332,0.8166666666666667,0.8200000000000001,1,8
plastic,0.8566666666666667,1.0,0.7833333333333333,0.8666666666666666,1,6
mug,0.845,0.85,0.8333333333333333,0.8099999999999999,1,8
book,0.9016666666666667,0.7666666666666666,1.0,0.8466666666666667,1,8
black,0.7766666666666667,0.6699999999999999,1.0,0.7847619047619048,7,8
orange,0.975,1.0,0.9666666666666666,0.9800000000000001,1,8
tape,0.8266666666666668,0.7916666666666666,0.8999999999999998,0.8123809523809523,1,8
white,0.79,0.625,1.0,0.7657142857142858,6,6
banana,0.5583333333333333,0.6,0.7833333333333333,0.6633333333333333,1,8
red,1.0,1.0,1.0,1.0,6,8
wrench,0.8716666666666667,0.9166666666666666,0.9,0.8866666666666667,1,8
fork,0.8383333333333333,1.0,0.75,0.8300000000000001,1,8
flashlight,0.835,1.0,0.75,0.8399999999999999,1,8
pepper,0.975,1.0,0.95,0.9666666666666666,1,8
used,0.6766666666666666,0.6333333333333334,0.8833333333333332,0.7280952380952381,1,5
handle,0.7233333333333333,0.5416666666666666,1.0,0.6833333333333333,3,8
plate,0.9600000000000002,0.9666666666666666,0.95,0.9466666666666667,1,8
plier,0.7683333333333333,0.9333333333333333,0.7833333333333333,0.8066666666666666,1,8
blue,1.0,1.0,1.0,1.0,10,6
bandaids,0.9416666666666667,1.0,0.9333333333333332,0.96,1,8
screwdriver,0.9600000000000002,1.0,0.9,0.9333333333333332,1,8
water,0.8166666666666667,0.8083333333333332,0.9,0.819047619047619,1,8
phone,0.95,1.0,0.9333333333333332,0.96,1,8
spoon,0.9216666666666666,1.0,0.8999999999999998,0.9400000000000001,1,8
wired,0.975,1.0,0.9666666666666666,0.9800000000000001,1,8
opener,0.8483333333333333,1.0,0.8,0.8800000000000001,1,8
potato,0.8933333333333333,1.0,0.8333333333333333,0.8933333333333333,1,8
pair,0.89,0.8,1.0,0.8633333333333333,3,9
bulb,0.835,1.0,0.7666666666666666,0.8433333333333334,1,8
silver,0.8799999999999999,0.8,0.9666666666666666,0.8433333333333334,2,9
box,0.9600000000000002,0.9333333333333332,1.0,0.9600000000000002,2,9
toothbrush,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,8
picture,0.9166666666666666,1.0,0.8666666666666666,0.9133333333333333,1,8
toothpaste,0.865,0.9166666666666666,0.8333333333333333,0.8400000000000001,1,8
towel,0.8099999999999999,0.95,0.8166666666666667,0.85,1,8
prescription,0.9800000000000001,1.0,0.95,0.9666666666666666,1,8
onion,0.9216666666666666,1.0,0.8833333333333332,0.9266666666666665,1,8
glass,0.9333333333333333,0.8833333333333332,1.0,0.9314285714285715,2,8
brown,0.8716666666666667,1.0,0.8166666666666667,0.8866666666666667,1,8
cap,0.9466666666666667,1.0,0.9166666666666666,0.9466666666666667,1,8
shampoo,0.8566666666666667,0.95,0.8333333333333333,0.8566666666666667,1,8
pencil,0.9583333333333334,0.95,0.95,0.9333333333333332,1,8
pill,0.975,1.0,0.95,0.9666666666666666,1,8
green,1.0,1.0,1.0,1.0,2,9
can,0.9166666666666667,0.875,0.9666666666666666,0.8990476190476191,2,8
bottle,1.0,1.0,1.0,1.0,5,9
mechanical,0.8483333333333334,0.8666666666666668,0.8666666666666666,0.8333333333333334,1,8
metal,0.8833333333333332,1.0,0.85,0.9066666666666666,1,7
bandage,0.9666666666666666,1.0,0.95,0.9666666666666666,1,8
Folder Number:  6000
Accuracy:  0.8907675438596492
F1-Score:  0.8934962406015037
Precision:  0.9235087719298246
Recall:  0.9063596491228068
conf_text/text_desciptions.csv_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
lightbulb,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,8
measuring,0.7999999999999999,0.75,0.8333333333333333,0.73,1,8
apple,0.9183333333333333,0.9166666666666666,0.9333333333333332,0.9066666666666666,1,8
bell,0.7916666666666667,0.85,0.85,0.82,1,8
folded,0.8933333333333332,0.95,0.8999999999999998,0.9066666666666666,1,8
frame,0.8766666666666667,0.8583333333333332,0.9166666666666666,0.8657142857142857,1,8
scissors,0.8550000000000001,1.0,0.8333333333333333,0.9,1,8
yellow,1.0,1.0,1.0,1.0,7,8
jar,0.7516666666666667,0.5916666666666667,0.9333333333333332,0.7123809523809524,1,8
marker,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,8
computer,0.8583333333333332,1.0,0.8166666666666667,0.8866666666666667,1,8
design,0.9466666666666669,0.8666666666666666,1.0,0.9133333333333333,1,8
measure,0.8233333333333335,0.7833333333333333,0.8833333333333332,0.7933333333333333,1,8
syringe,0.9833333333333334,0.95,1.0,0.9666666666666666,1,8
allen,0.7533333333333334,0.9,0.75,0.7966666666666666,1,8
soda,0.8550000000000001,1.0,0.8333333333333333,0.9,1,8
label,0.9550000000000001,1.0,0.9333333333333332,0.96,2,7
hammer,0.715,0.7416666666666666,0.8833333333333332,0.7957142857142856,1,8
stapler,0.8883333333333334,0.95,0.85,0.8633333333333333,1,8
lime,0.8716666666666667,0.9333333333333332,0.9,0.9,1,8
pink,1.0,1.0,1.0,1.0,2,10
light,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,2,8
lemon,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,8
cup,0.8150000000000001,0.85,0.8666666666666666,0.8100000000000002,1,8
purple,0.9666666666666666,0.9333333333333332,1.0,0.95,2,9
