,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.8671792763157895,0.8699635808270676,-1.0,-1.0,0.8898958333333333,0.9029057017543859
allen,0.8779166666666667,0.8904166666666667,8.0,1.0,0.93125,0.8916666666666666
apple,0.7879166666666666,0.8114880952380952,8.0,1.0,0.8197916666666667,0.8645833333333333
banana,0.6727083333333334,0.6993452380952381,8.0,1.0,0.609375,0.8979166666666666
bandage,0.8354166666666667,0.8270833333333333,8.0,1.0,0.828125,0.8937499999999999
bandaids,0.7889583333333334,0.8020238095238095,8.0,1.0,0.8302083333333333,0.8375
bell,0.8143750000000001,0.8391369047619048,8.0,1.0,0.8783333333333334,0.8604166666666666
black,0.6277083333333333,0.6685714285714286,7.875,7.0,0.5279166666666667,1.0
blue,0.941875,0.9317857142857143,6.5,10.0,0.8916666666666666,1.0
book,0.8841666666666668,0.8873809523809524,8.0,1.0,0.9135416666666667,0.9083333333333332
bottle,0.9629166666666666,0.9529761904761904,8.5,5.0,0.9239583333333332,1.0
bowl,0.83625,0.8465476190476191,8.0,1.0,0.8760416666666666,0.875
box,0.935625,0.9352380952380952,9.375,2.0,0.9197916666666666,0.9749999999999999
brown,0.9025000000000001,0.9125000000000001,8.0,1.0,0.9854166666666666,0.8729166666666666
bulb,0.8970833333333335,0.9063095238095238,8.0,1.0,0.9510416666666667,0.8958333333333333
can,0.8456250000000001,0.8536904761904762,8.25,2.0,0.8083333333333332,0.9624999999999999
cap,0.9052083333333333,0.8958333333333334,8.0,1.0,0.925,0.9104166666666667
computer,0.8545833333333333,0.8798809523809524,8.0,1.0,0.9510416666666666,0.8624999999999999
cup,0.7558333333333334,0.7618452380952381,8.0,1.0,0.7406250000000001,0.8604166666666666
design,0.8864583333333333,0.8799404761904762,8.0,1.0,0.8666666666666667,0.9354166666666666
flashlight,0.87375,0.87375,8.0,1.0,0.9416666666666667,0.8625
folded,0.8652083333333334,0.8707142857142857,8.0,1.0,0.903125,0.8854166666666666
fork,0.8835416666666667,0.8925000000000001,8.0,1.0,0.9875,0.85
