conf_text/text_desciptions.csv_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
lightbulb,0.9216666666666666,1.0,0.8833333333333332,0.9266666666666665,1,8
cap,0.7783333333333333,0.5833333333333333,1.0,0.7314285714285714,2,9
comput,0.85,1.0,0.8166666666666667,0.8866666666666667,1,8
bell,0.835,1.0,0.8166666666666667,0.8766666666666667,1,8
jar,0.95,1.0,0.9166666666666666,0.9466666666666667,1,8
frame,0.8966666666666667,1.0,0.8166666666666667,0.8799999999999999,1,8
orang,0.9633333333333333,0.9416666666666667,1.0,0.9657142857142856,3,8
pepper,0.93,1.0,0.85,0.8999999999999998,1,8
yellow,0.9350000000000002,0.8916666666666666,1.0,0.9323809523809524,8,7
soda,0.8916666666666666,1.0,0.85,0.9066666666666666,1,8
fold,0.8316666666666667,0.9333333333333332,0.8333333333333333,0.8666666666666668,1,8
pink,1.0,1.0,1.0,1.0,2,8
design,0.8816666666666666,1.0,0.8333333333333333,0.9,1,8
eras,0.975,1.0,0.9666666666666666,0.9800000000000001,2,9
marker,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666665,1,8
allen,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666667,1,8
plastic,1.0,1.0,1.0,1.0,2,7
hammer,0.7716666666666667,0.8333333333333333,0.85,0.79,1,8
lime,0.9383333333333332,0.9666666666666666,0.9333333333333332,0.9400000000000001,1,8
blue,0.8366666666666667,0.725,1.0,0.8304761904761904,4,7
use,0.6783333333333333,0.5766666666666665,0.8833333333333332,0.6716666666666667,1,3
wire,0.905,1.0,0.8666666666666666,0.9200000000000002,1,8
lemon,0.9216666666666666,1.0,0.8666666666666668,0.9133333333333333,1,8
pictur,0.975,1.0,0.95,0.9666666666666666,1,7
syring,0.875,1.0,0.85,0.9066666666666666,1,8
open,0.7833333333333333,0.8666666666666666,0.85,0.8099999999999999,1,7
tube,0.9550000000000001,1.0,0.9166666666666666,0.9466666666666667,1,8
prescript,0.89,0.9166666666666666,0.8833333333333332,0.8733333333333334,1,8
bowl,0.9216666666666666,1.0,0.9,0.9400000000000001,1,8
pencil,0.8099999999999999,1.0,0.7833333333333333,0.8466666666666667,1,8
label,0.9099999999999999,0.925,0.9333333333333332,0.9123809523809523,2,7
towel,0.8716666666666667,0.8666666666666666,0.8999999999999998,0.86,1,8
mug,0.9416666666666667,1.0,0.9,0.9333333333333332,1,8
book,0.975,1.0,0.9666666666666666,0.9800000000000001,2,9
black,0.7116666666666667,0.5366666666666667,1.0,0.678095238095238,10,7
toothbrush,0.93,1.0,0.8833333333333332,0.9266666666666665,1,8
tape,0.7916666666666666,0.7833333333333333,0.8333333333333333,0.7666666666666667,1,8
screwdriv,0.545,0.7333333333333333,0.65,0.65,1,8
pill,0.7383333333333334,0.9,0.8,0.7933333333333333,1,8
red,1.0,1.0,1.0,1.0,5,8
wrench,0.8549999999999999,0.825,0.8833333333333332,0.8123809523809523,1,8
fork,0.8416666666666666,1.0,0.85,0.8966666666666667,1,8
flashlight,0.6916666666666667,0.5583333333333333,0.9,0.659047619047619,1,8
bottl,0.7966666666666666,0.5916666666666667,1.0,0.7390476190476191,5,10
plate,0.9333333333333332,1.0,0.9333333333333332,0.9600000000000002,1,8
measur,0.7583333333333333,0.7333333333333333,0.8166666666666668,0.72,1,8
handl,0.7150000000000001,0.5716666666666667,1.0,0.7133333333333334,4,8
toothpast,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,8
coffe,0.8583333333333332,0.95,0.85,0.8733333333333334,1,8
mous,0.835,1.0,0.8,0.8633333333333333,1,8
phone,0.96,1.0,0.9333333333333332,0.96,1,8
spoon,0.9016666666666667,1.0,0.85,0.9066666666666666,1,8
mechan,1.0,1.0,1.0,1.0,1,8
water,0.9216666666666666,1.0,0.8833333333333332,0.9266666666666665,1,8
pair,0.9416666666666668,0.875,1.0,0.919047619047619,3,9
bulb,0.975,1.0,0.95,0.9666666666666666,1,8
white,0.93,0.8916666666666666,1.0,0.9323809523809523,7,6
box,0.9666666666666668,0.9166666666666666,1.0,0.9466666666666667,2,8
plier,0.9349999999999999,1.0,0.8666666666666666,0.9133333333333333,1,8
stapler,0.76,0.8,0.8,0.7266666666666667,1,8
onion,0.8583333333333332,1.0,0.8166666666666667,0.8766666666666667,1,8
glass,0.9099999999999999,1.0,0.8333333333333333,0.8933333333333333,1,8
brown,0.9550000000000001,1.0,0.9333333333333332,0.96,1,8
potato,0.8666666666666666,1.0,0.7833333333333333,0.8600000000000001,1,8
metal,0.9583333333333334,0.9166666666666666,1.0,0.9466666666666667,3,8
shampoo,0.95,1.0,0.9166666666666666,0.9466666666666667,1,8
banana,0.5833333333333333,0.5583333333333333,0.7833333333333333,0.6323809523809524,1,8
scissor,0.9016666666666667,0.85,0.9166666666666666,0.8466666666666667,1,8
green,0.8683333333333334,0.7833333333333333,0.9666666666666666,0.8400000000000001,2,8
can,0.8316666666666667,0.7083333333333333,0.9666666666666666,0.7957142857142857,2,7
light,0.8333333333333334,0.8,0.9333333333333333,0.8166666666666667,1,7
small,0.63,0.495,1.0,0.6523809523809524,7,6
appl,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,8
bandaid,0.8883333333333334,0.9666666666666666,0.8666666666666666,0.89,1,8
silver,0.8166666666666668,0.6666666666666666,1.0,0.7914285714285714,5,9
Folder Number:  6000
Accuracy:  0.8731111111111112
F1-Score:  0.873590476190476
Precision:  0.899177777777778
Recall:  0.9022222222222221
conf_text/text_desciptions.csv_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
lightbulb,0.95,1.0,0.9166666666666666,0.9466666666666667,1,8
cap,0.7816666666666666,0.5833333333333333,0.9666666666666666,0.7200000000000001,2,9
comput,0.9416666666666667,1.0,0.9333333333333332,0.96,1,8
bell,0.8383333333333333,1.0,0.7499999999999999,0.8300000000000001,1,8
jar,0.7633333333333333,0.7166666666666666,0.8833333333333332,0.7466666666666667,1,8
frame,0.7783333333333333,0.7,0.8666666666666666,0.7533333333333333,1,8
orang,0.9833333333333334,0.9666666666666666,1.0,0.9800000000000001,3,7
pepper,0.95,1.0,0.9,0.9333333333333332,1,8
yellow,0.9333333333333333,0.8333333333333333,1.0,0.8933333333333333,8,8
soda,0.95,1.0,0.9166666666666666,0.9466666666666667,1,8
fold,0.89,0.9416666666666667,0.9,0.9057142857142857,1,8
pink,1.0,1.0,1.0,1.0,2,9
design,0.9550000000000001,1.0,0.9166666666666666,0.9466666666666667,1,8
eras,1.0,1.0,1.0,1.0,2,8
marker,0.9216666666666666,1.0,0.8833333333333332,0.9266666666666667,1,8
allen,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,8
plastic,0.975,1.0,0.9666666666666666,0.9800000000000001,2,8
hammer,0.8316666666666667,0.7833333333333333,0.8833333333333332,0.7933333333333333,1,8
lime,0.8800000000000001,1.0,0.85,0.8966666666666667,1,8
blue,0.8516666666666666,0.8,1.0,0.8828571428571429,4,7
use,0.7066666666666667,0.6333333333333332,0.8833333333333332,0.6966666666666667,1,4
wire,0.8800000000000001,1.0,0.85,0.9066666666666666,1,8
lemon,0.9416666666666667,1.0,0.9333333333333332,0.96,1,8
pictur,0.9550000000000001,1.0,0.9333333333333332,0.96,1,7
syring,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,8
open,0.7799999999999999,0.7083333333333333,0.9666666666666666,0.7923809523809524,1,7
tube,0.9166666666666666,1.0,0.9,0.9400000000000001,1,8
prescript,0.9266666666666667,1.0,0.8833333333333332,0.9266666666666667,1,8
bowl,0.8366666666666667,0.7916666666666667,0.9,0.8223809523809524,1,8
pencil,0.8733333333333334,1.0,0.8,0.8733333333333334,1,8
label,0.96,1.0,0.9333333333333332,0.96,2,8
towel,0.8399999999999999,0.9166666666666666,0.8166666666666667,0.85,1,8
mug,0.95,0.95,0.9666666666666666,0.9466666666666667,1,8
book,1.0,1.0,1.0,1.0,2,9
black,0.7250000000000001,0.6699999999999999,1.0,0.7976190476190476,10,7
toothbrush,0.9099999999999999,0.95,0.9,0.8966666666666667,1,8
tape,0.8316666666666667,0.7833333333333333,0.8833333333333332,0.7866666666666667,1,8
screwdriv,0.74,0.6416666666666666,0.8666666666666666,0.699047619047619,1,8
pill,0.8916666666666666,1.0,0.85,0.8966666666666667,1,8
red,0.8633333333333335,0.7333333333333333,1.0,0.8233333333333333,5,8
wrench,0.9466666666666667,1.0,0.9333333333333332,0.96,1,8
fork,0.925,1.0,0.8999999999999998,0.9400000000000001,1,8
flashlight,0.74,0.9666666666666666,0.7,0.7833333333333334,1,8
bottl,0.8033333333333333,0.675,1.0,0.8038095238095238,5,10
plate,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,8
measur,0.8233333333333333,0.8833333333333332,0.8333333333333333,0.8266666666666668,1,8
handl,0.755,0.6583333333333333,1.0,0.7628571428571428,4,8
toothpast,0.96,1.0,0.9166666666666666,0.9466666666666667,1,8
coffe,0.9550000000000001,1.0,0.9166666666666666,0.9466666666666667,1,8
mous,0.93,1.0,0.85,0.9,1,8
phone,0.9550000000000001,1.0,0.9166666666666666,0.9466666666666667,1,8
spoon,0.9633333333333333,0.9,1.0,0.9333333333333332,1,8
mechan,0.7683333333333333,1.0,0.7166666666666667,0.8099999999999999,1,8
water,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,8
pair,0.9016666666666666,0.8166666666666667,1.0,0.8666666666666666,3,9
bulb,0.9216666666666666,1.0,0.8833333333333332,0.9266666666666667,1,8
white,0.75,0.56,1.0,0.6983333333333334,7,6
box,0.875,0.8833333333333332,0.9666666666666666,0.9114285714285714,2,9
plier,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,8
stapler,0.9166666666666666,1.0,0.8666666666666666,0.9133333333333333,1,8
onion,0.8300000000000001,1.0,0.8333333333333334,0.8800000000000001,1,8
glass,0.7966666666666666,0.75,0.8166666666666667,0.7366666666666667,1,8
brown,0.9550000000000001,1.0,0.9,0.9333333333333332,1,8
potato,0.9216666666666666,1.0,0.8666666666666666,0.9133333333333333,1,8
metal,0.9066666666666668,0.7916666666666666,1.0,0.8657142857142857,3,8
shampoo,0.875,1.0,0.9,0.93,1,8
banana,0.58,0.4766666666666667,0.9,0.6083333333333333,1,8
scissor,0.8316666666666667,0.6833333333333333,0.9166666666666666,0.7566666666666666,1,8
