,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.8761111111111112,0.8748190476190475,-1.0,-1.0,0.8936111111111111,0.9094444444444445
allen,0.9374999999999999,0.9533333333333334,8.0,1.0,1.0,0.9249999999999998
appl,0.8816666666666666,0.8728571428571428,8.0,1.0,0.9041666666666666,0.8666666666666667
banana,0.5816666666666666,0.6203571428571428,8.0,1.0,0.5175000000000001,0.8416666666666667
bandaid,0.9008333333333334,0.9083333333333334,8.0,1.0,0.9833333333333333,0.8749999999999999
bell,0.8366666666666667,0.8533333333333334,8.0,1.0,1.0,0.7833333333333332
black,0.7183333333333334,0.7378571428571428,7.0,10.0,0.6033333333333333,1.0
blue,0.8441666666666666,0.8566666666666667,7.0,4.0,0.7625,1.0
book,0.9875,0.99,9.0,2.0,1.0,0.9833333333333333
bottl,0.8,0.7714285714285714,10.0,5.0,0.6333333333333333,1.0
bowl,0.8791666666666667,0.8811904761904763,8.0,1.0,0.8958333333333334,0.9
box,0.9208333333333334,0.929047619047619,8.5,2.0,0.8999999999999999,0.9833333333333333
brown,0.9550000000000001,0.9466666666666665,8.0,1.0,1.0,0.9166666666666666
bulb,0.9483333333333333,0.9466666666666667,8.0,1.0,1.0,0.9166666666666665
can,0.7683333333333333,0.7305952380952381,7.0,2.0,0.6166666666666667,0.9833333333333333
cap,0.78,0.7257142857142858,9.0,2.0,0.5833333333333333,0.9833333333333333
coffe,0.9066666666666666,0.91,8.0,1.0,0.975,0.8833333333333333
comput,0.8958333333333333,0.9233333333333333,8.0,1.0,1.0,0.875
design,0.9183333333333333,0.9233333333333333,8.0,1.0,1.0,0.875
eras,0.9875,0.99,8.5,2.0,1.0,0.9833333333333333
flashlight,0.7158333333333333,0.7211904761904762,8.0,1.0,0.7625,0.8
fold,0.8608333333333333,0.8861904761904762,8.0,1.0,0.9375,0.8666666666666667
fork,0.8833333333333333,0.9183333333333334,8.0,1.0,1.0,0.8749999999999999
frame,0.8375,0.8166666666666667,8.0,1.0,0.85,0.8416666666666666
glass,0.8533333333333333,0.815,8.0,1.0,0.875,0.825
green,0.8641666666666667,0.8478571428571429,8.5,2.0,0.7958333333333334,0.9666666666666666
hammer,0.8016666666666667,0.7916666666666667,8.0,1.0,0.8083333333333333,0.8666666666666666
handl,0.7350000000000001,0.7380952380952381,8.0,4.0,0.615,1.0
jar,0.8566666666666667,0.8466666666666667,8.0,1.0,0.8583333333333333,0.8999999999999999
label,0.9349999999999999,0.9361904761904761,7.5,2.0,0.9625,0.9333333333333332
lemon,0.9316666666666666,0.9366666666666666,8.0,1.0,1.0,0.9
light,0.9041666666666667,0.8983333333333334,7.5,1.0,0.9,0.95
lightbulb,0.9358333333333333,0.9366666666666665,8.0,1.0,1.0,0.8999999999999999
lime,0.9091666666666667,0.9183333333333334,8.0,1.0,0.9833333333333333,0.8916666666666666
marker,0.9149999999999999,0.9266666666666666,8.0,1.0,1.0,0.8833333333333332
measur,0.7908333333333333,0.7733333333333334,8.0,1.0,0.8083333333333332,0.825
mechan,0.8841666666666667,0.905,8.0,1.0,1.0,0.8583333333333334
metal,0.9325000000000001,0.9061904761904762,8.0,3.0,0.8541666666666666,1.0
mous,0.8825000000000001,0.8816666666666666,8.0,1.0,1.0,0.825
mug,0.9458333333333333,0.94,8.0,1.0,0.975,0.9333333333333333
onion,0.8441666666666666,0.8783333333333334,8.0,1.0,1.0,0.825
open,0.7816666666666666,0.8011904761904762,7.0,1.0,0.7874999999999999,0.9083333333333332
orang,0.9733333333333334,0.9728571428571429,7.5,3.0,0.9541666666666666,1.0
pair,0.9216666666666666,0.8928571428571428,9.0,3.0,0.8458333333333333,1.0
pencil,0.8416666666666667,0.8600000000000001,8.0,1.0,1.0,0.7916666666666667
pepper,0.94,0.9166666666666665,8.0,1.0,1.0,0.875
phone,0.9575,0.9533333333333334,8.0,1.0,1.0,0.9249999999999999
pictur,0.9650000000000001,0.9633333333333333,7.0,1.0,1.0,0.9416666666666667
pill,0.815,0.845,8.0,1.0,0.95,0.825
pink,1.0,1.0,8.5,2.0,1.0,1.0
plastic,0.9875,0.99,7.5,2.0,1.0,0.9833333333333333
plate,0.95,0.9700000000000002,8.0,1.0,1.0,0.95
plier,0.9383333333333332,0.9299999999999999,8.0,1.0,1.0,0.8916666666666666
potato,0.8941666666666666,0.8866666666666667,8.0,1.0,1.0,0.825
prescript,0.9083333333333334,0.9000000000000001,8.0,1.0,0.9583333333333333,0.8833333333333332
red,0.9316666666666668,0.9116666666666666,8.0,5.0,0.8666666666666667,1.0
scissor,0.8666666666666667,0.8016666666666666,8.0,1.0,0.7666666666666666,0.9166666666666666
screwdriv,0.6425000000000001,0.6745238095238095,8.0,1.0,0.6875,0.7583333333333333
shampoo,0.9125,0.9383333333333334,8.0,1.0,1.0,0.9083333333333333
silver,0.8700000000000001,0.829047619047619,9.0,5.0,0.7333333333333334,1.0
small,0.62,0.6592857142857143,6.0,7.0,0.5041666666666667,1.0
soda,0.9208333333333333,0.9266666666666666,8.0,1.0,1.0,0.8833333333333333
spoon,0.9325,0.9199999999999999,8.0,1.0,0.95,0.925
stapler,0.8383333333333334,0.8200000000000001,8.0,1.0,0.9,0.8333333333333333
syring,0.9275,0.9433333333333334,8.0,1.0,1.0,0.9083333333333332
tape,0.8116666666666666,0.7766666666666667,8.0,1.0,0.7833333333333333,0.8583333333333332
toothbrush,0.9199999999999999,0.9116666666666666,8.0,1.0,0.975,0.8916666666666666
toothpast,0.97,0.9633333333333334,8.0,1.0,1.0,0.9416666666666667
