conf_text/text_desciptions.csv_stop_raw.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
lightbulb,0.888333333,1,0.833333333,0.893333333,1,8
measuring,0.946666667,1,0.933333333,0.96,1,8
apple,0.913333333,1,0.9,0.93,1,8
bell,0.791666667,0.775,0.9,0.80952381,1,8
folded,0.893333333,1,0.833333333,0.893333333,1,8
frame,0.901666667,1,0.85,0.906666667,1,8
scissors,0.791666667,0.916666667,0.766666667,0.79,1,8
bandages,0.916666667,1,0.883333333,0.926666667,1,8
yellow,0.836666667,0.708333333,1,0.819047619,8,8
jar,0.825,0.85,0.833333333,0.79,1,8
marker,0.96,1,0.933333333,0.96,1,8
computer,0.93,1,0.9,0.94,1,8
measure,0.901666667,0.95,0.9,0.906666667,1,8
syringe,0.925,1,0.9,0.94,1,8
allen,0.891666667,1,0.833333333,0.883333333,1,8
soda,0.926666667,1,0.883333333,0.926666667,1,8
label,0.941666667,1,0.933333333,0.96,2,7
mouse,0.975,1,0.966666667,0.98,1,8
stapler,0.818333333,0.95,0.833333333,0.856666667,1,8
lime,0.773333333,0.641666667,0.95,0.737142857,1,8
pink,0.91,0.966666667,0.883333333,0.906666667,1,8
light,0.955,0.95,0.966666667,0.946666667,2,7
lemon,0.915,1,0.866666667,0.92,1,8
purple,0.876666667,1,0.8,0.863333333,1,8
hammer,0.605,0.733333333,0.783333333,0.724761905,1,8
tube,0.896666667,1,0.833333333,0.893333333,1,8
bowl,0.816666667,1,0.816666667,0.876666667,1,8
pencil,0.826666667,1,0.783333333,0.866666667,1,8
plastic,0.941666667,1,0.933333333,0.96,2,7
mug,0.888333333,1,0.833333333,0.893333333,1,8
book,0.815,0.783333333,0.916666667,0.813333333,1,8
black,0.863333333,0.791666667,1,0.862380952,6,7
toothpaste,0.946666667,1,0.933333333,0.96,1,8
tape,0.896666667,0.883333333,0.933333333,0.876666667,1,8
white,0.828333333,0.733333333,1,0.818095238,7,7
banana,0.745,0.641666667,0.95,0.762380952,1,8
red,0.9,0.851666667,1,0.907380952,7,8
fork,0.871666667,1,0.8,0.873333333,1,8
flashlight,0.793333333,0.85,0.816666667,0.816666667,1,8
coffee,0.975,1,0.966666667,0.98,1,8
used,0.646666667,0.676666667,0.816666667,0.692142857,1,4
handle,1,1,1,1,3,7
plate,0.975,1,0.966666667,0.98,1,8
blue,1,1,1,1,7,8
bandaids,0.798333333,0.916666667,0.75,0.81,1,8
screwdriver,0.706666667,0.683333333,0.833333333,0.723333333,1,8
toothbrush,0.941666667,1,0.933333333,0.96,1,8
phone,0.95,1,0.933333333,0.96,1,8
spoon,1,1,1,1,1,8
wired,0.921666667,1,0.9,0.94,1,8
opener,0.843333333,1,0.766666667,0.853333333,1,8
potato,0.883333333,1,0.833333333,0.893333333,1,8
pair,1,1,1,1,3,10
pliers,0.958333333,0.966666667,0.966666667,0.96,1,8
silver,1,1,1,1,5,9
bulb,0.975,1,0.966666667,0.98,1,8
box,0.941666667,0.916666667,0.966666667,0.926666667,2,8
water,0.96,1,0.933333333,0.96,1,8
picture,0.888333333,0.95,0.833333333,0.86,1,8
towel,0.893333333,1,0.833333333,0.893333333,1,8
prescription,0.916666667,1,0.9,0.93,1,8
onion,0.885,0.9,0.933333333,0.913333333,1,8
orange,0.778333333,0.666666667,0.916666667,0.746666667,1,7
brown,0.863333333,1,0.8,0.873333333,1,8
cap,0.79,0.608333333,0.966666667,0.729047619,2,10
shampoo,0.891666667,0.9,0.933333333,0.893333333,1,8
object,0.826666667,0.808333333,0.95,0.867142857,1,1
pill,0.896666667,1,0.866666667,0.92,1,8
pepper,0.848333333,0.916666667,0.833333333,0.846666667,1,8
green,0.79,0.666666667,1,0.792857143,3,7
can,0.888333333,0.833333333,0.966666667,0.873333333,2,7
bottle,1,1,1,1,5,9
mechanical,0.915,1,0.866666667,0.92,1,8
small,0.901666667,0.833333333,1,0.893333333,7,5
metal,0.686666667,0.526666667,1,0.681666667,2,9
glasses,0.946666667,1,0.916666667,0.946666667,1,8
Folder Number:  6000
Accuracy:  0.8832017543859652
F1-Score:  0.8888189223057644
Precision:  0.917719298245614
Recall:  0.9035087719298245
conf_text/text_desciptions.csv_stop_raw.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
lightbulb,0.966666667,1,0.95,0.966666667,1,8
measuring,0.86,1,0.816666667,0.876666667,1,8
apple,0.746666667,0.9,0.8,0.793333333,1,8
bell,0.786666667,0.816666667,0.85,0.806666667,1,8
folded,0.901666667,1,0.85,0.906666667,1,8
frame,0.921666667,1,0.866666667,0.913333333,1,8
scissors,0.96,1,0.933333333,0.96,1,8
bandages,0.916666667,0.95,0.933333333,0.916666667,1,8
yellow,0.9,0.825,1,0.892380952,8,8
jar,0.96,1,0.933333333,0.96,1,8
marker,0.888333333,1,0.866666667,0.92,1,8
computer,0.866666667,1,0.9,0.93,1,8
measure,0.876666667,0.85,0.883333333,0.826666667,1,8
syringe,0.851666667,0.95,0.816666667,0.843333333,1,8
allen,0.933333333,1,0.933333333,0.95,1,8
soda,0.966666667,1,0.966666667,0.98,1,8
label,0.98,1,0.966666667,0.98,2,7
mouse,0.96,1,0.916666667,0.946666667,1,8
stapler,0.933333333,0.95,0.933333333,0.926666667,1,8
lime,0.866666667,1,0.9,0.93,1,8
pink,0.905,0.916666667,0.916666667,0.893333333,1,8
light,0.966666667,0.9,1,0.933333333,2,8
lemon,0.95,1,0.916666667,0.946666667,1,8
purple,0.933333333,0.9,0.95,0.9,1,8
hammer,0.851666667,0.916666667,0.85,0.85,1,8
tube,0.868333333,1,0.8,0.873333333,1,8
bowl,0.915,1,0.833333333,0.893333333,1,8
pencil,0.85,1,0.85,0.896666667,1,8
plastic,0.966666667,1,0.966666667,0.98,2,6
mug,0.876666667,0.9,0.9,0.873333333,1,8
book,0.805,0.825,0.85,0.812380952,1,8
black,0.738333333,0.61,1,0.739761905,6,7
toothpaste,0.886666667,1,0.816666667,0.886666667,1,8
tape,0.906666667,0.833333333,0.966666667,0.873333333,1,8
white,0.9,0.775,1,0.852380952,7,7
banana,0.94,1,0.9,0.94,1,8
red,0.856666667,0.743333333,1,0.829761905,7,8
fork,0.885,1,0.816666667,0.876666667,1,8
flashlight,0.885,0.883333333,0.933333333,0.886666667,1,8
coffee,0.901666667,1,0.85,0.906666667,1,8
used,0.963333333,0.925,1,0.952380952,1,4
handle,0.791666667,0.616666667,1,0.756190476,3,9
plate,0.916666667,1,0.883333333,0.926666667,1,8
blue,0.938333333,0.908333333,1,0.945714286,7,7
bandaids,0.921666667,0.9,0.916666667,0.88,1,8
screwdriver,0.82,0.866666667,0.833333333,0.82,1,8
toothbrush,0.863333333,0.883333333,0.866666667,0.84,1,8
phone,0.883333333,0.966666667,0.866666667,0.9,1,8
spoon,0.903333333,0.916666667,0.933333333,0.911428571,1,8
wired,0.908333333,1,0.883333333,0.926666667,1,8
opener,0.848333333,0.908333333,0.883333333,0.872380952,1,8
potato,0.93,1,0.883333333,0.926666667,1,8
pair,0.96,0.925,1,0.952380952,3,10
pliers,0.701666667,0.65,0.883333333,0.73,1,8
silver,1,1,1,1,5,8
bulb,0.93,1,0.9,0.93,1,8
box,0.966666667,1,0.966666667,0.98,2,9
water,1,1,1,1,1,8
picture,0.908333333,1,0.883333333,0.926666667,1,8
towel,0.946666667,1,0.916666667,0.946666667,1,8
prescription,0.926666667,1,0.9,0.94,1,8
onion,0.856666667,0.85,0.866666667,0.82,1,8
orange,0.838333333,0.9,0.866666667,0.853333333,1,7
