,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.881633772,0.885940894,-1,-1,0.914667398,0.905116959
allen,0.900555556,0.906666667,8,1,1,0.861111111
apple,0.863333333,0.854444444,8,1,0.883333333,0.897222222
banana,0.748888889,0.786825397,8,1,0.741666667,0.888888889
bandages,0.817222222,0.833730159,8,1,0.865277778,0.869444444
bandaids,0.8375,0.838095238,8,1,0.856944444,0.877777778
bell,0.798611111,0.811269841,8,1,0.781944445,0.9
black,0.8125,0.806309524,7,6,0.705833333,1
blue,0.949166667,0.946428571,7.666666667,7,0.915277778,1
book,0.840833333,0.839047619,8,1,0.811111111,0.927777778
bottle,0.972777778,0.959444444,8.833333333,5,0.938888889,1
bowl,0.918611111,0.932777778,8,1,1,0.894444444
box,0.934722222,0.917222222,8.833333333,2,0.9,0.972222222
brown,0.916666667,0.921666667,7.833333333,1,1,0.877777778
bulb,0.917777778,0.925555556,8,1,1,0.886111111
can,0.840833333,0.830595238,7,2,0.758333333,0.983333333
cap,0.922222222,0.915952381,8.833333333,2,0.909722222,0.955555556
coffee,0.931944444,0.933333333,8,1,1,0.894444445
computer,0.907222222,0.918333333,8,1,1,0.872222222
flashlight,0.810555556,0.812460318,8,1,0.838888889,0.844444445
folded,0.883333333,0.898888889,8,1,1,0.841666667
fork,0.911111111,0.922777778,8,1,1,0.883333333
frame,0.901666667,0.907777778,8,1,0.986111111,0.872222222
glasses,0.931388889,0.937777778,8,1,1,0.9
green,0.835277778,0.820079365,8,3,0.725555556,1
hammer,0.781666667,0.832698413,8,1,0.877777778,0.841666667
handle,0.880833333,0.865634921,8.666666667,3,0.788888889,1
jar,0.850833333,0.845,8,1,0.897222222,0.858333333
label,0.973888889,0.98,6.833333333,2,1,0.966666667
lemon,0.888055556,0.907619048,8,1,0.979166667,0.869444445
light,0.936666667,0.925238095,8,2,0.902777778,0.977777778
lightbulb,0.954722222,0.96,8,1,1,0.936111111
lime,0.808333333,0.833095238,8,1,0.854166667,0.888888889
marker,0.911666667,0.934444444,8,1,1,0.897222222
measure,0.885555556,0.877222222,8,1,0.936111111,0.866666667
measuring,0.916111111,0.922777778,8,1,0.975,0.902777778
mechanical,0.898611111,0.927777778,8,1,1,0.886111111
metal,0.7925,0.778769841,8.5,2,0.679444445,0.988888889
mouse,0.926944445,0.930555556,8,1,0.986111111,0.905555556
mug,0.914722222,0.907777778,8,1,0.952777778,0.902777778
object,0.814444444,0.851031746,1,1,0.866666667,0.877777778
onion,0.816111111,0.796388889,8,1,0.776666667,0.894444444
opener,0.849722222,0.849285714,8,1,0.906944444,0.852777778
orange,0.854722222,0.862777778,7,1,0.9,0.880555556
pair,0.966666667,0.958015873,9.333333333,3,0.936111111,1
pencil,0.890277778,0.906111111,8,1,1,0.852777778
pepper,0.819722222,0.840079365,8,1,0.878888889,0.85
phone,0.910833333,0.923888889,8,1,0.994444445,0.883333333
picture,0.884166667,0.881111111,8,1,0.958333333,0.852777778
pill,0.8925,0.897619048,8,1,0.951388889,0.888888889
pink,0.866388889,0.874920635,8,1,0.913888889,0.883333333
plastic,0.957777778,0.97,6.833333333,2,1,0.95
plate,0.944722222,0.946666667,8,1,1,0.916666667
pliers,0.870277778,0.888888889,8,1,0.897222222,0.916666667
potato,0.879722222,0.88484127,8,1,0.9875,0.833333333
prescription,0.88,0.879444445,8,1,0.991666667,0.825
purple,0.916111111,0.903174603,8,1,0.970833333,0.883333333
red,0.857777778,0.838611111,8,7,0.759166667,1
scissors,0.857222222,0.873333333,8,1,0.986111111,0.822222222
screwdriver,0.834722222,0.836507936,8,1,0.854166667,0.880555555
shampoo,0.897222222,0.900555555,8,1,0.983333333,0.861111111
silver,0.991666667,0.985555556,8.666666667,5,0.977777778,1
small,0.794444445,0.798730159,5.166666667,7,0.691944444,1
soda,0.903333333,0.912222222,8,1,0.958333333,0.902777778
spoon,0.886666667,0.896349206,8,1,0.95,0.877777778
stapler,0.900277778,0.906666667,8,1,0.975,0.880555555
syringe,0.895277778,0.898333333,8,1,0.983333333,0.858333333
tape,0.886666667,0.890555556,8,1,0.936111111,0.897222222
toothbrush,0.885,0.882777778,8,1,0.936111111,0.877777778
toothpaste,0.903888889,0.912777778,8,1,1,0.866666667
towel,0.902222222,0.908888889,8,1,1,0.855555556
tube,0.899444444,0.906111111,8,1,1,0.852777778
used,0.745277778,0.762539682,4,1,0.7325,0.888888889
water,0.948055556,0.952777778,8,1,1,0.927777778
white,0.788333333,0.770674603,6.333333333,7,0.668888889,1
wired,0.922777778,0.938333333,8,1,0.994444444,0.908333333
yellow,0.863888889,0.838888889,8,8,0.748611111,1
