conf_speech/audio_descriptions.csv_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
ceram,0.975,1.0,0.9666666666666666,0.9800000000000001,2,8
cap,0.9333333333333333,0.9083333333333332,1.0,0.9457142857142857,2,9
comput,0.8166666666666667,0.9,0.8833333333333332,0.8666666666666668,1,8
potato,0.9400000000000001,0.95,0.9,0.9166666666666666,1,8
bell,0.7083333333333334,0.5933333333333333,0.8833333333333332,0.6754761904761906,1,8
needl,0.7033333333333334,0.6416666666666667,0.8833333333333332,0.7338095238095238,1,8
bowl,0.9016666666666666,1.0,0.8333333333333333,0.8933333333333333,1,8
frame,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,8
orang,0.7450000000000001,0.6166666666666666,0.9333333333333332,0.7204761904761904,2,8
bottl,0.8366666666666667,0.7083333333333333,1.0,0.8171428571428571,5,9
yellow,0.8183333333333334,0.7,1.0,0.8066666666666666,5,9
blue,0.9183333333333333,0.8833333333333332,1.0,0.9314285714285715,5,8
pink,0.8583333333333334,0.725,1.0,0.819047619047619,3,9
bulb,0.8566666666666667,0.85,0.9,0.8533333333333335,1,8
marker,0.85,1.0,0.8166666666666667,0.8766666666666666,1,8
allen,0.78,0.9166666666666666,0.8,0.8333333333333333,1,8
plastic,0.7566666666666666,0.5916666666666666,1.0,0.7238095238095238,3,7
hammer,0.9800000000000001,1.0,0.95,0.9666666666666666,1,8
wrench,0.7766666666666666,0.7166666666666666,0.8833333333333332,0.7433333333333334,1,8
cola,0.9600000000000002,1.0,0.9333333333333332,0.9600000000000002,1,8
flashlight,0.8966666666666668,0.8666666666666666,0.9666666666666666,0.9047619047619048,1,8
use,0.9433333333333334,0.85,1.0,0.9,2,4
cut,0.5883333333333333,0.5666666666666667,0.75,0.6247619047619046,1,8
lemon,0.885,1.0,0.8,0.8733333333333334,1,8
cup,0.9433333333333334,0.95,0.9333333333333332,0.9266666666666665,1,8
syring,0.7333333333333333,0.5916666666666667,0.9,0.7057142857142857,1,8
open,0.9433333333333334,0.9416666666666667,0.9666666666666666,0.9457142857142857,1,7
prescript,0.7783333333333333,0.7,0.9,0.7533333333333333,1,8
jar,0.8,0.5833333333333333,0.9666666666666666,0.7133333333333334,1,8
pen,0.9133333333333333,0.9416666666666667,0.9333333333333332,0.9257142857142856,1,8
label,0.9166666666666666,1.0,0.9,0.9400000000000001,1,7
handl,0.6266666666666667,0.5333333333333333,1.0,0.6769047619047619,5,9
mug,0.93,0.95,0.9166666666666666,0.9133333333333333,1,8
appl,0.95,0.95,0.95,0.9333333333333332,1,8
black,0.5816666666666667,0.4883333333333333,1.0,0.639047619047619,7,8
toothbrush,0.86,1.0,0.8666666666666666,0.9099999999999999,1,8
tape,0.8183333333333334,0.8166666666666668,0.9,0.8399999999999999,1,8
white,0.675,0.5583333333333333,1.0,0.6947619047619048,7,7
lime,0.885,1.0,0.8166666666666667,0.8766666666666666,1,8
banana,0.8933333333333332,1.0,0.85,0.9066666666666666,1,8
red,0.9083333333333334,0.875,1.0,0.9257142857142856,4,8
scissor,0.685,0.6583333333333333,0.9,0.7471428571428571,1,8
cord,0.8183333333333334,0.8999999999999998,0.8666666666666666,0.8733333333333333,1,8
plate,0.9266666666666665,1.0,0.9,0.9400000000000001,1,8
pepper,0.7366666666666667,0.625,0.8833333333333332,0.6923809523809524,1,8
measur,0.8150000000000001,0.7666666666666666,0.8833333333333332,0.7733333333333333,1,8
food,0.595,0.43666666666666665,1.0,0.5966666666666666,1,8
toothpast,0.8516666666666668,0.9666666666666666,0.7833333333333333,0.8400000000000001,1,8
coffe,0.8933333333333333,1.0,0.8166666666666667,0.8800000000000001,1,8
mous,0.9133333333333333,0.9666666666666666,0.9333333333333332,0.9466666666666667,1,8
band,0.9349999999999999,1.0,0.8833333333333332,0.9266666666666665,1,8
spoon,0.8983333333333334,0.9166666666666666,0.9,0.8866666666666667,1,8
mechan,0.7683333333333333,1.0,0.7166666666666667,0.8066666666666666,1,8
water,0.9333333333333332,1.0,0.9333333333333332,0.96,1,8
pair,0.93,0.8333333333333333,1.0,0.8933333333333333,3,9
stapler,0.835,0.8,0.9333333333333332,0.8466666666666667,1,8
glass,0.9349999999999999,1.0,0.9,0.9400000000000001,1,8
purpl,0.9349999999999999,0.875,1.0,0.919047619047619,2,9
silver,0.8366666666666667,0.7083333333333333,1.0,0.8190476190476191,4,9
box,1.0,1.0,1.0,1.0,3,9
gray,0.8,0.725,0.8833333333333332,0.7657142857142858,1,8
sharpi,0.9099999999999999,0.9166666666666666,0.9333333333333332,0.9066666666666666,1,8
towel,0.9800000000000001,1.0,0.95,0.9666666666666666,1,8
like,0.8766666666666667,0.95,0.8333333333333333,0.86,1,5
phone,0.8666666666666666,0.8666666666666666,0.9166666666666666,0.86,1,8
light,0.8116666666666668,0.75,0.9666666666666666,0.8314285714285715,1,7
clear,0.7166666666666667,0.7333333333333333,0.85,0.7671428571428571,1,7
pictur,0.9466666666666667,1.0,0.9166666666666666,0.9466666666666667,1,8
shampoo,0.9,0.9,0.9333333333333332,0.8933333333333333,1,8
pencil,0.9333333333333332,1.0,0.9333333333333332,0.96,1,8
screwdriv,0.9083333333333334,0.8666666666666666,0.9666666666666666,0.8933333333333332,1,8
book,0.9633333333333333,0.9666666666666666,0.9666666666666666,0.96,2,10
fork,0.6833333333333333,0.6666666666666667,0.8,0.6966666666666667,1,8
plier,0.7050000000000001,0.8416666666666666,0.7333333333333333,0.7457142857142857,1,8
green,0.9833333333333334,0.9666666666666666,1.0,0.9800000000000001,4,9
can,0.8800000000000001,0.8166666666666667,0.9666666666666666,0.8633333333333333,2,8
coca,0.8749999999999998,1.0,0.85,0.9066666666666666,1,8
small,0.9466666666666667,0.8833333333333332,1.0,0.9166666666666666,6,6
aid,0.9100000000000001,1.0,0.85,0.9066666666666666,1,8
medic,0.8916666666666666,0.8916666666666666,0.9666666666666666,0.919047619047619,1,8
Folder Number:  6000
Accuracy:  0.8532083333333332
F1-Score:  0.8546666666666667
Precision:  0.85075
Recall:  0.915625
conf_speech/audio_descriptions.csv_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
ceram,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,2,10
cap,0.9100000000000001,0.8083333333333332,1.0,0.8790476190476191,2,9
comput,0.8666666666666666,1.0,0.8166666666666667,0.8800000000000001,1,8
potato,0.925,1.0,0.9,0.93,1,8
bell,0.8666666666666668,0.8333333333333333,0.9333333333333332,0.86,1,8
needl,0.5833333333333334,0.5016666666666667,0.9166666666666666,0.6273809523809525,1,8
bowl,0.95,1.0,0.9333333333333332,0.96,1,8
frame,0.9466666666666667,1.0,0.9333333333333332,0.96,1,8
orang,0.8516666666666668,0.8333333333333333,0.9333333333333332,0.8533333333333333,2,8
bottl,0.8066666666666666,0.6333333333333333,1.0,0.7666666666666667,5,10
yellow,0.915,0.85,1.0,0.9066666666666666,5,8
blue,0.8616666666666667,0.7083333333333333,1.0,0.8023809523809524,5,9
pink,0.765,0.6599999999999999,1.0,0.7864285714285715,3,10
bulb,0.8866666666666667,0.85,0.9666666666666666,0.8766666666666666,1,8
marker,1.0,1.0,1.0,1.0,1,8
allen,0.9550000000000001,0.9,1.0,0.9333333333333332,1,8
plastic,0.8766666666666667,0.75,1.0,0.8400000000000001,3,7
hammer,0.9216666666666666,1.0,0.8833333333333332,0.9266666666666667,1,8
wrench,0.8150000000000001,0.775,0.9333333333333332,0.8157142857142858,1,8
