,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.8515833333333332,0.8564801587301586,-1.0,-1.0,0.857763888888889,0.9125694444444443
aid,0.8711111111111111,0.8688888888888888,8.0,1.0,0.9388888888888888,0.85
allen,0.8872222222222224,0.9022222222222221,8.0,1.0,0.9277777777777777,0.9111111111111111
appl,0.9144444444444444,0.8911111111111111,8.0,1.0,0.8888888888888888,0.9444444444444443
banana,0.8822222222222221,0.9044444444444443,8.0,1.0,1.0,0.8555555555555555
band,0.8877777777777777,0.8563492063492063,8.0,1.0,0.8638888888888889,0.9055555555555554
bell,0.8461111111111111,0.8292857142857143,8.0,1.0,0.8005555555555555,0.9222222222222222
black,0.5927777777777777,0.6280158730158729,8.0,7.0,0.4777777777777777,1.0
blue,0.9133333333333334,0.8890476190476191,8.666666666666666,5.0,0.8305555555555554,1.0
book,0.971111111111111,0.9733333333333333,9.333333333333334,2.0,0.9888888888888889,0.9666666666666667
bottl,0.8811111111111112,0.8612698412698413,9.333333333333334,5.0,0.7805555555555556,1.0
bowl,0.8772222222222222,0.9077777777777779,8.0,1.0,1.0,0.8555555555555555
box,0.9794444444444445,0.973015873015873,8.666666666666666,3.0,0.9583333333333334,1.0
bulb,0.8772222222222222,0.8788888888888889,8.0,1.0,0.8833333333333333,0.9222222222222222
can,0.8194444444444445,0.7982539682539683,8.0,2.0,0.7444444444444445,0.9444444444444443
cap,0.903888888888889,0.8901587301587303,8.666666666666666,2.0,0.8249999999999998,1.0
ceram,0.9783333333333334,0.9800000000000001,9.0,2.0,1.0,0.9666666666666665
clear,0.8011111111111111,0.8195238095238095,7.0,1.0,0.7999999999999998,0.8944444444444444
coca,0.8427777777777777,0.8566666666666668,8.0,1.0,0.9,0.8777777777777778
coffe,0.9105555555555555,0.92,8.0,1.0,1.0,0.8722222222222222
cola,0.873888888888889,0.8685714285714287,8.0,1.0,0.8972222222222221,0.8833333333333333
comput,0.86,0.8800000000000002,8.0,1.0,0.9499999999999998,0.861111111111111
cord,0.8855555555555555,0.9088888888888889,8.0,1.0,0.9666666666666667,0.8777777777777778
cup,0.9344444444444445,0.9333333333333332,8.0,1.0,0.9833333333333334,0.911111111111111
cut,0.6127777777777778,0.6357142857142857,8.0,1.0,0.5527777777777778,0.8222222222222223
flashlight,0.8233333333333334,0.8523809523809525,8.0,1.0,0.8305555555555556,0.9333333333333332
food,0.6638888888888889,0.677142857142857,8.0,1.0,0.6066666666666666,0.8999999999999999
fork,0.765,0.7807936507936507,8.0,1.0,0.8361111111111111,0.7944444444444446
frame,0.956111111111111,0.9577777777777777,8.0,1.0,1.0,0.9333333333333332
glass,0.861111111111111,0.8633333333333334,8.0,1.0,0.9388888888888888,0.8333333333333334
gray,0.8688888888888888,0.8571428571428571,8.0,1.0,0.8444444444444444,0.9222222222222222
green,0.9472222222222223,0.9355555555555556,9.0,4.0,0.9,1.0
hammer,0.8955555555555555,0.8974603174603174,8.0,1.0,0.9527777777777778,0.8777777777777777
handl,0.6805555555555555,0.7113492063492064,8.0,5.0,0.5727777777777777,1.0
jar,0.75,0.7555555555555555,8.0,1.0,0.7444444444444445,0.8722222222222222
label,0.918888888888889,0.9155555555555556,7.333333333333333,1.0,0.9833333333333334,0.8833333333333333
lemon,0.8816666666666667,0.8733333333333334,8.0,1.0,0.9388888888888888,0.861111111111111
light,0.8166666666666668,0.8126984126984128,7.0,1.0,0.7611111111111111,0.9277777777777776
like,0.8294444444444444,0.8422222222222221,5.0,1.0,0.9388888888888888,0.8055555555555555
lime,0.9011111111111112,0.9077777777777779,8.0,1.0,1.0,0.8555555555555555
marker,0.8416666666666668,0.8722222222222221,8.0,1.0,0.9611111111111111,0.8333333333333334
measur,0.9094444444444445,0.9044444444444445,8.0,1.0,0.9222222222222222,0.9277777777777777
mechan,0.8861111111111111,0.8933333333333332,8.0,1.0,1.0,0.8388888888888889
medic,0.8983333333333334,0.8930158730158729,8.0,1.0,0.9249999999999999,0.9
mous,0.8977777777777778,0.8966666666666668,8.0,1.0,0.9555555555555554,0.8833333333333333
mug,0.931111111111111,0.9333333333333335,8.0,1.0,0.9833333333333334,0.9111111111111111
needl,0.6505555555555556,0.691984126984127,8.0,1.0,0.5922222222222223,0.8833333333333333
open,0.8594444444444443,0.8852380952380953,7.0,1.0,0.8972222222222221,0.9055555555555556
orang,0.805,0.7868253968253968,8.333333333333334,2.0,0.7166666666666665,0.9444444444444443
pair,0.8216666666666668,0.8212698412698413,9.666666666666666,3.0,0.7166666666666667,1.0
pen,0.8705555555555556,0.893015873015873,8.0,1.0,0.936111111111111,0.8944444444444444
pencil,0.8888888888888888,0.9177777777777777,8.0,1.0,1.0,0.8666666666666667
pepper,0.705,0.6934920634920635,8.0,1.0,0.6027777777777779,0.8777777777777777
phone,0.8577777777777778,0.8652380952380954,8.0,1.0,0.9138888888888888,0.8777777777777777
pictur,0.9394444444444444,0.9444444444444443,8.0,1.0,1.0,0.911111111111111
pink,0.8277777777777778,0.8103968253968254,9.0,3.0,0.7033333333333333,1.0
