confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9083333333333332,1.0,0.9,0.93,1,1
like,0.95,1.0,0.9666666666666666,0.9800000000000001,2,0
corn,0.4016666666666667,0.46833333333333327,0.9,0.6073809523809525,1,1
yellow,1.0,1.0,1.0,1.0,2,0
fruit,0.2783333333333333,0.3483333333333333,0.8833333333333332,0.4847619047619047,1,1
green,0.33499999999999996,0.38499999999999995,0.9166666666666666,0.5233333333333332,1,1
cucumber,0.37666666666666665,0.51,0.9,0.6250000000000001,1,1
banana,0.20833333333333331,0.35833333333333334,0.7166666666666666,0.44666666666666666,1,1
Folder Number:  6000
Accuracy:  0.5572916666666666
F1-Score:  0.6996428571428572
Precision:  0.63375
Recall:  0.8979166666666667
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8916666666666666,1.0,0.8666666666666666,0.9200000000000002,1,1
like,1.0,1.0,1.0,1.0,2,0
corn,0.4916666666666666,0.55,0.9333333333333332,0.6785714285714286,1,1
yellow,0.95,1.0,0.9666666666666666,0.9800000000000001,2,0
fruit,0.24666666666666667,0.39166666666666666,0.8,0.5009523809523809,1,1
green,0.32166666666666666,0.38,0.9333333333333332,0.5088095238095238,1,1
cucumber,0.5683333333333332,0.6266666666666667,0.9333333333333332,0.7435714285714285,1,1
banana,0.32999999999999996,0.5316666666666666,0.7166666666666667,0.58,1,1
Folder Number:  6000
Accuracy:  0.6
F1-Score:  0.7389880952380953
Precision:  0.6849999999999999
Recall:  0.89375
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
like,0.95,1.0,0.9666666666666666,0.9800000000000001,2,0
corn,0.46833333333333327,0.46833333333333327,1.0,0.6240476190476191,1,1
yellow,0.95,1.0,0.9666666666666666,0.9800000000000001,2,0
fruit,0.20166666666666666,0.3616666666666667,0.7666666666666667,0.4666666666666667,1,1
green,0.355,0.38,0.95,0.5330952380952381,1,1
cucumber,0.385,0.485,0.8833333333333332,0.6007142857142858,1,1
banana,0.38,0.33166666666666667,0.9166666666666666,0.4600000000000001,1,1
Folder Number:  6000
Accuracy:  0.5820833333333333
F1-Score:  0.7030654761904762
Precision:  0.6283333333333333
Recall:  0.9270833333333333
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9083333333333334,1.0,0.9,0.93,1,1
like,0.9,1.0,0.9333333333333332,0.9600000000000002,2,0
corn,0.4683333333333334,0.5349999999999999,0.9166666666666666,0.6673809523809524,1,1
yellow,0.9,1.0,0.9333333333333332,0.96,2,0
fruit,0.30000000000000004,0.4366666666666667,0.8166666666666667,0.5447619047619048,1,1
green,0.3516666666666667,0.385,0.9666666666666666,0.5221428571428571,1,1
cucumber,0.47000000000000003,0.5866666666666667,0.8666666666666666,0.6909523809523809,1,1
banana,0.21333333333333332,0.4066666666666666,0.7166666666666667,0.4904761904761905,1,1
Folder Number:  6000
Accuracy:  0.5639583333333333
F1-Score:  0.7207142857142858
Precision:  0.66875
Recall:  0.8812499999999999
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8666666666666668,1.0,0.9,0.93,1,1
like,1.0,1.0,1.0,1.0,2,0
corn,0.4749999999999999,0.5333333333333333,0.9333333333333332,0.6585714285714286,1,1
yellow,1.0,1.0,1.0,1.0,2,0
fruit,0.07499999999999998,0.3833333333333333,0.65,0.44523809523809527,1,1
green,0.41166666666666674,0.41166666666666674,1.0,0.5721428571428572,1,1
cucumber,0.4583333333333333,0.4916666666666666,0.9666666666666666,0.6323809523809524,1,1
banana,0.2683333333333333,0.3333333333333333,0.8333333333333333,0.44761904761904764,1,1
Folder Number:  6000
Accuracy:  0.569375
F1-Score:  0.7107440476190476
Precision:  0.6441666666666667
Recall:  0.9104166666666667
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9,1.0,0.8833333333333332,0.9266666666666665,1,1
like,1.0,1.0,1.0,1.0,2,0
corn,0.385,0.5433333333333332,0.8666666666666666,0.6435714285714286,1,1
yellow,1.0,1.0,1.0,1.0,2,0
fruit,0.175,0.4083333333333333,0.8333333333333333,0.5009523809523809,1,1
green,0.39666666666666667,0.45499999999999996,0.9166666666666666,0.5911904761904763,1,1
cucumber,0.45166666666666677,0.45166666666666677,1.0,0.6107142857142857,1,1
banana,0.33166666666666667,0.4,0.7333333333333333,0.490952380952381,1,1
Folder Number:  6000
Accuracy:  0.5800000000000001
F1-Score:  0.7205059523809524
Precision:  0.6572916666666666
Recall:  0.9041666666666667
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,1
like,0.95,1.0,0.9666666666666666,0.9800000000000001,2,0
corn,0.4733333333333333,0.5233333333333332,0.9333333333333332,0.6642857142857144,1,1
yellow,1.0,1.0,1.0,1.0,2,0
fruit,0.2733333333333333,0.3966666666666666,0.8,0.5204761904761905,1,1
green,0.4083333333333333,0.4416666666666666,0.9666666666666666,0.5900000000000001,1,1
cucumber,0.335,0.5183333333333333,0.85,0.6173809523809524,1,1
banana,0.33833333333333326,0.4333333333333333,0.7666666666666666,0.5171428571428571,1,1
Folder Number:  6000
Accuracy:  0.59
F1-Score:  0.7294940476190477
Precision:  0.6641666666666667
Recall:  0.8999999999999999
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
like,1.0,1.0,1.0,1.0,2,0
corn,0.375,0.4416666666666666,0.9166666666666666,0.5757142857142857,1,1
yellow,0.9,1.0,0.9333333333333332,0.96,2,0
fruit,0.11500000000000002,0.3516666666666667,0.6833333333333333,0.440952380952381,1,1
green,0.39999999999999997,0.41999999999999993,0.9666666666666666,0.5700000000000001,1,1
cucumber,0.43499999999999994,0.4933333333333333,0.9333333333333332,0.6288095238095238,1,1
banana,0.21666666666666665,0.46499999999999997,0.7,0.5271428571428572,1,1
Folder Number:  6000
Accuracy:  0.546875
F1-Score:  0.7061607142857143
Precision:  0.6464583333333334
Recall:  0.88125
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
like,0.9,1.0,0.9333333333333332,0.96,2,0
corn,0.46833333333333327,0.46833333333333327,1.0,0.6207142857142858,1,1
yellow,1.0,1.0,1.0,1.0,2,0
fruit,0.255,0.4666666666666667,0.7333333333333333,0.5485714285714286,1,1
green,0.37333333333333335,0.39333333333333337,0.9666666666666666,0.5378571428571429,1,1
cucumber,0.45,0.4833333333333333,0.9666666666666666,0.6300000000000001,1,1
banana,0.37500000000000006,0.3716666666666667,0.8333333333333333,0.48666666666666664,1,1
Folder Number:  6000
Accuracy:  0.5985416666666667
F1-Score:  0.7204761904761905
Precision:  0.6479166666666667
Recall:  0.9249999999999999
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8666666666666666,1.0,0.8333333333333333,0.8933333333333333,1,1
like,1.0,1.0,1.0,1.0,2,0
