confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,1.0,1.0,1.0,1.0,1,1
like,1.0,1.0,1.0,1.0,2,0
corn,0.5416666666666666,0.5666666666666667,0.9666666666666666,0.7019047619047619,1,1
yellow,0.9,1.0,0.9333333333333332,0.96,2,0
fruit,0.775,1.0,0.7833333333333333,0.8566666666666667,1,1
green,0.27,0.395,0.85,0.5004761904761905,1,1
cucumber,0.8666666666666666,1.0,0.9,0.93,1,1
banana,0.17333333333333334,0.3983333333333333,0.7166666666666666,0.48380952380952386,1,1
Folder Number:  6000
Accuracy:  0.6908333333333333
F1-Score:  0.8041071428571429
Precision:  0.7949999999999999
Recall:  0.89375
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9166666666666666,1.0,0.8999999999999998,0.9400000000000001,1,1
like,1.0,1.0,1.0,1.0,2,0
corn,0.4333333333333333,0.5333333333333333,0.8999999999999998,0.638095238095238,1,1
yellow,1.0,1.0,1.0,1.0,2,0
fruit,0.9216666666666666,1.0,0.8666666666666666,0.9133333333333333,1,1
green,0.44333333333333325,0.44333333333333325,1.0,0.5995238095238096,1,1
cucumber,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
banana,0.27,0.3283333333333333,0.9166666666666666,0.4647619047619048,1,1
Folder Number:  6000
Accuracy:  0.7449999999999999
F1-Score:  0.8169642857142857
Precision:  0.788125
Recall:  0.94375
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
like,0.95,1.0,0.9666666666666666,0.9800000000000001,2,0
corn,0.4933333333333333,0.5266666666666666,0.9666666666666666,0.6630952380952381,1,1
yellow,1.0,1.0,1.0,1.0,2,0
fruit,0.8166666666666667,1.0,0.8,0.8699999999999999,1,1
green,0.3283333333333333,0.38666666666666666,0.9333333333333332,0.5214285714285714,1,1
cucumber,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
banana,0.21000000000000002,0.3933333333333333,0.7833333333333333,0.4947619047619048,1,1
Folder Number:  6000
Accuracy:  0.7122916666666665
F1-Score:  0.8069940476190476
Precision:  0.7883333333333333
Recall:  0.9166666666666666
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9,1.0,0.9333333333333332,0.95,1,1
like,1.0,1.0,1.0,1.0,2,0
corn,0.5016666666666667,0.5349999999999999,0.9666666666666666,0.674047619047619,1,1
yellow,1.0,1.0,1.0,1.0,2,0
fruit,0.8550000000000001,1.0,0.8,0.8633333333333333,1,1
green,0.4133333333333334,0.44666666666666666,0.95,0.5857142857142857,1,1
cucumber,1.0,1.0,1.0,1.0,1,1
banana,0.24,0.3983333333333333,0.7833333333333333,0.4971428571428572,1,1
Folder Number:  6000
Accuracy:  0.73875
F1-Score:  0.8212797619047619
Precision:  0.7975000000000001
Recall:  0.9291666666666666
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.875,1.0,0.85,0.9066666666666666,1,1
like,1.0,1.0,1.0,1.0,2,0
corn,0.38333333333333336,0.4916666666666667,0.8666666666666668,0.6071428571428572,1,1
yellow,0.9,1.0,0.9333333333333332,0.96,2,0
fruit,0.8999999999999998,1.0,0.8833333333333332,0.9266666666666667,1,1
green,0.385,0.41833333333333333,0.95,0.5680952380952381,1,1
cucumber,1.0,1.0,1.0,1.0,1,1
banana,0.23499999999999996,0.38499999999999995,0.8,0.48428571428571426,1,1
Folder Number:  6000
Accuracy:  0.7097916666666666
F1-Score:  0.8066071428571429
Precision:  0.786875
Recall:  0.9104166666666667
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9333333333333332,1.0,0.9333333333333332,0.96,1,1
like,1.0,1.0,1.0,1.0,2,0
corn,0.4333333333333333,0.5166666666666666,0.9,0.6447619047619048,1,1
yellow,0.9,1.0,0.9333333333333332,0.9600000000000002,2,0
fruit,0.9166666666666666,1.0,0.8833333333333332,0.9266666666666665,1,1
green,0.3833333333333333,0.4416666666666666,0.9166666666666666,0.5673809523809524,1,1
cucumber,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
banana,0.14666666666666667,0.3566666666666667,0.6833333333333333,0.45666666666666667,1,1
Folder Number:  6000
Accuracy:  0.7110416666666666
F1-Score:  0.8119345238095239
Precision:  0.7893749999999999
Recall:  0.9020833333333333
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.925,1.0,0.9166666666666666,0.9466666666666667,1,1
like,0.95,1.0,0.9666666666666666,0.9800000000000001,2,0
