confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8999999999999998,1.0,0.8833333333333332,0.9266666666666667,1,1
like,0.9,1.0,0.9333333333333332,0.96,2,0
corn,0.39166666666666666,0.5333333333333333,0.8333333333333333,0.6314285714285715,1,1
yellow,0.9,1.0,0.9333333333333332,0.96,2,0
fruit,0.2716666666666666,0.39166666666666666,0.8666666666666666,0.5138095238095238,1,1
green,0.34500000000000003,0.4149999999999999,0.8833333333333332,0.5526190476190477,1,1
cucumber,0.5499999999999999,0.5499999999999999,1.0,0.6928571428571428,1,1
banana,0.30666666666666664,0.42499999999999993,0.8,0.5276190476190477,1,1
Folder Number:  6000
Accuracy:  0.5706249999999999
F1-Score:  0.7206250000000001
Precision:  0.6643749999999999
Recall:  0.8916666666666666
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.85,1.0,0.8166666666666668,0.8866666666666667,1,1
like,0.95,1.0,0.9666666666666666,0.9800000000000001,2,0
corn,0.5666666666666667,0.625,0.9333333333333332,0.740952380952381,1,1
yellow,1.0,1.0,1.0,1.0,2,0
fruit,0.36000000000000004,0.45166666666666666,0.8999999999999998,0.5709523809523811,1,1
green,0.3666666666666667,0.45,0.8833333333333332,0.5792857142857143,1,1
cucumber,0.275,0.4333333333333333,0.85,0.5538095238095239,1,1
banana,0.23666666666666666,0.40499999999999997,0.7333333333333333,0.4990476190476191,1,1
Folder Number:  6000
Accuracy:  0.5756249999999999
F1-Score:  0.7263392857142859
Precision:  0.670625
Recall:  0.8854166666666665
confFiles/spoken/spoken_4_pure_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,1.0,1.0,1.0,1.0,1,1
like,1.0,1.0,1.0,1.0,2,0
corn,0.395,0.4533333333333333,0.9333333333333332,0.5904761904761904,1,1
yellow,0.95,1.0,0.9666666666666666,0.9800000000000001,2,0
