confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.941666667,1,0.933333333,0.96,1,1
look,0.75,1,0.866666667,0.913333333,1,0
salad,0.331666667,0.456666667,0.866666667,0.573333333,1,1
corn,0.205,0.38,0.833333333,0.493333333,1,1
yellow,1,1,1,1,3,0
fruit,0.278333333,0.42,0.8,0.518095238,1,1
green,0.438333333,0.438333333,1,0.581904762,1,1
cucumber,0.42,0.453333333,0.966666667,0.591190476,1,1
banana,0.286666667,0.378333333,0.883333333,0.50047619,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.5168518518518519,,,,,,
F1-Score:  0.6812962962962962,,,,,,
Precision:  0.614074074074074,,,,,,
Recall:  0.9055555555555554,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.85,1,0.833333333,0.9,1,1
look,0.75,1,0.866666667,0.913333333,1,0
salad,0.338333333,0.421666667,0.866666667,0.552142857,1,1
corn,0.316666667,0.475,0.85,0.577857143,1,1
yellow,1,1,1,1,3,0
fruit,0.241666667,0.408333333,0.783333333,0.51047619,1,1
green,0.313333333,0.383333333,0.883333333,0.505,1,1
cucumber,0.376666667,0.401666667,0.95,0.54952381,1,1
banana,0.148333333,0.38,0.716666667,0.473809524,1,1
Folder Number:  6000,,,,,,
Accuracy:  0.4816666666666667,,,,,,
F1-Score:  0.6646825396825398,,,,,,
Precision:  0.6077777777777778,,,,,,
Recall:  0.8611111111111112,,,,,,
confFiles/spoken_4_lemmed_stop.conf,,,,,,
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.925,1,0.866666667,0.913333333,1,1
look,0.75,1,0.866666667,0.913333333,1,0
salad,0.28,0.463333333,0.783333333,0.560952381,1,1
corn,0.393333333,0.48,0.9,0.596190476,1,1
yellow,1,1,1,1,3,0
fruit,0.186666667,0.406666667,0.716666667,0.494761905,1,1
green,0.313333333,0.438333333,0.9,0.55452381,1,1
