confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/spoken_4_raw.conf
confFiles/english_4_30_objects_lemm.conf
confFiles/english_4_30_objects_lemm.conf
confFiles/spoken_4_lemmed_stop.conf
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
look,0.75,1.0,0.8666666666666666,0.9133333333333333,1,0
salad,0.33166666666666667,0.45666666666666667,0.8666666666666666,0.5733333333333334,1,1
corn,0.205,0.38,0.8333333333333333,0.49333333333333335,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.2783333333333334,0.42000000000000004,0.8,0.5180952380952382,1,1
green,0.4383333333333333,0.4383333333333333,1.0,0.5819047619047619,1,1
cucumber,0.42000000000000004,0.4533333333333333,0.9666666666666666,0.5911904761904762,1,1
banana,0.2866666666666666,0.3783333333333333,0.8833333333333332,0.5004761904761905,1,1
Folder Number:  6000
Accuracy:  0.5168518518518519
F1-Score:  0.6812962962962962
Precision:  0.614074074074074
Recall:  0.9055555555555554
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.85,1.0,0.8333333333333334,0.9000000000000001,1,1
look,0.75,1.0,0.8666666666666666,0.9133333333333333,1,0
salad,0.3383333333333334,0.4216666666666667,0.8666666666666666,0.5521428571428573,1,1
corn,0.31666666666666665,0.475,0.85,0.577857142857143,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.24166666666666664,0.4083333333333333,0.7833333333333333,0.5104761904761905,1,1
green,0.31333333333333335,0.38333333333333336,0.8833333333333332,0.505,1,1
cucumber,0.37666666666666665,0.40166666666666667,0.95,0.5495238095238094,1,1
banana,0.14833333333333334,0.38,0.7166666666666666,0.4738095238095238,1,1
Folder Number:  6000
Accuracy:  0.4816666666666667
F1-Score:  0.6646825396825398
Precision:  0.6077777777777778
Recall:  0.8611111111111112
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.925,1.0,0.8666666666666666,0.9133333333333333,1,1
look,0.75,1.0,0.8666666666666666,0.9133333333333333,1,0
salad,0.27999999999999997,0.46333333333333326,0.7833333333333333,0.5609523809523811,1,1
corn,0.39333333333333337,0.48,0.9,0.5961904761904763,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.18666666666666668,0.4066666666666666,0.7166666666666667,0.4947619047619047,1,1
green,0.31333333333333335,0.43833333333333335,0.9,0.5545238095238095,1,1
cucumber,0.33333333333333337,0.35833333333333334,0.9666666666666666,0.5004761904761905,1,1
banana,0.3083333333333333,0.425,0.85,0.5371428571428571,1,1
Folder Number:  6000
Accuracy:  0.49888888888888894
F1-Score:  0.6745238095238096
Precision:  0.619074074074074
Recall:  0.8722222222222222
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8833333333333332,1.0,0.8666666666666666,0.9100000000000001,1,1
look,0.9,1.0,0.9333333333333332,0.96,1,0
salad,0.37333333333333335,0.465,0.8999999999999998,0.5876190476190476,1,1
corn,0.385,0.41833333333333333,0.9666666666666666,0.5571428571428572,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.29166666666666663,0.4333333333333333,0.8333333333333333,0.5333333333333333,1,1
green,0.2966666666666667,0.38,0.9,0.5014285714285716,1,1
cucumber,0.38166666666666665,0.41500000000000004,0.9666666666666666,0.5604761904761906,1,1
banana,0.09833333333333334,0.3733333333333333,0.7333333333333333,0.44666666666666666,1,1
Folder Number:  6000
Accuracy:  0.5122222222222222
F1-Score:  0.672962962962963
Precision:  0.6094444444444443
Recall:  0.8999999999999999
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.925,1.0,0.8999999999999998,0.9400000000000001,1,1
look,0.85,1.0,0.8999999999999998,0.9400000000000001,1,0
salad,0.4683333333333334,0.5766666666666665,0.8833333333333332,0.6857142857142857,1,1
corn,0.39166666666666666,0.5083333333333333,0.8666666666666666,0.6164285714285714,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.10833333333333332,0.37833333333333335,0.6666666666666666,0.45619047619047615,1,1
green,0.3716666666666667,0.41666666666666663,0.9333333333333332,0.5504761904761906,1,1
cucumber,0.5199999999999999,0.5449999999999999,0.95,0.6771428571428572,1,1
banana,0.265,0.43166666666666664,0.7666666666666666,0.5285714285714287,1,1
Folder Number:  6000
Accuracy:  0.5444444444444444
F1-Score:  0.7105026455026455
Precision:  0.6507407407407407
Recall:  0.874074074074074
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8966666666666667,1.0,0.85,0.9066666666666666,1,1
look,0.85,1.0,0.9166666666666666,0.9466666666666667,1,0
salad,0.46499999999999997,0.5316666666666667,0.9166666666666666,0.6628571428571428,1,1
corn,0.3633333333333334,0.38833333333333336,0.9666666666666666,0.5435714285714287,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.215,0.30999999999999994,0.8666666666666666,0.4333333333333334,1,1
green,0.385,0.485,0.9,0.5866666666666667,1,1
cucumber,0.40499999999999997,0.4383333333333333,0.95,0.5730952380952381,1,1
banana,0.23333333333333334,0.4666666666666667,0.7166666666666667,0.5519047619047621,1,1
Folder Number:  6000
Accuracy:  0.5348148148148149
F1-Score:  0.6894179894179894
Precision:  0.6244444444444445
Recall:  0.8981481481481483
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8833333333333332,1.0,0.85,0.9066666666666666,1,1
look,0.8,1.0,0.9,0.9333333333333332,1,0
salad,0.4033333333333333,0.42833333333333334,0.9666666666666666,0.5776190476190475,1,1
corn,0.31666666666666665,0.35,0.95,0.4988095238095238,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.24166666666666664,0.3333333333333333,0.8833333333333332,0.4538095238095238,1,1
green,0.41,0.49333333333333335,0.8833333333333332,0.6057142857142858,1,1
cucumber,0.3983333333333333,0.47333333333333333,0.8833333333333332,0.5923809523809523,1,1
banana,0.12666666666666665,0.3583333333333334,0.65,0.44333333333333336,1,1
Folder Number:  6000
Accuracy:  0.508888888888889
F1-Score:  0.667962962962963
Precision:  0.6040740740740741
Recall:  0.8851851851851852
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8800000000000001,1.0,0.9,0.93,1,1
look,0.5,1.0,0.7666666666666667,0.8433333333333334,1,0
salad,0.31333333333333335,0.45500000000000007,0.8,0.5609523809523809,1,1
corn,0.3516666666666667,0.40166666666666667,0.95,0.5438095238095239,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.23666666666666666,0.42000000000000004,0.7666666666666666,0.5242857142857144,1,1
green,0.4033333333333333,0.47333333333333333,0.9166666666666666,0.6002380952380951,1,1
cucumber,0.34,0.385,0.9333333333333332,0.525952380952381,1,1
banana,0.13499999999999998,0.4466666666666666,0.7166666666666666,0.5176190476190478,1,1
Folder Number:  6000
Accuracy:  0.46222222222222226
F1-Score:  0.6717989417989418
Precision:  0.6201851851851852
Recall:  0.8611111111111112
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8466666666666667,1.0,0.8166666666666668,0.8866666666666667,1,1
look,0.45,1.0,0.7833333333333333,0.8466666666666667,1,0
salad,0.39,0.4683333333333334,0.8833333333333332,0.5919047619047619,1,1
corn,0.4083333333333334,0.4666666666666667,0.9333333333333332,0.5873809523809523,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.3383333333333333,0.44666666666666666,0.8833333333333332,0.5714285714285714,1,1
green,0.33999999999999997,0.365,0.9666666666666666,0.5176190476190476,1,1
cucumber,0.5033333333333332,0.5700000000000001,0.9333333333333332,0.6890476190476191,1,1
banana,0.275,0.4533333333333333,0.7666666666666667,0.5390476190476191,1,1
Folder Number:  6000
Accuracy:  0.5057407407407407
F1-Score:  0.6921957671957673
Precision:  0.6411111111111111
Recall:  0.8851851851851851
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
look,0.75,1.0,0.85,0.9066666666666666,1,0
salad,0.465,0.49833333333333335,0.9666666666666666,0.6352380952380953,1,1
corn,0.38333333333333336,0.4033333333333333,0.9666666666666666,0.5549999999999999,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.06833333333333333,0.32166666666666666,0.7666666666666666,0.409047619047619,1,1
green,0.2966666666666667,0.4966666666666667,0.8166666666666667,0.5752380952380953,1,1
cucumber,0.4149999999999999,0.4149999999999999,1.0,0.5666666666666667,1,1
banana,0.19166666666666665,0.4416666666666667,0.7666666666666667,0.5276190476190477,1,1
Folder Number:  6000
Accuracy:  0.5003703703703704
F1-Score:  0.6802380952380953
Precision:  0.6196296296296295
Recall:  0.8944444444444445
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.95,1.0,0.9333333333333332,0.96,1,1
look,0.95,1.0,0.9666666666666666,0.9800000000000001,1,0
salad,0.4066666666666666,0.43999999999999995,0.95,0.5821428571428572,1,1
corn,0.31333333333333335,0.3383333333333333,0.9666666666666666,0.4854761904761905,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.14833333333333334,0.3733333333333333,0.7,0.4671428571428572,1,1
green,0.33333333333333337,0.4166666666666667,0.8833333333333332,0.5447619047619048,1,1
cucumber,0.3633333333333333,0.4416666666666667,0.8833333333333332,0.5640476190476191,1,1
banana,0.22500000000000003,0.41666666666666663,0.75,0.5071428571428571,1,1
Folder Number:  6000
Accuracy:  0.5211111111111111
F1-Score:  0.6767460317460317
Precision:  0.6029629629629629
Recall:  0.8925925925925926
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9133333333333333,1.0,0.8833333333333332,0.9266666666666665,1,1
look,0.75,1.0,0.8666666666666666,0.9133333333333333,1,0
salad,0.45,0.475,0.9666666666666666,0.6183333333333333,1,1
corn,0.40166666666666667,0.4933333333333333,0.9,0.6045238095238095,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.18166666666666667,0.41833333333333333,0.7,0.49714285714285716,1,1
green,0.3183333333333333,0.36333333333333334,0.9333333333333332,0.5076190476190476,1,1
cucumber,0.4133333333333333,0.5250000000000001,0.85,0.6378571428571428,1,1
banana,0.32666666666666666,0.38499999999999995,0.9166666666666666,0.5209523809523811,1,1
Folder Number:  6000
Accuracy:  0.5283333333333332
F1-Score:  0.6918253968253968
Precision:  0.6288888888888889
Recall:  0.8907407407407406
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8550000000000001,1.0,0.8,0.8733333333333334,1,1
look,0.7,1.0,0.8166666666666667,0.8866666666666667,1,0
salad,0.485,0.5516666666666666,0.9333333333333332,0.6761904761904762,1,1
corn,0.40166666666666667,0.485,0.9,0.6038095238095238,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.025000000000000012,0.45,0.5833333333333333,0.48238095238095247,1,1
green,0.38666666666666666,0.4533333333333334,0.9333333333333332,0.5776190476190476,1,1
cucumber,0.34833333333333333,0.37333333333333335,0.95,0.5195238095238095,1,1
banana,0.25,0.40666666666666673,0.8,0.5214285714285716,1,1
Folder Number:  6000
Accuracy:  0.4946296296296296
F1-Score:  0.6823280423280422
Precision:  0.6355555555555557
Recall:  0.8574074074074074
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.925,1.0,0.8666666666666666,0.9133333333333333,1,1
look,0.85,1.0,0.9,0.9400000000000001,1,0
salad,0.395,0.42000000000000004,0.9666666666666666,0.5659523809523811,1,1
corn,0.41666666666666663,0.4416666666666666,0.9666666666666666,0.5883333333333333,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.13666666666666666,0.30333333333333334,0.8166666666666667,0.4166666666666667,1,1
green,0.36666666666666664,0.445,0.8999999999999998,0.5645238095238096,1,1
cucumber,0.325,0.45,0.85,0.5528571428571428,1,1
banana,0.2,0.38333333333333336,0.7833333333333333,0.48428571428571426,1,1
Folder Number:  6000
Accuracy:  0.5127777777777778
F1-Score:  0.6695502645502647
Precision:  0.6048148148148148
Recall:  0.8944444444444444
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8933333333333332,1.0,0.8666666666666666,0.9200000000000002,1,1
look,0.85,1.0,0.9166666666666666,0.9466666666666667,1,0
salad,0.32833333333333337,0.47833333333333333,0.8666666666666666,0.5866666666666667,1,1
corn,0.40499999999999997,0.43,0.9666666666666666,0.5738095238095238,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.14166666666666666,0.425,0.7166666666666666,0.4942857142857144,1,1
green,0.375,0.4333333333333333,0.9,0.5647619047619047,1,1
cucumber,0.4066666666666666,0.45166666666666666,0.9333333333333332,0.5904761904761905,1,1
banana,0.22666666666666666,0.4383333333333333,0.7833333333333333,0.5342857142857144,1,1
Folder Number:  6000
Accuracy:  0.5140740740740741
F1-Score:  0.6901058201058201
Precision:  0.6285185185185186
Recall:  0.8833333333333333
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8800000000000001,1.0,0.8333333333333333,0.8933333333333333,1,1
look,0.85,1.0,0.9,0.9400000000000001,1,0
salad,0.3583333333333333,0.4333333333333333,0.9,0.5604761904761906,1,1
corn,0.31666666666666665,0.4416666666666666,0.8666666666666666,0.5604761904761905,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.25,0.4,0.7833333333333333,0.5038095238095239,1,1
green,0.425,0.5283333333333333,0.85,0.6335714285714286,1,1
cucumber,0.33666666666666667,0.44833333333333336,0.8666666666666666,0.5538095238095238,1,1
banana,0.26666666666666666,0.425,0.8,0.5347619047619048,1,1
Folder Number:  6000
Accuracy:  0.5203703703703703
F1-Score:  0.6866931216931218
Precision:  0.6307407407407407
Recall:  0.8666666666666667
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9416666666666667,1.0,0.9333333333333332,0.9600000000000002,1,1
look,0.9,1.0,0.9333333333333332,0.96,1,0
salad,0.3066666666666667,0.44833333333333336,0.8166666666666667,0.5573809523809524,1,1
corn,0.36833333333333335,0.4133333333333334,0.9333333333333332,0.5504761904761905,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.225,0.45,0.75,0.5271428571428571,1,1
green,0.3716666666666667,0.505,0.9,0.6140476190476191,1,1
cucumber,0.4333333333333333,0.4583333333333333,0.95,0.596904761904762,1,1
banana,0.15833333333333333,0.375,0.7333333333333333,0.4642857142857143,1,1
Folder Number:  6000
Accuracy:  0.5227777777777778
F1-Score:  0.6922486772486773
Precision:  0.6277777777777778
Recall:  0.8833333333333333
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
look,0.7,1.0,0.8333333333333333,0.8933333333333333,1,0
salad,0.43,0.4883333333333333,0.9166666666666666,0.6271428571428571,1,1
corn,0.26999999999999996,0.38166666666666665,0.85,0.5004761904761905,1,1
yellow,1.0,1.0,1.0,1.0,3,0
