confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8083333333333333,1.0,0.8,0.86,1,1
look,0.4,1.0,0.7166666666666667,0.8099999999999999,1,0
salad,0.42000000000000004,0.47833333333333333,0.9166666666666666,0.6161904761904762,1,1
corn,0.31166666666666665,0.3616666666666667,0.9166666666666666,0.5004761904761904,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.26666666666666666,0.4083333333333333,0.8166666666666668,0.5147619047619048,1,1
green,0.4,0.45,0.9166666666666666,0.5883333333333334,1,1
cucumber,0.3333333333333333,0.425,0.8666666666666666,0.5528571428571428,1,1
banana,0.2333333333333333,0.4583333333333333,0.6833333333333333,0.530952380952381,1,1
Folder Number:  6000
Accuracy:  0.46370370370370373
F1-Score:  0.6637301587301586
Precision:  0.6201851851851852
Recall:  0.8481481481481481
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8666666666666666,1.0,0.8999999999999998,0.93,1,1
look,0.95,1.0,0.9666666666666666,0.9800000000000001,1,0
salad,0.39333333333333337,0.4383333333333333,0.9333333333333332,0.5800000000000001,1,1
corn,0.3633333333333334,0.4666666666666667,0.8666666666666666,0.5880952380952381,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.23666666666666666,0.34500000000000003,0.85,0.4647619047619048,1,1
green,0.33333333333333337,0.41166666666666674,0.9,0.5388095238095238,1,1
cucumber,0.43499999999999994,0.46833333333333327,0.9666666666666666,0.6083333333333334,1,1
banana,0.14499999999999996,0.36166666666666664,0.7666666666666667,0.4504761904761905,1,1
Folder Number:  6000
Accuracy:  0.5248148148148147
F1-Score:  0.6822751322751324
Precision:  0.6101851851851853
Recall:  0.9055555555555556
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
look,0.9,1.0,0.9333333333333332,0.96,1,0
salad,0.49833333333333324,0.5233333333333332,0.9666666666666666,0.6602380952380952,1,1
corn,0.35000000000000003,0.41666666666666663,0.9333333333333332,0.5454761904761904,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.16666666666666666,0.37,0.6833333333333333,0.46238095238095245,1,1
green,0.2816666666666666,0.3483333333333333,0.9166666666666666,0.4730952380952381,1,1
cucumber,0.3983333333333333,0.43166666666666664,0.9666666666666666,0.575952380952381,1,1
banana,0.15,0.275,0.8833333333333334,0.39333333333333337,1,1
Folder Number:  6000
Accuracy:  0.5235185185185185
F1-Score:  0.6722751322751322
Precision:  0.5961111111111111
Recall:  0.9166666666666666
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8633333333333333,1.0,0.85,0.8966666666666667,1,1
look,0.8,1.0,0.8666666666666666,0.9199999999999999,1,0
salad,0.21666666666666665,0.41666666666666663,0.7666666666666666,0.5023809523809524,1,1
corn,0.36833333333333335,0.43499999999999994,0.9,0.5771428571428572,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.16166666666666665,0.3983333333333333,0.7666666666666667,0.48666666666666664,1,1
green,0.3166666666666667,0.38333333333333336,0.9166666666666666,0.5154761904761906,1,1
cucumber,0.45499999999999996,0.4883333333333333,0.9666666666666666,0.6316666666666666,1,1
banana,0.315,0.45666666666666667,0.8333333333333333,0.5661904761904762,1,1
Folder Number:  6000
Accuracy:  0.49962962962962965
F1-Score:  0.6773544973544974
Precision:  0.6198148148148148
Recall:  0.874074074074074
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.725,1.0,0.7333333333333333,0.8300000000000001,1,1
look,0.65,1.0,0.8333333333333333,0.89,1,0
salad,0.3433333333333334,0.41833333333333333,0.85,0.5583333333333333,1,1
corn,0.44499999999999995,0.5033333333333332,0.9166666666666666,0.6404761904761905,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.13333333333333333,0.36666666666666664,0.6666666666666667,0.4538095238095238,1,1
green,0.3983333333333333,0.43166666666666664,0.9666666666666666,0.5738095238095238,1,1
cucumber,0.31333333333333335,0.38,0.9166666666666666,0.5142857142857143,1,1
banana,0.24666666666666667,0.39666666666666667,0.8666666666666666,0.5152380952380953,1,1
Folder Number:  6000
Accuracy:  0.47277777777777774
F1-Score:  0.6639947089947091
Precision:  0.6107407407407407
Recall:  0.861111111111111
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.905,1.0,0.85,0.9066666666666666,1,1
look,0.9,1.0,0.9333333333333332,0.96,1,0
salad,0.42000000000000004,0.49833333333333335,0.9,0.6261904761904762,1,1
corn,0.315,0.40166666666666667,0.8833333333333332,0.5266666666666666,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.2833333333333333,0.425,0.8,0.5304761904761905,1,1
green,0.3583333333333333,0.39166666666666666,0.9666666666666666,0.534047619047619,1,1
cucumber,0.44000000000000006,0.47333333333333333,0.9666666666666666,0.6147619047619048,1,1
banana,0.26,0.43,0.7666666666666667,0.5276190476190477,1,1
Folder Number:  6000
Accuracy:  0.5424074074074073
F1-Score:  0.6918253968253968
Precision:  0.6244444444444444
Recall:  0.8962962962962963
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666665,1,1
look,0.7,1.0,0.8,0.8800000000000001,1,0
salad,0.38,0.4833333333333334,0.85,0.6114285714285714,1,1
