confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8166666666666667,1.0,0.7666666666666666,0.8533333333333333,1,1
look,0.8,1.0,0.8833333333333332,0.9266666666666665,1,0
salad,0.8300000000000001,1.0,0.7666666666666667,0.8533333333333333,1,1
corn,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.7166666666666666,1.0,0.7333333333333333,0.8133333333333332,1,1
green,0.395,0.4533333333333333,0.9166666666666666,0.5807142857142857,1,1
cucumber,0.9216666666666666,1.0,0.8833333333333332,0.9266666666666667,1,1
banana,0.8583333333333332,1.0,0.7833333333333333,0.86,1,1
Folder Number:  6000
Accuracy:  0.8125925925925926
F1-Score:  0.866005291005291
Precision:  0.9392592592592592
Recall:  0.8555555555555555
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
look,0.75,1.0,0.9,0.93,1,0
salad,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,1
corn,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.75,1.0,0.7,0.7966666666666666,1,1
green,0.4133333333333334,0.44666666666666666,0.9666666666666666,0.582857142857143,1,1
cucumber,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
banana,0.86,1.0,0.8,0.8733333333333333,1,1
Folder Number:  6000
Accuracy:  0.8442592592592593
F1-Score:  0.892910052910053
Precision:  0.9385185185185185
Recall:  0.9037037037037037
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8383333333333333,1.0,0.8,0.8699999999999999,1,1
look,1.0,1.0,1.0,1.0,1,0
salad,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
corn,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.7083333333333333,1.0,0.7333333333333334,0.82,1,1
green,0.31999999999999995,0.365,0.9333333333333332,0.5009523809523809,1,1
cucumber,0.8883333333333333,1.0,0.8666666666666666,0.9100000000000001,1,1
banana,0.7333333333333333,1.0,0.7666666666666666,0.8400000000000001,1,1
Folder Number:  6000
Accuracy:  0.8227777777777778
F1-Score:  0.8756613756613756
Precision:  0.9294444444444445
Recall:  0.8888888888888888
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.905,1.0,0.8166666666666667,0.8800000000000001,1,1
look,0.95,1.0,0.9666666666666666,0.9800000000000001,1,0
salad,0.8833333333333332,1.0,0.8833333333333332,0.9266666666666665,1,1
corn,0.9,1.0,0.9333333333333332,0.95,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.6633333333333333,1.0,0.6666666666666666,0.7733333333333333,1,1
green,0.40499999999999997,0.40499999999999997,1.0,0.562142857142857,1,1
cucumber,0.8333333333333334,1.0,0.8166666666666667,0.8866666666666667,1,1
banana,0.7216666666666666,1.0,0.7,0.7933333333333332,1,1
Folder Number:  6000
Accuracy:  0.8068518518518517
F1-Score:  0.8613492063492063
Precision:  0.933888888888889
Recall:  0.8648148148148148
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,1
look,0.9,1.0,0.95,0.9666666666666666,1,0
salad,0.9666666666666666,1.0,0.95,0.9666666666666666,1,1
corn,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.8083333333333332,1.0,0.8,0.8633333333333333,1,1
green,0.2533333333333333,0.37,0.8333333333333333,0.4847619047619047,1,1
cucumber,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
banana,0.8716666666666667,1.0,0.7833333333333333,0.86,1,1
Folder Number:  6000
Accuracy:  0.8551851851851852
F1-Score:  0.8957142857142857
Precision:  0.9300000000000002
Recall:  0.9092592592592593
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8316666666666667,1.0,0.7666666666666667,0.8533333333333333,1,1
look,0.8,1.0,0.8833333333333332,0.9266666666666665,1,0
salad,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
corn,0.8883333333333333,1.0,0.8333333333333333,0.8933333333333332,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.675,1.0,0.7166666666666666,0.8066666666666666,1,1
green,0.4766666666666667,0.51,0.9666666666666666,0.6419047619047619,1,1
cucumber,0.9,1.0,0.8833333333333332,0.9266666666666667,1,1
banana,0.85,1.0,0.7833333333333333,0.86,1,1
Folder Number:  6000
Accuracy:  0.820925925925926
F1-Score:  0.8765079365079366
Precision:  0.9455555555555555
Recall:  0.8666666666666666
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9016666666666667,1.0,0.8333333333333333,0.8933333333333333,1,1
look,0.85,1.0,0.9166666666666666,0.9466666666666667,1,0
salad,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
corn,1.0,1.0,1.0,1.0,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.7583333333333333,1.0,0.7166666666666666,0.8100000000000002,1,1
green,0.4883333333333333,0.4883333333333333,1.0,0.6347619047619049,1,1
cucumber,1.0,1.0,1.0,1.0,1,1
banana,0.8933333333333333,1.0,0.8666666666666666,0.9099999999999999,1,1
Folder Number:  6000
Accuracy:  0.8703703703703703
F1-Score:  0.9060846560846562
Precision:  0.9431481481481482
Recall:  0.9185185185185186
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
look,0.75,1.0,0.8666666666666666,0.9133333333333333,1,0
salad,0.95,1.0,0.9166666666666666,0.9466666666666667,1,1
corn,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.8216666666666667,1.0,0.7166666666666666,0.8200000000000001,1,1
green,0.3166666666666667,0.4083333333333333,0.8833333333333332,0.5347619047619048,1,1
cucumber,0.9466666666666667,1.0,0.9333333333333332,0.96,1,1
banana,0.7716666666666667,1.0,0.7,0.8033333333333333,1,1
Folder Number:  6000
Accuracy:  0.8322222222222222
F1-Score:  0.8820105820105821
Precision:  0.9342592592592592
Recall:  0.8833333333333333
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9333333333333332,1.0,0.9,0.9333333333333332,1,1
look,0.8,1.0,0.9,0.9333333333333332,1,0
salad,0.9,1.0,0.8833333333333332,0.9266666666666665,1,1
corn,0.8833333333333332,1.0,0.8166666666666667,0.8800000000000001,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.8166666666666667,1.0,0.75,0.8400000000000001,1,1
green,0.4699999999999999,0.5033333333333332,0.9666666666666666,0.6411904761904761,1,1
cucumber,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
banana,0.8166666666666667,1.0,0.8333333333333333,0.8899999999999999,1,1
Folder Number:  6000
Accuracy:  0.8429629629629629
F1-Score:  0.8916137566137566
Precision:  0.9448148148148149
Recall:  0.8907407407407408
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
look,0.95,1.0,0.9666666666666666,0.9800000000000001,1,0
salad,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
corn,0.9166666666666666,1.0,0.8999999999999998,0.9400000000000001,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.7833333333333333,1.0,0.7333333333333333,0.8233333333333335,1,1
green,0.4416666666666666,0.4666666666666666,0.95,0.6121428571428571,1,1
cucumber,0.9,1.0,0.8833333333333332,0.9266666666666667,1,1
banana,0.8833333333333332,1.0,0.8333333333333333,0.8933333333333333,1,1
Folder Number:  6000
Accuracy:  0.8648148148148148
F1-Score:  0.9017195767195767
Precision:  0.9407407407407408
Recall:  0.9074074074074073
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
look,0.7,1.0,0.8666666666666666,0.9100000000000001,1,0
salad,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
corn,0.8833333333333332,1.0,0.8666666666666666,0.9133333333333333,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.8,1.0,0.7666666666666667,0.8433333333333334,1,1
green,0.26833333333333337,0.38499999999999995,0.8166666666666667,0.5011904761904762,1,1
cucumber,0.8083333333333332,1.0,0.75,0.8399999999999999,1,1
banana,0.8083333333333332,1.0,0.7666666666666667,0.8533333333333333,1,1
Folder Number:  6000
Accuracy:  0.7946296296296297
F1-Score:  0.8645767195767196
Precision:  0.9316666666666666
Recall:  0.8555555555555555
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
look,0.9,1.0,0.9333333333333332,0.9600000000000002,1,0
salad,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
corn,0.8833333333333332,1.0,0.8333333333333333,0.8933333333333333,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.8083333333333332,1.0,0.7833333333333333,0.8566666666666667,1,1
green,0.4033333333333333,0.4616666666666667,0.9333333333333332,0.5942857142857144,1,1
cucumber,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
banana,0.7916666666666666,1.0,0.8,0.8633333333333333,1,1
Folder Number:  6000
Accuracy:  0.8512962962962962
F1-Score:  0.8971428571428572
Precision:  0.9401851851851851
Recall:  0.9037037037037037
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.7833333333333333,1.0,0.8,0.8700000000000001,1,1
look,0.85,1.0,0.9166666666666666,0.9466666666666667,1,0
salad,0.9166666666666666,1.0,0.8833333333333332,0.9266666666666665,1,1
corn,0.9333333333333332,1.0,0.9,0.9333333333333332,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.7166666666666666,1.0,0.7333333333333333,0.82,1,1
green,0.30166666666666664,0.4133333333333333,0.85,0.5221428571428571,1,1
cucumber,0.8166666666666667,1.0,0.8333333333333333,0.89,1,1
banana,0.8550000000000001,1.0,0.8,0.8733333333333334,1,1
Folder Number:  6000
Accuracy:  0.7970370370370371
F1-Score:  0.8646825396825396
Precision:  0.9348148148148149
Recall:  0.8574074074074073
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,1
look,0.85,1.0,0.8999999999999998,0.9400000000000001,1,0
salad,0.9333333333333332,1.0,0.9333333333333332,0.96,1,1
corn,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.8416666666666666,1.0,0.7999999999999999,0.8633333333333333,1,1
green,0.5066666666666666,0.5266666666666666,0.9666666666666666,0.6571428571428571,1,1
cucumber,1.0,1.0,1.0,1.0,1,1
banana,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666665,1,1
Folder Number:  6000
Accuracy:  0.883148148148148
F1-Score:  0.9193121693121693
Precision:  0.9474074074074075
Recall:  0.9296296296296295
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9083333333333332,1.0,0.9,0.9400000000000001,1,1
look,0.6,1.0,0.8,0.8666666666666666,1,0
salad,0.9666666666666666,1.0,0.95,0.9666666666666666,1,1
corn,0.9666666666666666,1.0,0.95,0.9666666666666666,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.875,1.0,0.8666666666666666,0.9199999999999999,1,1
green,0.3816666666666666,0.465,0.8833333333333332,0.5819047619047619,1,1
cucumber,0.8166666666666667,1.0,0.8166666666666667,0.8766666666666666,1,1
banana,0.8833333333333332,1.0,0.8333333333333333,0.8933333333333333,1,1
Folder Number:  6000
Accuracy:  0.8220370370370369
F1-Score:  0.8902116402116401
Precision:  0.9405555555555556
Recall:  0.8888888888888888
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.875,1.0,0.8166666666666667,0.8799999999999999,1,1
look,0.85,1.0,0.9166666666666666,0.9466666666666667,1,0
salad,0.9550000000000001,1.0,0.9333333333333332,0.9600000000000002,1,1
corn,0.9083333333333332,1.0,0.9,0.9400000000000001,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.7583333333333333,1.0,0.7,0.8033333333333333,1,1
green,0.22833333333333333,0.3616666666666667,0.9,0.4742857142857143,1,1
cucumber,0.95,1.0,0.9333333333333332,0.96,1,1
banana,0.8583333333333332,1.0,0.8,0.8733333333333333,1,1
Folder Number:  6000
Accuracy:  0.8203703703703704
F1-Score:  0.8708465608465609
Precision:  0.929074074074074
Recall:  0.8777777777777778
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.95,1.0,0.9166666666666666,0.9466666666666667,1,1
look,0.95,1.0,0.9666666666666666,0.9800000000000001,1,0
salad,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
corn,1.0,1.0,1.0,1.0,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.7166666666666666,1.0,0.7166666666666666,0.8066666666666666,1,1
green,0.3433333333333333,0.37666666666666665,0.95,0.5271428571428571,1,1
cucumber,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
banana,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
Folder Number:  6000
Accuracy:  0.8714814814814814
F1-Score:  0.9089417989417989
Precision:  0.9307407407407408
Recall:  0.9351851851851851
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8333333333333333,1.0,0.8666666666666666,0.9099999999999999,1,1
look,0.55,1.0,0.75,0.8400000000000001,1,0
salad,0.875,1.0,0.8833333333333332,0.9166666666666666,1,1
corn,0.9333333333333332,1.0,0.9333333333333332,0.9600000000000002,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.9016666666666667,1.0,0.8666666666666668,0.9200000000000002,1,1
green,0.39499999999999996,0.41500000000000004,0.95,0.5521428571428572,1,1
cucumber,0.95,1.0,0.9333333333333332,0.96,1,1
banana,0.9083333333333332,1.0,0.9,0.9400000000000001,1,1
Folder Number:  6000
Accuracy:  0.8162962962962963
F1-Score:  0.8887566137566139
Precision:  0.9349999999999999
Recall:  0.8981481481481483
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.95,1.0,0.95,0.9666666666666666,1,1
look,0.8,1.0,0.8833333333333332,0.9266666666666665,1,0
salad,0.8833333333333332,1.0,0.85,0.9066666666666666,1,1
corn,0.975,1.0,0.95,0.9666666666666666,1,1
yellow,1.0,1.0,1.0,1.0,3,0
fruit,0.9166666666666666,1.0,0.8666666666666666,0.9133333333333333,1,1
green,0.30333333333333334,0.3433333333333334,0.9333333333333332,0.4871428571428572,1,1
cucumber,0.9,1.0,0.85,0.9066666666666666,1,1
banana,0.875,1.0,0.8166666666666667,0.8800000000000001,1,1
Folder Number:  6000
Accuracy:  0.8448148148148148
F1-Score:  0.8837566137566136
Precision:  0.9270370370370371
Recall:  0.8999999999999999
confFiles/spoken_4_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9133333333333333,1.0,0.8833333333333332,0.9266666666666667,1,1
look,0.75,1.0,0.85,0.9066666666666666,1,0
salad,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
corn,0.9083333333333332,1.0,0.8666666666666668,0.9133333333333333,1,1
yellow,1.0,1.0,1.0,1.0,3,0
