confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,1.0,1.0,1.0,1.0,1,0
cube,0.925,1.0,0.9,0.9400000000000001,1,1
look,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
salad,0.2816666666666667,0.365,0.8833333333333332,0.49428571428571433,1,1
corn,0.6916666666666667,0.6833333333333333,0.9333333333333332,0.78,1,1
yellow,0.38,0.4,0.9666666666666666,0.5449999999999999,2,1
fruit,0.7883333333333333,1.0,0.7166666666666667,0.8099999999999999,1,1
cucumb,0.36666666666666664,0.5083333333333333,0.8333333333333333,0.6095238095238095,1,1
green,0.51,0.5433333333333332,0.9666666666666666,0.6797619047619048,2,1
banana,0.8166666666666667,1.0,0.75,0.8366666666666667,1,1
Folder Number:  6000
Accuracy:  0.6735
F1-Score:  0.7675238095238095
Precision:  0.75
Recall:  0.8916666666666666
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.85,1.0,0.9166666666666666,0.9466666666666667,1,0
cube,1.0,1.0,1.0,1.0,1,1
look,0.8999999999999998,1.0,0.8833333333333332,0.9266666666666665,1,1
salad,0.3,0.4916666666666667,0.8333333333333333,0.595,1,1
corn,0.5083333333333333,0.5916666666666666,0.85,0.6823809523809524,1,1
yellow,0.3433333333333334,0.3766666666666667,0.9666666666666666,0.510952380952381,2,1
fruit,0.7383333333333333,1.0,0.6333333333333333,0.7566666666666667,1,1
cucumb,0.44333333333333325,0.5599999999999998,0.8666666666666666,0.6607142857142857,1,1
green,0.5,0.5333333333333334,0.9666666666666666,0.6647619047619048,2,1
banana,0.85,1.0,0.8,0.8733333333333333,1,1
Folder Number:  6000
Accuracy:  0.6433333333333333
F1-Score:  0.7617142857142858
Precision:  0.7553333333333333
Recall:  0.8716666666666667
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.75,1.0,0.9,0.93,1,0
cube,0.9333333333333332,1.0,0.9333333333333332,0.96,1,1
look,0.925,1.0,0.9,0.9400000000000001,1,1
salad,0.24500000000000002,0.44833333333333336,0.7666666666666667,0.5347619047619048,1,1
corn,0.6266666666666667,0.5833333333333333,0.9,0.6980952380952382,1,1
yellow,0.37833333333333335,0.37833333333333335,1.0,0.5354761904761905,2,1
fruit,0.905,1.0,0.8833333333333332,0.9266666666666665,1,1
cucumb,0.41,0.44333333333333325,0.9666666666666666,0.5916666666666666,1,1
green,0.5266666666666666,0.585,0.9333333333333332,0.7078571428571429,2,1
banana,0.9166666666666666,1.0,0.9,0.9400000000000001,1,1
Folder Number:  6000
Accuracy:  0.6616666666666667
F1-Score:  0.776452380952381
Precision:  0.7438333333333333
Recall:  0.9083333333333334
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.75,1.0,0.85,0.9066666666666668,1,0
cube,1.0,1.0,1.0,1.0,1,1
look,0.925,1.0,0.9166666666666666,0.9466666666666667,1,1
salad,0.2683333333333333,0.41833333333333333,0.8666666666666666,0.5314285714285715,1,1
corn,0.6216666666666667,0.6916666666666667,0.8666666666666666,0.7457142857142858,1,1
yellow,0.345,0.39499999999999996,0.9333333333333332,0.5276190476190477,2,1
fruit,0.7666666666666666,1.0,0.7,0.7966666666666666,1,1
cucumb,0.32666666666666666,0.37666666666666665,0.95,0.525,1,1
green,0.5366666666666666,0.5366666666666666,1.0,0.6847619047619047,2,1
banana,0.6916666666666667,1.0,0.6833333333333333,0.79,1,1
Folder Number:  6000
Accuracy:  0.6231666666666668
F1-Score:  0.7454523809523809
Precision:  0.7418333333333333
Recall:  0.8766666666666666
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.65,1.0,0.85,0.8966666666666667,1,0
cube,0.7666666666666666,1.0,0.8,0.86,1,1
look,0.8749999999999998,1.0,0.8666666666666666,0.9200000000000002,1,1
salad,0.39166666666666666,0.55,0.8,0.6314285714285715,1,1
corn,0.6799999999999999,0.7083333333333333,0.85,0.7623809523809524,1,1
yellow,0.425,0.4833333333333333,0.9333333333333332,0.6138095238095238,2,1
fruit,0.8749999999999998,1.0,0.8166666666666667,0.8799999999999999,1,1
cucumb,0.31,0.42666666666666664,0.8333333333333333,0.5492857142857143,1,1
green,0.5616666666666666,0.5616666666666666,1.0,0.7123809523809524,2,1
banana,0.8383333333333333,1.0,0.7333333333333333,0.8266666666666668,1,1
Folder Number:  6000
Accuracy:  0.6373333333333332
F1-Score:  0.7652619047619049
Precision:  0.7729999999999999
Recall:  0.8483333333333333
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.85,1.0,0.9166666666666666,0.9466666666666667,1,0
cube,0.9,1.0,0.9,0.9333333333333332,1,1
look,0.7666666666666666,1.0,0.7833333333333333,0.8566666666666667,1,1
salad,0.3433333333333333,0.3683333333333333,0.9666666666666666,0.5176190476190475,1,1
corn,0.7216666666666667,0.7333333333333333,0.9333333333333333,0.8047619047619048,1,1
yellow,0.37666666666666665,0.39666666666666667,0.9666666666666666,0.5504761904761906,2,1
fruit,0.6683333333333332,1.0,0.6166666666666667,0.75,1,1
cucumb,0.43499999999999994,0.5266666666666666,0.9,0.6454761904761904,1,1
green,0.5,0.525,0.9666666666666666,0.6761904761904761,2,1
banana,0.7216666666666667,1.0,0.7,0.8033333333333333,1,1
Folder Number:  6000
Accuracy:  0.6283333333333332
F1-Score:  0.7484523809523809
Precision:  0.755
Recall:  0.8649999999999999
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.85,1.0,0.9,0.9400000000000001,1,0
cube,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
look,0.9166666666666666,1.0,0.9166666666666666,0.9466666666666667,1,1
salad,0.34500000000000003,0.395,0.9166666666666666,0.5328571428571429,1,1
corn,0.73,0.6583333333333333,1.0,0.7857142857142858,1,1
yellow,0.395,0.395,1.0,0.5488095238095239,2,1
fruit,0.8166666666666667,1.0,0.8,0.8633333333333333,1,1
cucumb,0.4,0.4916666666666666,0.8833333333333332,0.6161904761904762,1,1
green,0.47000000000000003,0.5033333333333332,0.9666666666666666,0.6433333333333333,2,1
banana,0.7416666666666667,1.0,0.7,0.7966666666666666,1,1
Folder Number:  6000
Accuracy:  0.6606666666666665
F1-Score:  0.7633571428571428
Precision:  0.7443333333333333
Recall:  0.9016666666666666
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.85,1.0,0.9,0.9400000000000001,1,0
cube,0.8083333333333332,1.0,0.8,0.8733333333333334,1,1
look,0.8666666666666666,1.0,0.8666666666666666,0.9133333333333333,1,1
salad,0.24000000000000005,0.39333333333333337,0.85,0.5088095238095238,1,1
corn,0.78,0.7916666666666666,0.9333333333333332,0.839047619047619,1,1
yellow,0.4333333333333333,0.4583333333333333,0.9666666666666666,0.6126190476190476,2,1
fruit,0.8216666666666667,1.0,0.7333333333333333,0.8266666666666665,1,1
