confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.9,1.0,0.95,0.9666666666666666,1,0
cube,0.8666666666666668,1.0,0.85,0.9066666666666666,1,1
look,0.9333333333333332,1.0,0.9333333333333332,0.95,1,1
salad,0.44000000000000006,0.4733333333333333,0.9666666666666666,0.6085714285714284,1,1
corn,0.8916666666666668,1.0,0.8833333333333332,0.9266666666666667,1,1
yellow,0.4033333333333333,0.4366666666666667,0.9666666666666666,0.5754761904761905,2,1
fruit,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
cucumb,0.7583333333333333,1.0,0.7166666666666667,0.82,1,1
green,0.43666666666666665,0.43666666666666665,1.0,0.5966666666666667,2,1
banana,0.8299999999999998,1.0,0.75,0.8400000000000001,1,1
Folder Number:  6000
Accuracy:  0.7426666666666667
F1-Score:  0.8170714285714287
Precision:  0.8346666666666668
Recall:  0.8983333333333332
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.55,1.0,0.7666666666666666,0.8466666666666667,1,0
cube,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,1
look,0.9,1.0,0.9,0.9333333333333332,1,1
salad,0.40166666666666667,0.485,0.9,0.6092857142857142,1,1
corn,0.8583333333333332,1.0,0.8166666666666668,0.8866666666666667,1,1
yellow,0.39666666666666667,0.43,0.9666666666666666,0.5716666666666667,2,1
fruit,0.8583333333333332,1.0,0.8166666666666667,0.8866666666666667,1,1
cucumb,0.8666666666666666,1.0,0.8666666666666666,0.9099999999999999,1,1
green,0.5716666666666667,0.5966666666666667,0.9666666666666666,0.7335714285714285,2,1
banana,0.9550000000000001,1.0,0.9166666666666666,0.9466666666666667,1,1
Folder Number:  6000
Accuracy:  0.73
F1-Score:  0.8271190476190476
Precision:  0.8511666666666666
Recall:  0.8833333333333332
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,1.0,1.0,1.0,1.0,1,0
cube,0.9666666666666666,1.0,0.95,0.9666666666666666,1,1
look,0.8666666666666666,1.0,0.8666666666666666,0.9200000000000002,1,1
salad,0.325,0.45,0.85,0.5592857142857144,1,1
corn,0.7916666666666667,1.0,0.7833333333333333,0.8666666666666668,1,1
yellow,0.38999999999999996,0.49333333333333335,0.8666666666666666,0.6033333333333334,2,1
fruit,0.8166666666666667,1.0,0.8,0.8633333333333333,1,1
cucumb,0.8333333333333333,1.0,0.8333333333333333,0.8933333333333333,1,1
green,0.5549999999999999,0.6216666666666665,0.9333333333333332,0.7321428571428571,2,1
banana,0.8333333333333333,1.0,0.7833333333333333,0.8666666666666668,1,1
Folder Number:  6000
Accuracy:  0.7378333333333333
F1-Score:  0.8271428571428571
Precision:  0.8564999999999999
Recall:  0.8666666666666666
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.6,1.0,0.7666666666666666,0.8533333333333333,1,0
cube,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
look,0.9666666666666666,1.0,0.95,0.9666666666666666,1,1
salad,0.42000000000000004,0.44000000000000006,0.9666666666666666,0.5954761904761906,1,1
corn,0.8416666666666666,1.0,0.8666666666666666,0.9100000000000001,1,1
yellow,0.46833333333333327,0.5016666666666667,0.9666666666666666,0.6428571428571428,2,1
fruit,0.8516666666666666,1.0,0.7833333333333333,0.8666666666666668,1,1
cucumb,0.8083333333333332,1.0,0.8166666666666667,0.8766666666666667,1,1
green,0.45333333333333325,0.45333333333333325,1.0,0.6166666666666666,2,1
banana,0.75,1.0,0.7166666666666666,0.7966666666666666,1,1
Folder Number:  6000
Accuracy:  0.7101666666666666
F1-Score:  0.8084999999999999
Precision:  0.8394999999999999
Recall:  0.8766666666666666
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.75,1.0,0.85,0.9066666666666666,1,0
cube,0.8749999999999998,1.0,0.8166666666666668,0.8799999999999999,1,1
look,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
salad,0.26666666666666666,0.425,0.8666666666666666,0.5326190476190477,1,1
corn,0.9333333333333332,1.0,0.9333333333333332,0.96,1,1
yellow,0.355,0.395,0.9333333333333332,0.543809523809524,2,1
fruit,0.8833333333333332,1.0,0.8333333333333333,0.8933333333333333,1,1
cucumb,0.8333333333333333,1.0,0.7666666666666666,0.8466666666666667,1,1
green,0.5016666666666666,0.5349999999999999,0.9666666666666666,0.674047619047619,2,1
banana,0.8466666666666667,1.0,0.7333333333333333,0.8266666666666668,1,1
Folder Number:  6000
Accuracy:  0.7178333333333333
F1-Score:  0.8010476190476192
Precision:  0.8355
Recall:  0.8616666666666666
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.8,1.0,0.8666666666666666,0.9199999999999999,1,0
cube,0.9083333333333332,1.0,0.9,0.9400000000000001,1,1
look,0.8666666666666666,1.0,0.8333333333333333,0.8933333333333332,1,1
salad,0.19666666666666668,0.4716666666666667,0.7833333333333332,0.5547619047619048,1,1
corn,1.0,1.0,1.0,1.0,1,1
yellow,0.3466666666666667,0.40499999999999997,0.9333333333333332,0.5342857142857144,2,1
fruit,0.8416666666666666,1.0,0.7833333333333333,0.86,1,1
cucumb,0.925,1.0,0.9166666666666666,0.9466666666666667,1,1
