confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.7,1.0,0.8333333333333333,0.8933333333333333,1,0
cube,0.875,1.0,0.8666666666666666,0.9099999999999999,1,1
look,0.9333333333333332,1.0,0.9333333333333332,0.96,1,1
salad,0.32999999999999996,0.355,0.9666666666666666,0.5047619047619047,1,1
corn,0.5583333333333333,0.65,0.85,0.7,1,1
yellow,0.5916666666666666,0.5833333333333333,0.9,0.6533333333333333,2,1
fruit,0.51,0.7166666666666666,0.6166666666666666,0.6,1,1
cucumb,0.4583333333333333,0.5583333333333333,0.8833333333333332,0.6714285714285714,1,1
green,0.5516666666666666,0.6100000000000001,0.9333333333333332,0.7302380952380952,2,1
banana,0.27666666666666667,0.335,0.9166666666666666,0.4671428571428572,1,1
Folder Number:  6000
Accuracy:  0.5784999999999999
F1-Score:  0.7090238095238095
Precision:  0.6808333333333334
Recall:  0.8699999999999999
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.85,1.0,0.9,0.9400000000000001,1,0
cube,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
look,0.8583333333333332,1.0,0.8333333333333333,0.9,1,1
salad,0.29333333333333333,0.39666666666666667,0.8333333333333333,0.5173809523809524,1,1
corn,0.6166666666666666,0.65,0.85,0.7166666666666668,1,1
yellow,0.5333333333333333,0.505,0.9333333333333332,0.6142857142857143,2,1
fruit,0.6749999999999999,0.8666666666666666,0.7,0.7333333333333333,1,1
cucumb,0.3416666666666667,0.4833333333333333,0.8333333333333333,0.5938095238095239,1,1
green,0.425,0.4583333333333333,0.9666666666666666,0.6023809523809522,2,1
banana,0.32166666666666666,0.48,0.8333333333333333,0.5847619047619048,1,1
Folder Number:  6000
Accuracy:  0.5848333333333333
F1-Score:  0.7149285714285714
Precision:  0.6839999999999999
Recall:  0.86
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.6,1.0,0.8333333333333333,0.8833333333333332,1,0
cube,0.9166666666666666,1.0,0.9,0.9400000000000001,1,1
look,0.95,1.0,0.9333333333333332,0.9600000000000002,1,1
salad,0.25,0.3583333333333333,0.8333333333333333,0.47714285714285715,1,1
corn,0.6883333333333332,0.6416666666666667,0.9166666666666666,0.7423809523809524,1,1
yellow,0.6916666666666667,0.615,1.0,0.7395238095238096,2,1
fruit,0.705,0.8166666666666667,0.8,0.7766666666666666,1,1
cucumb,0.4083333333333334,0.4666666666666667,0.9333333333333332,0.6038095238095238,1,1
green,0.5266666666666666,0.585,0.9333333333333332,0.7059523809523809,2,1
banana,0.24333333333333335,0.36,0.8333333333333333,0.4671428571428571,1,1
Folder Number:  6000
Accuracy:  0.598
F1-Score:  0.7295952380952381
Precision:  0.6843333333333333
Recall:  0.8916666666666668
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.9,1.0,0.95,0.9666666666666666,1,0
cube,0.825,1.0,0.8,0.8733333333333334,1,1
look,0.8833333333333332,1.0,0.8833333333333332,0.9266666666666667,1,1
salad,0.35,0.49499999999999994,0.8333333333333333,0.5888095238095239,1,1
corn,0.6416666666666667,0.5333333333333333,0.9666666666666666,0.68,1,1
yellow,0.5633333333333332,0.5316666666666667,0.9,0.6404761904761905,2,1
fruit,0.6733333333333333,0.8666666666666666,0.7166666666666666,0.7333333333333333,1,1
cucumb,0.3333333333333333,0.475,0.8333333333333333,0.582857142857143,1,1
green,0.5416666666666666,0.6083333333333333,0.9333333333333332,0.7204761904761904,2,1
banana,0.15666666666666665,0.3433333333333333,0.8,0.44238095238095243,1,1
Folder Number:  6000
Accuracy:  0.5868333333333333
F1-Score:  0.7155
Precision:  0.6853333333333333
Recall:  0.8616666666666667
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
use,0.6,1.0,0.8333333333333334,0.8833333333333332,1,0
cube,1.0,1.0,1.0,1.0,1,1
look,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666665,1,1
salad,0.37666666666666665,0.4683333333333334,0.8833333333333332,0.590952380952381,1,1
corn,0.6583333333333333,0.675,0.8833333333333332,0.7423809523809524,1,1
yellow,0.6916666666666667,0.6833333333333333,0.9666666666666666,0.7480952380952381,2,1
fruit,0.63,0.7,0.8,0.7133333333333335,1,1
cucumb,0.31666666666666665,0.4749999999999999,0.85,0.5861904761904763,1,1
green,0.46333333333333326,0.5216666666666667,0.9333333333333332,0.6511904761904761,2,1
banana,0.09166666666666666,0.4,0.65,0.46571428571428564,1,1
Folder Number:  6000
Accuracy:  0.5736666666666667
F1-Score:  0.7307857142857143
Precision:  0.6923333333333334
Recall:  0.8683333333333334
confFiles/spoken/spoken_4_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
