confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,1.0,1.0,1.0,1.0,1,0
cube,1.0,1.0,1.0,1.0,1,1
corn,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,1
yellow,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
an,0.3,0.45,0.8166666666666668,0.5438095238095239,1,1
cucumber,0.33999999999999997,0.41,0.8833333333333332,0.545952380952381,1,1
green,0.45,0.4666666666666666,0.9166666666666666,0.5966666666666667,1,1
the,0.6166666666666667,0.7,0.7833333333333333,0.71,1,1
ear,1.0,1.0,1.0,1.0,1,1
banana,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
block,0.9416666666666667,1.0,0.9333333333333332,0.9600000000000002,1,1
Folder Number:  6000
Accuracy:  0.7763636363636363
F1-Score:  0.8420995670995672
Precision:  0.8206060606060607
Recall:  0.9257575757575758
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.9,1.0,0.9333333333333332,0.96,1,0
cube,0.8933333333333333,1.0,0.85,0.9066666666666666,1,1
corn,0.9216666666666666,1.0,0.8999999999999998,0.9400000000000001,1,1
yellow,0.7833333333333333,1.0,0.8,0.8699999999999999,1,1
an,0.35333333333333333,0.4066666666666666,0.9166666666666666,0.5521428571428573,1,1
cucumber,0.4066666666666666,0.43166666666666664,0.95,0.5757142857142856,1,1
green,0.51,0.48166666666666663,0.9666666666666666,0.6028571428571428,1,1
the,0.7633333333333334,0.7333333333333333,0.9166666666666666,0.79,1,1
ear,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666665,1,1
banana,0.925,1.0,0.9,0.9333333333333332,1,1
block,0.9266666666666665,1.0,0.8666666666666666,0.9133333333333333,1,1
Folder Number:  6000
Accuracy:  0.7537878787878788
F1-Score:  0.8155194805194806
Precision:  0.823030303030303
Recall:  0.8984848484848484
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.75,1.0,0.8666666666666666,0.9133333333333333,1,0
cube,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
corn,0.95,1.0,0.9166666666666666,0.9466666666666667,1,1
yellow,0.8916666666666666,1.0,0.8666666666666666,0.9133333333333333,1,1
an,0.23500000000000001,0.3516666666666667,0.85,0.460952380952381,1,1
cucumber,0.4616666666666666,0.48666666666666664,0.9666666666666666,0.6211904761904762,1,1
green,0.5016666666666667,0.5166666666666667,0.9,0.64,1,1
the,0.7466666666666667,0.7083333333333333,0.9166666666666666,0.7590476190476191,1,1
ear,0.8916666666666668,1.0,0.85,0.9066666666666666,1,1
banana,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,1
block,0.93,1.0,0.9,0.9400000000000001,1,1
Folder Number:  6000
Accuracy:  0.7515151515151516
F1-Score:  0.8207142857142856
Precision:  0.8239393939393939
Recall:  0.9015151515151515
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.8,1.0,0.8666666666666666,0.9199999999999999,1,0
cube,0.975,1.0,0.95,0.9666666666666666,1,1
corn,1.0,1.0,1.0,1.0,1,1
yellow,0.9166666666666666,1.0,0.8833333333333332,0.9266666666666665,1,1
an,0.4033333333333333,0.4533333333333333,0.9333333333333332,0.5866666666666667,1,1
cucumber,0.2566666666666667,0.4066666666666666,0.8,0.5076190476190476,1,1
green,0.5149999999999999,0.49499999999999994,0.9666666666666666,0.628095238095238,1,1
the,0.725,0.7666666666666666,0.8333333333333333,0.7633333333333333,1,1
ear,0.9550000000000001,1.0,0.9333333333333332,0.96,1,1
banana,0.93,1.0,0.8666666666666666,0.9133333333333333,1,1
block,1.0,1.0,1.0,1.0,1,1
Folder Number:  6000
Accuracy:  0.7706060606060606
F1-Score:  0.8338528138528137
Precision:  0.8292424242424242
Recall:  0.9121212121212121
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.95,1.0,0.9666666666666666,0.9800000000000001,1,0
cube,0.9550000000000001,1.0,0.9166666666666666,0.9466666666666667,1,1
corn,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
yellow,0.8133333333333332,1.0,0.7666666666666667,0.86,1,1
an,0.26999999999999996,0.3283333333333333,0.9166666666666666,0.4671428571428572,1,1
cucumber,0.26666666666666666,0.37,0.8166666666666667,0.4873809523809524,1,1
green,0.5566666666666665,0.4916666666666666,0.9666666666666666,0.6407142857142857,1,1
the,0.8583333333333332,0.8166666666666667,0.9666666666666666,0.86,1,1
ear,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
banana,0.8,1.0,0.7666666666666667,0.8533333333333333,1,1
block,0.9083333333333334,1.0,0.9,0.93,1,1
Folder Number:  6000
Accuracy:  0.7563636363636363
F1-Score:  0.8168398268398268
Precision:  0.8187878787878787
Recall:  0.9015151515151516
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.95,1.0,0.9666666666666666,0.9800000000000001,1,0
