,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.6411661616161617,0.7417572871572872,-1.0,-1.0,0.7109388888888889,0.8952373737373737
an,0.3743888888888888,0.5652301587301588,1.0,1.0,0.4357222222222222,0.9227777777777776
banana,0.8508333333333334,0.8816666666666667,1.0,1.0,1.0,0.8188888888888889
block,0.7914444444444444,0.8401904761904764,1.0,1.0,0.8521666666666666,0.898888888888889
corn,0.5557777777777778,0.6854047619047617,1.0,1.0,0.6111666666666665,0.9233333333333331
cube,0.807222222222222,0.8483174603174605,1.0,1.0,0.8535555555555555,0.9066666666666664
cucumber,0.35400000000000004,0.5523888888888887,1.0,1.0,0.4187222222222221,0.9127777777777778
ear,0.5568888888888888,0.6904682539682541,1.0,1.0,0.6163888888888889,0.9205555555555555
green,0.4789444444444444,0.611595238095238,1.0,1.0,0.49394444444444446,0.91
on,0.8249999999999998,0.9393333333333335,0.0,1.0,1.0,0.9049999999999997
the,0.8565833333333333,0.8731904761904762,1.0,1.0,0.8745833333333334,0.9183333333333333
yellow,0.7727777777777778,0.8083968253968252,1.0,1.0,0.8530555555555555,0.823888888888889
