confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.9,1.0,0.9333333333333332,0.96,1,0
cube,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
corn,0.9166666666666666,1.0,0.9,0.9333333333333332,1,1
yellow,0.9216666666666666,1.0,0.8999999999999998,0.9400000000000001,1,1
an,0.355,0.4383333333333333,0.8833333333333332,0.5616666666666666,1,1
cucumber,0.40166666666666667,0.4933333333333333,0.9,0.6078571428571429,1,1
green,0.37333333333333335,0.3983333333333333,0.9666666666666666,0.5404761904761906,1,1
the,0.8999999999999998,1.0,0.8833333333333332,0.9266666666666667,1,1
ear,0.8716666666666667,1.0,0.8333333333333333,0.9,1,1
banana,0.9016666666666667,1.0,0.8666666666666666,0.9200000000000002,1,1
block,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666665,1,1
Folder Number:  6000
Accuracy:  0.7651515151515151
F1-Score:  0.8360606060606061
Precision:  0.8481818181818181
Recall:  0.9015151515151515
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.95,1.0,0.9666666666666666,0.9800000000000001,1,0
cube,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
corn,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
yellow,0.8966666666666667,1.0,0.85,0.9066666666666666,1,1
an,0.2816666666666666,0.3816666666666667,0.8833333333333334,0.5061904761904762,1,1
cucumber,0.29833333333333334,0.3683333333333333,0.8666666666666666,0.4990476190476191,1,1
green,0.36,0.42666666666666664,0.9166666666666666,0.554047619047619,1,1
the,0.9083333333333332,1.0,0.9,0.9400000000000001,1,1
ear,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666667,1,1
banana,0.875,1.0,0.8166666666666667,0.8800000000000001,1,1
block,0.835,1.0,0.8166666666666667,0.8766666666666666,1,1
Folder Number:  6000
Accuracy:  0.7436363636363637
F1-Score:  0.8147835497835498
Precision:  0.8342424242424241
Recall:  0.8848484848484848
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.7,1.0,0.8166666666666667,0.8866666666666667,1,0
cube,0.9550000000000001,1.0,0.9166666666666666,0.9466666666666667,1,1
corn,0.8383333333333333,1.0,0.8,0.8733333333333334,1,1
yellow,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,1
an,0.41166666666666674,0.47000000000000003,0.9333333333333332,0.5983333333333333,1,1
cucumber,0.3983333333333333,0.44833333333333336,0.9333333333333332,0.5866666666666667,1,1
green,0.39999999999999997,0.4666666666666666,0.9166666666666666,0.5966666666666667,1,1
the,0.9083333333333332,1.0,0.9,0.9400000000000001,1,1
ear,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,1
banana,0.7766666666666666,1.0,0.7666666666666667,0.85,1,1
block,0.9166666666666666,1.0,0.8833333333333332,0.9266666666666665,1,1
Folder Number:  6000
Accuracy:  0.7513636363636365
F1-Score:  0.8331818181818181
Precision:  0.8531818181818182
Recall:  0.890909090909091
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.8,1.0,0.8666666666666666,0.9200000000000002,1,0
cube,0.9083333333333332,1.0,0.9,0.93,1,1
corn,0.925,1.0,0.8666666666666668,0.9133333333333333,1,1
yellow,0.85,1.0,0.8333333333333333,0.8933333333333333,1,1
an,0.28,0.4033333333333333,0.8,0.5085714285714286,1,1
cucumber,0.37,0.44000000000000006,0.9,0.5688095238095239,1,1
green,0.40499999999999997,0.5133333333333333,0.8666666666666666,0.6273809523809525,1,1
the,0.9333333333333332,1.0,0.9,0.9333333333333332,1,1
ear,0.8333333333333333,1.0,0.8,0.8733333333333334,1,1
banana,1.0,1.0,1.0,1.0,1,1
block,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,1
Folder Number:  6000
Accuracy:  0.7531818181818182
F1-Score:  0.8316450216450217
Precision:  0.8506060606060605
Recall:  0.881818181818182
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.75,1.0,0.85,0.9066666666666666,1,0
cube,0.9466666666666667,1.0,0.9333333333333332,0.96,1,1
corn,0.9416666666666667,1.0,0.9333333333333332,0.9600000000000002,1,1
yellow,0.95,1.0,0.9333333333333332,0.96,1,1
an,0.3733333333333333,0.3983333333333333,0.9666666666666666,0.5476190476190477,1,1
cucumber,0.2533333333333333,0.52,0.7666666666666666,0.5854761904761905,1,1
green,0.4166666666666667,0.4416666666666667,0.9666666666666666,0.5883333333333335,1,1
the,0.95,1.0,0.9333333333333332,0.9600000000000002,1,1
ear,0.9466666666666667,1.0,0.9166666666666666,0.9466666666666667,1,1
banana,0.8300000000000001,1.0,0.7833333333333333,0.8666666666666668,1,1
block,0.9166666666666666,1.0,0.8999999999999998,0.9400000000000001,1,1
Folder Number:  6000
Accuracy:  0.7522727272727273
F1-Score:  0.8383116883116883
Precision:  0.8509090909090908
Recall:  0.8984848484848484
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.95,1.0,0.9666666666666666,0.9800000000000001,1,0
cube,0.9466666666666667,1.0,0.9333333333333332,0.96,1,1
corn,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,1
yellow,0.9216666666666666,1.0,0.8666666666666666,0.9133333333333333,1,1
an,0.33999999999999997,0.46499999999999997,0.8166666666666667,0.5761904761904761,1,1
cucumber,0.4333333333333333,0.5,0.9333333333333332,0.6245238095238095,1,1
green,0.33999999999999997,0.365,0.9666666666666666,0.5164285714285713,1,1
the,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666667,1,1
ear,0.9216666666666666,1.0,0.8666666666666666,0.9133333333333333,1,1
banana,0.8416666666666666,1.0,0.7833333333333333,0.8666666666666666,1,1
block,0.9550000000000001,1.0,0.9333333333333332,0.96,1,1
Folder Number:  6000
Accuracy:  0.7762121212121212
F1-Score:  0.837922077922078
Precision:  0.8481818181818181
Recall:  0.9015151515151515
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.8,1.0,0.8833333333333332,0.9266666666666667,1,0
cube,0.975,1.0,0.95,0.9666666666666666,1,1
corn,0.8550000000000001,1.0,0.7833333333333333,0.86,1,1
yellow,0.8583333333333332,1.0,0.85,0.9066666666666666,1,1
an,0.285,0.4216666666666667,0.85,0.5271428571428571,1,1
cucumber,0.39,0.43999999999999995,0.9166666666666666,0.5864285714285715,1,1
green,0.38333333333333336,0.4083333333333334,0.9666666666666666,0.5538095238095239,1,1
the,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
ear,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,1
banana,0.8966666666666667,1.0,0.8666666666666666,0.9199999999999999,1,1
block,0.85,1.0,0.8333333333333333,0.8899999999999999,1,1
Folder Number:  6000
Accuracy:  0.7433333333333333
F1-Score:  0.8221861471861472
Precision:  0.8427272727272727
Recall:  0.8863636363636364
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,1.0,1.0,1.0,1.0,1,0
cube,0.8833333333333332,1.0,0.8666666666666668,0.9200000000000002,1,1
corn,0.825,1.0,0.7833333333333333,0.8666666666666668,1,1
yellow,0.825,1.0,0.8,0.8633333333333333,1,1
an,0.43166666666666664,0.49833333333333324,0.9333333333333332,0.6216666666666668,1,1
cucumber,0.32666666666666666,0.385,0.9166666666666666,0.5173809523809524,1,1
green,0.30333333333333334,0.32833333333333337,0.95,0.46904761904761905,1,1
the,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,1
ear,0.9416666666666667,1.0,0.9,0.9333333333333332,1,1
banana,0.875,1.0,0.8333333333333333,0.8933333333333333,1,1
block,0.9466666666666667,1.0,0.9333333333333332,0.96,1,1
Folder Number:  6000
Accuracy:  0.7545454545454546
F1-Score:  0.8174025974025974
Precision:  0.8374242424242424
Recall:  0.893939393939394
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.8,1.0,0.8833333333333332,0.9266666666666665,1,0
cube,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
corn,0.9333333333333332,1.0,0.9333333333333332,0.96,1,1
