,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.6645631313131314,0.7680860028860029,-1.0,-1.0,0.7604515151515152,0.887181818181818
an,0.3690555555555556,0.5740952380952381,1.0,1.0,0.45005555555555543,0.901111111111111
banana,0.8433888888888889,0.8698888888888889,1.0,1.0,1.0,0.7977777777777779
block,0.9271666666666665,0.9436666666666667,1.0,1.0,1.0,0.9105555555555555
corn,0.5506111111111112,0.6851349206349205,1.0,1.0,0.6225000000000002,0.9044444444444443
cube,0.9284444444444443,0.9437777777777777,1.0,1.0,1.0,0.9105555555555555
cucumber,0.351,0.5549523809523811,1.0,1.0,0.4285,0.906111111111111
ear,0.5364444444444445,0.6809285714285714,1.0,1.0,0.6227777777777779,0.8899999999999999
green,0.35788888888888887,0.5601666666666668,1.0,1.0,0.42977777777777776,0.9083333333333332
on,0.8474999999999998,0.942666666666667,0.0,1.0,1.0,0.9075
the,0.9374999999999998,0.9543333333333333,1.0,1.0,1.0,0.9258333333333331
yellow,0.8446666666666667,0.8812222222222222,1.0,1.0,1.0,0.8194444444444443
