confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.9,1.0,0.9333333333333332,0.96,1,0
cube,0.8166666666666667,1.0,0.8,0.8733333333333333,1,1
corn,0.5283333333333333,0.5266666666666666,0.9166666666666666,0.655,1,1
yellow,0.9166666666666666,1.0,0.8833333333333332,0.9166666666666666,1,1
an,0.6883333333333334,0.5566666666666668,1.0,0.7052380952380952,1,1
cucumber,0.3616666666666667,0.445,0.8833333333333332,0.5704761904761905,1,1
green,0.34833333333333333,0.44833333333333336,0.9333333333333332,0.5642857142857143,1,1
the,0.755,0.7083333333333333,0.9166666666666666,0.7757142857142858,1,1
ear,0.6283333333333333,0.525,0.9666666666666666,0.6657142857142857,1,1
banana,0.6849999999999999,0.5766666666666667,0.9166666666666666,0.6883333333333334,1,1
block,0.9550000000000001,1.0,0.9333333333333332,0.96,1,1
Folder Number:  6000
Accuracy:  0.6893939393939393
F1-Score:  0.7577056277056277
Precision:  0.7078787878787879
Recall:  0.9166666666666665
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,1.0,1.0,1.0,1.0,1,0
cube,0.9333333333333332,1.0,0.9333333333333332,0.9600000000000002,1,1
corn,0.4966666666666666,0.6249999999999999,0.8333333333333333,0.6516666666666666,1,1
yellow,0.8583333333333332,1.0,0.8333333333333334,0.9000000000000001,1,1
an,0.6016666666666667,0.6166666666666667,0.8833333333333332,0.6971428571428571,1,1
cucumber,0.29833333333333334,0.39,0.9,0.5185714285714286,1,1
green,0.4216666666666667,0.44666666666666666,0.9666666666666666,0.5954761904761905,1,1
the,0.9100000000000001,0.9166666666666666,0.9666666666666666,0.9314285714285715,1,1
ear,0.5983333333333334,0.5666666666666667,0.9166666666666666,0.6752380952380952,1,1
banana,0.575,0.6833333333333333,0.7,0.6566666666666667,1,1
block,0.9083333333333332,1.0,0.9,0.9400000000000001,1,1
Folder Number:  6000
Accuracy:  0.691060606060606
F1-Score:  0.775108225108225
Precision:  0.7495454545454546
Recall:  0.8939393939393938
confFiles/written/written_4_30_raw_clean.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
on,0.95,1.0,0.9666666666666666,0.9800000000000001,1,0
cube,0.9466666666666667,1.0,0.9333333333333332,0.96,1,1
corn,0.6383333333333333,0.625,0.9666666666666666,0.7359523809523809,1,1
yellow,0.8416666666666666,1.0,0.85,0.8966666666666667,1,1
an,0.5883333333333333,0.585,0.85,0.6616666666666666,1,1
cucumber,0.3416666666666667,0.4583333333333333,0.8666666666666666,0.5788095238095238,1,1
green,0.4133333333333333,0.47999999999999987,0.9,0.6216666666666667,1,1
the,0.8083333333333332,0.8166666666666667,0.9166666666666666,0.8266666666666668,1,1
