confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.975,1.0,0.95,0.9666666666666666,1,1
squar,0.9466666666666667,1.0,0.9166666666666666,0.9466666666666667,1,1
corn,0.49333333333333335,0.4833333333333333,0.9666666666666666,0.6245238095238095,1,1
cucumb,0.35666666666666663,0.43999999999999995,0.9,0.5745238095238095,1,1
green,0.5583333333333333,0.5583333333333333,1.0,0.7030952380952381,2,1
ear,0.4999999999999999,0.4533333333333333,1.0,0.6121428571428572,1,1
banana,0.8333333333333333,0.9166666666666666,0.8666666666666666,0.8733333333333334,1,1
block,0.9333333333333332,1.0,0.9333333333333332,0.95,1,1
Folder Number:  6000
Accuracy:  0.6995833333333332
F1-Score:  0.7813690476190476
Precision:  0.7314583333333333
Recall:  0.9416666666666667
confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8883333333333334,1.0,0.85,0.8966666666666667,1,1
squar,1.0,1.0,1.0,1.0,1,1
corn,0.4216666666666667,0.45666666666666667,0.9333333333333332,0.5795238095238096,1,1
cucumb,0.7433333333333334,0.75,0.85,0.76,1,1
green,1.0,1.0,1.0,1.0,2,1
ear,0.575,0.55,0.9666666666666666,0.6557142857142856,1,1
banana,0.8100000000000002,0.8583333333333332,0.85,0.8257142857142858,1,1
block,0.975,1.0,0.95,0.9666666666666666,1,1
Folder Number:  6000
Accuracy:  0.8016666666666667
F1-Score:  0.8355357142857143
Precision:  0.826875
Recall:  0.925
confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.95,1.0,0.9333333333333332,0.96,1,1
squar,0.8633333333333333,1.0,0.8166666666666667,0.8766666666666666,1,1
corn,0.475,0.5000000000000001,0.8666666666666666,0.6169047619047621,1,1
cucumb,0.7816666666666666,0.7,0.9166666666666666,0.7633333333333334,1,1
green,0.975,1.0,0.9666666666666666,0.9800000000000001,2,1
ear,0.43166666666666664,0.5333333333333333,0.8166666666666667,0.5933333333333334,1,1
banana,0.7883333333333333,0.8333333333333333,0.8999999999999998,0.8400000000000001,1,1
block,0.8416666666666666,1.0,0.8666666666666666,0.9099999999999999,1,1
Folder Number:  6000
Accuracy:  0.7633333333333333
F1-Score:  0.8175297619047619
