confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,1.0,1.0,1.0,1.0,1,1
squar,0.9216666666666666,1.0,0.8833333333333332,0.9266666666666665,1,1
corn,0.8266666666666665,0.775,0.95,0.8404761904761904,1,1
cucumb,0.9,1.0,0.8666666666666666,0.9133333333333333,1,1
green,0.9333333333333332,1.0,0.9333333333333332,0.9600000000000002,2,1
ear,0.8466666666666667,0.9166666666666666,0.8833333333333332,0.8800000000000001,1,1
banana,0.9,1.0,0.9,0.93,1,1
block,0.975,1.0,0.95,0.9666666666666666,1,1
Folder Number:  6000
Accuracy:  0.9129166666666666
F1-Score:  0.927142857142857
Precision:  0.9614583333333333
Recall:  0.9208333333333333
confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
squar,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
corn,0.8883333333333333,0.9,0.9166666666666666,0.8800000000000001,1,1
cucumb,0.9333333333333332,1.0,0.9,0.9333333333333332,1,1
green,0.975,1.0,0.9666666666666666,0.9800000000000001,2,1
ear,0.8133333333333332,0.7916666666666666,0.9166666666666666,0.8123809523809523,1,1
banana,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,1
block,0.9166666666666666,1.0,0.9,0.9400000000000001,1,1
Folder Number:  6000
Accuracy:  0.9310416666666665
F1-Score:  0.9357142857142857
Precision:  0.9614583333333333
Recall:  0.9375
confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8333333333333333,1.0,0.85,0.8966666666666667,1,1
squar,0.9,1.0,0.8666666666666666,0.9200000000000002,1,1
corn,0.8,0.8083333333333332,0.8833333333333332,0.8223809523809524,1,1
cucumb,0.7,1.0,0.7666666666666667,0.8400000000000001,1,1
green,1.0,1.0,1.0,1.0,2,1
ear,0.8083333333333332,0.8,0.9166666666666666,0.8266666666666668,1,1
banana,0.8633333333333333,1.0,0.8166666666666667,0.8866666666666667,1,1
block,0.95,1.0,0.9333333333333332,0.96,1,1
Folder Number:  6000
Accuracy:  0.8568749999999999
F1-Score:  0.8940476190476191
Precision:  0.9510416666666666
Recall:  0.8791666666666667
confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.915,1.0,0.8666666666666666,0.9200000000000002,1,1
squar,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,1
corn,0.7966666666666666,0.7916666666666666,0.9166666666666666,0.8357142857142857,1,1
cucumb,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
green,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,2,1
ear,0.86,0.7833333333333333,1.0,0.8600000000000001,1,1
banana,0.7133333333333333,1.0,0.6499999999999999,0.7666666666666667,1,1
block,0.9333333333333333,1.0,0.9333333333333333,0.95,1,1
Folder Number:  6000
Accuracy:  0.8914583333333332
F1-Score:  0.9090476190476191
Precision:  0.9468749999999999
Recall:  0.9083333333333332
confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,1.0,1.0,1.0,1.0,1,1
squar,0.8833333333333332,1.0,0.85,0.9,1,1
corn,0.82,0.875,0.8833333333333332,0.8590476190476191,1,1
cucumb,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
green,0.3666666666666667,0.4,0.9666666666666666,0.5371428571428571,2,1
ear,0.8166666666666667,0.9166666666666666,0.8333333333333333,0.8400000000000001,1,1
banana,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
block,0.9400000000000001,1.0,0.8999999999999998,0.9400000000000001,1,1
Folder Number:  6000
Accuracy:  0.8387500000000001
F1-Score:  0.8745238095238095
Precision:  0.8989583333333333
Recall:  0.9124999999999999
confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
squar,0.8466666666666667,1.0,0.8333333333333333,0.8833333333333332,1,1
corn,0.86,0.8166666666666667,0.9166666666666666,0.8266666666666665,1,1
cucumb,0.8800000000000001,1.0,0.9,0.93,1,1
green,1.0,1.0,1.0,1.0,2,1
ear,0.8216666666666667,0.8,0.9333333333333332,0.8400000000000001,1,1
banana,0.9349999999999999,1.0,0.8833333333333332,0.9266666666666665,1,1
block,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,1
Folder Number:  6000
Accuracy:  0.9112500000000001
F1-Score:  0.9208333333333334
Precision:  0.9520833333333333
Recall:  0.9249999999999998
confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
