,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.8815038580246913,0.9076477072310406,-1.0,-1.0,0.9510486111111109,0.9042515432098764
banana,0.9005000000000002,0.9183333333333332,1.0,1.0,1.0,0.8755555555555556
block,0.9017222222222221,0.9164920634920634,1.0,1.0,0.9811111111111112,0.8894444444444443
corn,0.8904999999999998,0.907,1.0,1.0,0.9436111111111111,0.9044444444444444
cube,0.9160555555555554,0.9326666666666665,1.0,1.0,0.9883333333333333,0.9044444444444444
cucumb,0.7459444444444443,0.8214444444444443,1.0,1.0,0.8347222222222223,0.8794444444444446
ear,0.8793333333333332,0.9037936507936508,1.0,1.0,0.9463888888888888,0.9027777777777779
green,0.8815000000000001,0.9135079365079366,1.0,2.0,0.9222777777777779,0.9544444444444444
squar,0.91425,0.9277857142857142,1.0,1.0,0.9879166666666667,0.8974999999999997
yellow,0.9468333333333332,0.9606666666666668,1.0,1.5,1.0,0.9358333333333331
