confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8550000000000001,1.0,0.85,0.8966666666666667,1,1
squar,0.95,1.0,0.9333333333333332,0.96,1,1
corn,0.4966666666666667,0.51,0.9166666666666666,0.6366666666666666,1,1
cucumb,0.3083333333333333,0.4,0.9,0.5292857142857142,1,1
green,0.46499999999999997,0.49833333333333324,0.9666666666666666,0.6416666666666667,2,1
ear,0.5066666666666666,0.5266666666666666,0.9333333333333332,0.643095238095238,1,1
banana,0.6883333333333332,0.7666666666666666,0.7333333333333333,0.7233333333333334,1,1
block,0.9550000000000001,1.0,0.9333333333333332,0.9600000000000002,1,1
Folder Number:  6000
Accuracy:  0.653125
F1-Score:  0.7488392857142858
Precision:  0.7127083333333333
Recall:  0.8958333333333333
confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8583333333333332,1.0,0.8,0.8733333333333334,1,1
squar,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
corn,0.485,0.44333333333333336,1.0,0.5850000000000001,1,1
cucumb,0.29500000000000004,0.42833333333333334,0.85,0.5240476190476191,1,1
green,0.355,0.355,1.0,0.5007142857142858,2,1
ear,0.45666666666666667,0.45,0.95,0.5921428571428572,1,1
banana,0.7966666666666666,0.75,0.9166666666666666,0.8133333333333332,1,1
block,0.85,1.0,0.8666666666666666,0.9100000000000001,1,1
Folder Number:  6000
Accuracy:  0.6339583333333333
F1-Score:  0.7223214285714286
Precision:  0.6783333333333332
Recall:  0.91875
confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9216666666666666,1.0,0.8999999999999998,0.9400000000000001,1,1
squar,0.925,1.0,0.9,0.9400000000000001,1,1
corn,0.5250000000000001,0.515,0.9666666666666666,0.6423809523809524,1,1
cucumb,0.4,0.4,1.0,0.5383333333333333,1,1
green,0.4133333333333333,0.4133333333333333,1.0,0.5733333333333335,2,1
ear,0.35,0.3766666666666667,0.9166666666666666,0.4904761904761904,1,1
banana,0.8333333333333333,0.8666666666666666,0.8666666666666666,0.8433333333333334,1,1
block,0.95,1.0,0.9166666666666666,0.9466666666666667,1,1
Folder Number:  6000
Accuracy:  0.6647916666666667
F1-Score:  0.7393154761904762
Precision:  0.6964583333333334
Recall:  0.9333333333333333
confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8916666666666666,1.0,0.85,0.9066666666666668,1,1
squar,0.875,1.0,0.8333333333333333,0.8933333333333333,1,1
corn,0.49333333333333335,0.4666666666666666,0.9666666666666666,0.6128571428571428,1,1
cucumb,0.45,0.475,0.9666666666666666,0.6161904761904762,1,1
green,0.47833333333333333,0.47833333333333333,1.0,0.6357142857142858,2,1
ear,0.5349999999999999,0.5316666666666665,0.9333333333333332,0.6561904761904762,1,1
banana,0.645,0.675,0.8833333333333332,0.7123809523809524,1,1
block,0.9333333333333332,1.0,0.9333333333333332,0.96,1,1
Folder Number:  6000
Accuracy:  0.6627083333333332
F1-Score:  0.7491666666666668
Precision:  0.7033333333333333
Recall:  0.9208333333333332
confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,1.0,1.0,1.0,1.0,1,1
squar,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
corn,0.55,0.5016666666666667,0.95,0.6283333333333333,1,1
cucumb,0.305,0.39499999999999996,0.85,0.5200000000000001,1,1
green,0.445,0.445,1.0,0.6042857142857143,2,1
ear,0.5083333333333334,0.4833333333333333,0.9666666666666666,0.6088095238095238,1,1
banana,0.8333333333333333,0.9083333333333332,0.9,0.879047619047619,1,1
block,1.0,1.0,1.0,1.0,1,1
Folder Number:  6000
Accuracy:  0.7010416666666666
F1-Score:  0.7775595238095239
Precision:  0.7166666666666666
Recall:  0.9541666666666666
confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666667,1,1
squar,0.9466666666666667,1.0,0.9333333333333332,0.9600000000000002,1,1
corn,0.47333333333333333,0.5066666666666667,0.8666666666666666,0.6154761904761904,1,1
cucumb,0.73,0.7333333333333334,0.85,0.77,1,1
green,0.385,0.41,0.9666666666666666,0.5585714285714285,2,1
ear,0.45166666666666655,0.5416666666666667,0.8333333333333333,0.6423809523809524,1,1
banana,0.7466666666666667,0.7666666666666666,0.9,0.7980952380952381,1,1
block,0.9666666666666666,1.0,0.95,0.9666666666666666,1,1
Folder Number:  6000
Accuracy:  0.7010416666666667
F1-Score:  0.7797321428571429
Precision:  0.7447916666666667
Recall:  0.8979166666666667
confFiles/written/written_4_30_stemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9166666666666666,1.0,0.9,0.9400000000000001,1,1
squar,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
corn,0.465,0.4683333333333334,0.8833333333333332,0.5916666666666667,1,1
cucumb,0.7849999999999999,0.725,0.9666666666666666,0.8057142857142857,1,1
green,0.4616666666666667,0.4616666666666667,1.0,0.6226190476190476,2,1
ear,0.48,0.48999999999999994,0.9333333333333332,0.6033333333333334,1,1
banana,0.8516666666666666,0.8083333333333332,0.95,0.8457142857142858,1,1
block,0.9216666666666666,1.0,0.9,0.9400000000000001,1,1
Folder Number:  6000
