,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.6634336419753086,0.7401216931216932,-1.0,-1.0,0.68164737654321,0.9063657407407406
banana,0.7580555555555555,0.7905714285714286,1.0,1.0,0.7783333333333334,0.8694444444444446
block,0.7395555555555554,0.7976190476190477,1.0,1.0,0.7683888888888888,0.9
corn,0.5906666666666667,0.6861746031746032,1.0,1.0,0.6046111111111112,0.8855555555555555
cube,0.7490555555555555,0.8012698412698412,1.0,1.0,0.7827222222222223,0.8972222222222221
cucumb,0.6357222222222222,0.7212301587301588,1.0,1.0,0.6596111111111111,0.8999999999999999
ear,0.6158888888888889,0.70015873015873,1.0,1.0,0.6172777777777776,0.9083333333333333
green,0.47466666666666657,0.6188333333333333,1.0,2.0,0.4764444444444444,0.9761111111111112
squar,0.7634999999999998,0.8166666666666668,1.0,1.0,0.7901666666666667,0.9108333333333333
yellow,0.6809166666666667,0.7600595238095238,1.0,1.5,0.6945833333333333,0.9116666666666667
