confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8516666666666666,0.7583333333333333,0.95,0.8290476190476189,1,1
cob,0.85,1.0,0.8666666666666666,0.9,1,1
corn,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
yellow,0.36333333333333334,0.48166666666666663,0.8,0.5838095238095239,1,1
side,0.29500000000000004,0.3866666666666666,0.8833333333333332,0.5104761904761905,1,1
square,0.85,0.95,0.85,0.8733333333333334,1,1
cucumber,0.9166666666666666,1.0,0.9,0.9400000000000001,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,0.9216666666666666,1.0,0.8999999999999998,0.9400000000000001,1,1
banana,0.7916666666666666,1.0,0.7833333333333333,0.8566666666666667,1,1
block,0.7716666666666667,0.8166666666666667,0.8166666666666667,0.7733333333333333,1,1
Folder Number:  6000
Accuracy:  0.7798484848484848
F1-Score:  0.8351515151515152
Precision:  0.8539393939393939
Recall:  0.8833333333333332
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8916666666666666,0.8833333333333332,0.95,0.8933333333333333,1,1
cob,0.9333333333333333,1.0,0.9333333333333333,0.95,1,1
corn,0.9666666666666666,1.0,0.95,0.9666666666666666,1,1
yellow,0.4866666666666667,0.5416666666666666,0.8166666666666667,0.62,1,1
side,0.20833333333333331,0.35833333333333334,0.8166666666666667,0.46190476190476193,1,1
square,0.8300000000000001,0.8,0.9,0.8166666666666667,1,1
cucumber,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,0.8,1.0,0.8,0.8633333333333333,1,1
banana,0.8633333333333333,1.0,0.8166666666666667,0.8866666666666667,1,1
block,0.8433333333333334,0.75,0.9666666666666666,0.82,1,1
Folder Number:  6000
Accuracy:  0.799090909090909
F1-Score:  0.8416883116883117
Precision:  0.8484848484848484
Recall:  0.9015151515151516
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.885,0.8166666666666667,0.95,0.8633333333333333,1,1
cob,0.9083333333333332,1.0,0.9,0.9400000000000001,1,1
corn,0.8416666666666666,1.0,0.8166666666666667,0.8766666666666666,1,1
yellow,0.4766666666666667,0.5666666666666667,0.8333333333333333,0.6166666666666666,1,1
side,0.2683333333333333,0.3933333333333333,0.8666666666666666,0.510952380952381,1,1
square,0.8883333333333333,0.8083333333333332,1.0,0.879047619047619,1,1
cucumber,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,0.95,1.0,0.9333333333333332,0.9600000000000002,1,1
banana,0.7083333333333333,1.0,0.65,0.76,1,1
block,0.7916666666666666,0.7583333333333334,0.9333333333333332,0.8171428571428571,1,1
Folder Number:  6000
Accuracy:  0.7903030303030303
F1-Score:  0.8367099567099566
Precision:  0.8493939393939395
Recall:  0.8954545454545454
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8516666666666668,0.875,0.9166666666666666,0.8871428571428572,1,1
cob,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
corn,0.9666666666666666,1.0,0.95,0.9666666666666666,1,1
yellow,0.5416666666666666,0.65,0.8,0.6699999999999999,1,1
side,0.33999999999999997,0.3983333333333333,0.9166666666666666,0.5376190476190477,1,1
square,0.8966666666666667,0.9666666666666666,0.8833333333333332,0.9066666666666666,1,1
cucumber,0.8749999999999998,1.0,0.8666666666666666,0.9200000000000002,1,1
green,0.95,1.0,0.9666666666666666,0.9800000000000001,2,0
ear,0.925,1.0,0.8833333333333332,0.9266666666666667,1,1
banana,0.8966666666666667,1.0,0.85,0.9066666666666666,1,1
block,0.7066666666666667,0.85,0.8166666666666667,0.8114285714285714,1,1
Folder Number:  6000
Accuracy:  0.8106060606060607
F1-Score:  0.8629870129870131
Precision:  0.8854545454545455
Recall:  0.8924242424242422
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8266666666666665,0.8166666666666668,0.9333333333333332,0.8533333333333335,1,1
cob,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
corn,0.9016666666666666,1.0,0.8333333333333333,0.8933333333333333,1,1
yellow,0.47000000000000003,0.5233333333333333,0.8166666666666667,0.5704761904761904,1,1
side,0.19166666666666668,0.375,0.75,0.48380952380952386,1,1
square,0.7649999999999999,0.6333333333333334,0.9333333333333332,0.7333333333333333,1,1
cucumber,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,0.95,1.0,0.95,0.9666666666666666,1,1
banana,0.7016666666666667,1.0,0.65,0.77,1,1
block,0.6216666666666666,0.7916666666666667,0.8,0.7623809523809524,1,1
Folder Number:  6000
Accuracy:  0.7578787878787878
F1-Score:  0.8157575757575759
Precision:  0.8309090909090908
Recall:  0.8696969696969696
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.6933333333333334,0.8083333333333332,0.7166666666666666,0.7123809523809524,1,1
cob,0.9083333333333332,1.0,0.9,0.9400000000000001,1,1
corn,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
yellow,0.45,0.6,0.7166666666666667,0.62,1,1
side,0.16166666666666665,0.3516666666666667,0.7,0.4385714285714286,1,1
square,0.8016666666666665,0.7833333333333333,0.8833333333333332,0.8,1,1
cucumber,0.925,1.0,0.9,0.9400000000000001,1,1
green,0.95,1.0,0.9666666666666666,0.9800000000000001,2,0
ear,0.9550000000000001,1.0,0.9333333333333332,0.96,1,1
banana,0.8966666666666667,1.0,0.8333333333333333,0.8933333333333333,1,1
block,0.7816666666666666,0.725,0.9333333333333332,0.799047619047619,1,1
Folder Number:  6000
Accuracy:  0.7725757575757576
F1-Score:  0.8239393939393939
Precision:  0.8425757575757575
Recall:  0.8590909090909092
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.6266666666666667,0.8166666666666667,0.7,0.7233333333333334,1,1
cob,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
corn,1.0,1.0,1.0,1.0,1,1
yellow,0.42000000000000004,0.6,0.6833333333333333,0.58,1,1
side,0.21833333333333332,0.43833333333333335,0.7666666666666666,0.5304761904761904,1,1
square,0.7133333333333333,0.775,0.8666666666666666,0.7923809523809524,1,1
cucumber,0.85,1.0,0.8833333333333332,0.9166666666666666,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,0.8166666666666667,1.0,0.7666666666666667,0.8533333333333333,1,1
banana,0.685,1.0,0.6,0.7366666666666667,1,1
block,0.7633333333333334,0.8833333333333332,0.8666666666666666,0.8433333333333334,1,1
Folder Number:  6000
Accuracy:  0.7327272727272728
F1-Score:  0.8141991341991343
Precision:  0.8648484848484849
Recall:  0.8272727272727273
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.7516666666666667,0.8333333333333333,0.7833333333333333,0.79,1,1
cob,0.975,1.0,0.95,0.9666666666666666,1,1
corn,0.9416666666666667,1.0,0.9333333333333332,0.9600000000000002,1,1
yellow,0.39,0.43166666666666664,0.8666666666666666,0.5480952380952381,1,1
side,0.23666666666666666,0.34,0.85,0.4628571428571429,1,1
square,0.7633333333333334,0.7583333333333333,0.9166666666666666,0.797142857142857,1,1
cucumber,0.95,1.0,0.95,0.9666666666666666,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,0.9083333333333332,1.0,0.9,0.9400000000000001,1,1
