,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.7528631553631554,0.8190778533635675,-1.0,-1.0,0.8250745550745551,0.8912073112073111
banana,0.6713227513227514,0.7563869992441421,1.0,1.0,0.8137301587301587,0.8206349206349207
block,0.8408201058201057,0.8620937263794407,1.0,1.0,0.8625661375661376,0.9097883597883596
cob,0.7279100529100531,0.809875283446712,1.0,1.0,0.807989417989418,0.9007936507936507
corn,0.7188888888888888,0.8015532879818595,1.0,1.0,0.8037830687830687,0.8928571428571429
cube,0.8348412698412699,0.8559637188208615,1.0,1.0,0.8578042328042328,0.9023809523809524
cucumber,0.9002380952380951,0.9259334845049129,1.0,1.0,0.9857671957671957,0.897089947089947
ear,0.7114021164021164,0.8023053665910806,1.0,1.0,0.8132539682539682,0.8777777777777778
green,0.9536772486772487,0.9671806500377929,0.6666666666666666,1.6666666666666667,0.9921957671957672,0.9560846560846561
side,0.2757142857142857,0.522046485260771,1.0,1.0,0.40976190476190477,0.8412698412698412
square,0.828042328042328,0.8539304610733183,1.0,1.0,0.8607142857142857,0.8997354497354497
yellow,0.610767195767196,0.7180309901738472,1.0,1.6666666666666667,0.6715079365079365,0.8907407407407406
