confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
cob,0.975,1.0,0.95,0.9666666666666666,1,1
corn,0.8416666666666666,1.0,0.8166666666666667,0.8766666666666666,1,1
yellow,0.775,1.0,0.7833333333333333,0.8466666666666667,1,1
side,0.13166666666666665,0.4133333333333334,0.6166666666666666,0.48047619047619045,1,1
square,0.8833333333333332,1.0,0.8833333333333332,0.9266666666666667,1,1
cucumber,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
banana,0.8350000000000002,1.0,0.8,0.8800000000000001,1,1
block,0.95,1.0,0.9333333333333332,0.96,1,1
Folder Number:  6000
Accuracy:  0.843181818181818
F1-Score:  0.8948917748917751
Precision:  0.9466666666666668
Recall:  0.8757575757575757
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.95,1.0,0.9333333333333332,0.96,1,1
cob,0.8549999999999999,1.0,0.8166666666666667,0.8866666666666667,1,1
corn,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
yellow,0.775,1.0,0.6833333333333333,0.79,1,1
side,0.18666666666666665,0.41999999999999993,0.7333333333333333,0.49952380952380954,1,1
square,0.8999999999999998,1.0,0.8666666666666666,0.9133333333333333,1,1
cucumber,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,1.0,1.0,1.0,1.0,1,1
banana,0.8416666666666668,1.0,0.8166666666666668,0.8866666666666667,1,1
block,0.9166666666666666,1.0,0.9,0.9400000000000001,1,1
Folder Number:  6000
Accuracy:  0.8484848484848484
F1-Score:  0.8911688311688312
Precision:  0.9472727272727273
Recall:  0.8757575757575757
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9666666666666666,1.0,0.95,0.9666666666666666,1,1
cob,0.9166666666666666,1.0,0.8833333333333332,0.9266666666666665,1,1
corn,0.825,1.0,0.8,0.8733333333333334,1,1
yellow,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
side,0.21333333333333332,0.32499999999999996,0.8333333333333333,0.44761904761904764,1,1
square,0.8433333333333334,1.0,0.7833333333333333,0.8666666666666668,1,1
cucumber,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,0.9083333333333332,1.0,0.9,0.9400000000000001,1,1
banana,0.875,1.0,0.8333333333333333,0.8933333333333333,1,1
block,0.9,1.0,0.9,0.93,1,1
Folder Number:  6000
Accuracy:  0.849848484848485
F1-Score:  0.8882683982683982
Precision:  0.9386363636363636
Recall:  0.8878787878787879
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.95,1.0,0.9166666666666666,0.9466666666666667,1,1
cob,0.9333333333333332,1.0,0.9,0.9333333333333332,1,1
corn,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
yellow,0.8416666666666666,1.0,0.8333333333333334,0.89,1,1
side,0.26666666666666666,0.4583333333333333,0.7333333333333333,0.5519047619047619,1,1
square,1.0,1.0,1.0,1.0,1,1
cucumber,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,1
banana,0.8266666666666665,1.0,0.7833333333333333,0.8566666666666667,1,1
block,0.8416666666666666,1.0,0.8666666666666668,0.9099999999999999,1,1
Folder Number:  6000
Accuracy:  0.8645454545454545
F1-Score:  0.9068398268398269
Precision:  0.9507575757575757
Recall:  0.8954545454545454
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666667,1,1
cob,0.9133333333333333,1.0,0.9,0.9400000000000001,1,1
corn,0.8216666666666667,1.0,0.8333333333333333,0.89,1,1
yellow,0.6716666666666666,1.0,0.65,0.7666666666666666,1,1
side,0.06833333333333333,0.355,0.6833333333333333,0.4357142857142858,1,1
square,0.8,1.0,0.75,0.8300000000000001,1,1
cucumber,0.8333333333333333,1.0,0.85,0.8966666666666667,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,1
banana,0.7716666666666667,1.0,0.7,0.8033333333333333,1,1
block,0.85,1.0,0.8166666666666667,0.8800000000000001,1,1
Folder Number:  6000
Accuracy:  0.7799999999999998
F1-Score:  0.8468831168831169
Precision:  0.9413636363636364
Recall:  0.8166666666666665
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9083333333333332,1.0,0.9,0.9400000000000001,1,1
cob,0.8833333333333332,1.0,0.85,0.8999999999999998,1,1
corn,0.9416666666666667,1.0,0.9166666666666666,0.9466666666666667,1,1
yellow,0.8416666666666666,1.0,0.7833333333333333,0.86,1,1
side,0.14833333333333332,0.4183333333333333,0.65,0.4871428571428572,1,1
square,0.8416666666666668,1.0,0.8166666666666667,0.8866666666666667,1,1
cucumber,0.8416666666666668,1.0,0.8166666666666667,0.8866666666666667,1,1
green,0.95,1.0,0.9666666666666666,0.9800000000000001,2,0
ear,0.9216666666666666,1.0,0.8833333333333332,0.9266666666666667,1,1
banana,0.8016666666666665,1.0,0.7166666666666666,0.82,1,1
block,1.0,1.0,1.0,1.0,1,1
Folder Number:  6000
Accuracy:  0.8254545454545454
F1-Score:  0.8758008658008657
Precision:  0.9471212121212121
Recall:  0.8454545454545453
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9333333333333332,1.0,0.9,0.9333333333333332,1,1
cob,0.8916666666666668,1.0,0.8333333333333333,0.8933333333333333,1,1
corn,1.0,1.0,1.0,1.0,1,1
yellow,0.8566666666666667,1.0,0.7666666666666666,0.8533333333333333,1,1
side,0.14999999999999997,0.4333333333333333,0.6833333333333333,0.49333333333333335,1,1
square,0.9166666666666666,1.0,0.8833333333333332,0.9266666666666667,1,1
cucumber,0.9333333333333332,1.0,0.9333333333333332,0.96,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,0.8749999999999998,1.0,0.8666666666666666,0.9200000000000002,1,1
banana,0.8916666666666668,1.0,0.85,0.8966666666666667,1,1
block,0.8966666666666667,1.0,0.8666666666666666,0.9200000000000002,1,1
Folder Number:  6000
Accuracy:  0.8495454545454546
F1-Score:  0.8906060606060606
Precision:  0.9484848484848485
Recall:  0.8712121212121212
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9166666666666666,1.0,0.9,0.9400000000000001,1,1
cob,0.9216666666666666,1.0,0.8833333333333332,0.9266666666666665,1,1
corn,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
yellow,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
side,0.29833333333333334,0.33166666666666667,0.95,0.48047619047619056,1,1
square,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
cucumber,0.9166666666666666,1.0,0.9,0.9333333333333332,1,1
green,0.95,1.0,0.9666666666666666,0.9800000000000001,2,0
ear,0.8833333333333332,1.0,0.8333333333333333,0.8933333333333333,1,1
banana,0.7816666666666666,1.0,0.6333333333333333,0.76,1,1
