,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.7896531986531985,0.8512554112554114,-1.0,-1.0,0.8808417508417508,0.8904810004810005
banana,0.6427777777777777,0.7413869992441421,1.0,1.0,0.8082539682539683,0.7968253968253968
block,0.9325661375661374,0.9479894179894179,1.0,1.0,1.0,0.917989417989418
cob,0.7166931216931217,0.8012622826908542,1.0,1.0,0.8167460317460319,0.878835978835979
corn,0.7312433862433861,0.807955404383976,1.0,1.0,0.8135978835978835,0.9002645502645504
cube,0.9299206349206349,0.9467724867724867,1.0,1.0,1.0,0.9164021164021164
cucumber,0.9170899470899471,0.9379894179894182,1.0,1.0,1.0,0.9026455026455026
ear,0.7339682539682538,0.8185638699924411,1.0,1.0,0.8242063492063493,0.8944444444444444
green,0.9523809523809523,0.9661375661375663,0.6666666666666666,1.6666666666666667,1.0,0.946825396825397
side,0.2596428571428571,0.509812925170068,1.0,1.0,0.40075396825396825,0.8234126984126985
square,0.9135978835978834,0.9342328042328042,1.0,1.0,1.0,0.8957671957671958
yellow,0.7446031746031746,0.8140513983371124,1.0,1.6666666666666667,0.8259523809523809,0.902910052910053
