confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8400000000000001,0.7666666666666666,0.9166666666666666,0.7933333333333333,1,1
cob,0.8166666666666668,0.9333333333333332,0.85,0.8733333333333334,1,1
corn,0.6916666666666667,0.75,0.8666666666666666,0.7666666666666667,1,1
yellow,0.825,0.65,0.95,0.7333333333333333,1,1
side,0.7333333333333333,1.0,0.75,0.8266666666666665,1,1
square,0.7516666666666667,0.725,0.9333333333333332,0.799047619047619,1,1
cucumber,0.6799999999999999,0.6416666666666666,0.9166666666666666,0.7423809523809524,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,0.7066666666666668,0.7083333333333333,0.85,0.7323809523809525,1,1
banana,0.8416666666666666,1.0,0.8,0.8633333333333333,1,1
block,0.7133333333333333,0.6583333333333333,0.9166666666666666,0.7423809523809524,1,1
Folder Number:  6000
Accuracy:  0.7818181818181817
F1-Score:  0.8066233766233766
Precision:  0.8030303030303031
Recall:  0.8863636363636364
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
cob,0.975,1.0,0.9666666666666666,0.9800000000000001,1,1
corn,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
yellow,0.6816666666666666,0.7833333333333333,0.7333333333333333,0.7300000000000001,1,1
side,0.6666666666666666,1.0,0.6666666666666666,0.7666666666666666,1,1
square,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666665,1,1
cucumber,0.7416666666666667,0.675,0.9666666666666666,0.7790476190476191,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,0.9416666666666667,1.0,0.9333333333333332,0.96,1,1
banana,0.875,1.0,0.8833333333333332,0.9166666666666666,1,1
block,0.8583333333333332,1.0,0.85,0.9066666666666666,1,1
Folder Number:  6000
Accuracy:  0.8649999999999999
F1-Score:  0.8962770562770561
Precision:  0.9507575757575757
Recall:  0.8833333333333333
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,0.8383333333333333,0.8416666666666666,0.9333333333333332,0.8590476190476192,1,1
cob,0.7516666666666667,0.7833333333333333,0.85,0.7980952380952382,1,1
corn,0.8300000000000001,0.8833333333333332,0.85,0.8266666666666665,1,1
yellow,0.5983333333333334,0.65,0.75,0.6466666666666667,1,1
side,0.875,1.0,0.8666666666666666,0.9099999999999999,1,1
square,0.7666666666666666,0.8333333333333333,0.85,0.8300000000000001,1,1
cucumber,0.5766666666666667,0.6333333333333333,0.85,0.7147619047619047,1,1
green,1.0,1.0,1.0,1.0,2,0
ear,0.8516666666666666,0.875,0.9333333333333332,0.8923809523809524,1,1
banana,0.8883333333333333,1.0,0.8333333333333333,0.8933333333333333,1,1
block,0.7733333333333334,0.7,0.9,0.76,1,1
Folder Number:  6000
Accuracy:  0.7954545454545454
F1-Score:  0.83008658008658
Precision:  0.8363636363636363
Recall:  0.8742424242424243
confFiles/english_4_30_objects_lemm.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
cube,1.0,1.0,1.0,1.0,1,1
cob,0.735,0.75,0.8333333333333333,0.7633333333333333,1,1
corn,0.795,0.6083333333333333,1.0,0.7457142857142858,1,1
yellow,0.6866666666666666,0.7666666666666667,0.7666666666666667,0.7200000000000001,1,1
side,0.85,1.0,0.8,0.8733333333333334,1,1
square,0.9083333333333332,1.0,0.8833333333333332,0.9266666666666665,1,1
cucumber,0.7633333333333334,0.7083333333333334,1.0,0.8238095238095238,1,1
green,0.9,1.0,0.9333333333333332,0.96,2,0
ear,0.755,0.6833333333333333,0.9333333333333332,0.76,1,1
banana,0.7416666666666666,1.0,0.7999999999999999,0.86,1,1
block,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,1
Folder Number:  6000
Accuracy:  0.8243939393939393
F1-Score:  0.8526839826839826
Precision:  0.8651515151515152
Recall:  0.8969696969696969
