,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.7901955266955267,0.8353131313131313,-1.0,-1.0,0.849377344877345,0.8896584896584897
banana,0.8409259259259259,0.875925925925926,1.0,1.0,1.0,0.8113756613756613
block,0.8438888888888889,0.8650566893424035,1.0,1.0,0.876984126984127,0.9010582010582011
cob,0.8539417989417989,0.8799508692365834,1.0,1.0,0.9248941798941799,0.8838624338624339
corn,0.8532010582010584,0.8796787603930462,1.0,1.0,0.9175132275132275,0.8896825396825399
cube,0.8366666666666668,0.8630461073318215,1.0,1.0,0.8775132275132275,0.8976190476190476
cucumber,0.585,0.6974603174603174,1.0,1.0,0.5955291005291005,0.919047619047619
ear,0.8452645502645504,0.8771088435374149,1.0,1.0,0.9171957671957671,0.8873015873015873
green,0.5777248677248676,0.7074225245653816,0.6666666666666666,1.6666666666666667,0.6227248677248677,0.9494708994708995
side,0.8493253968253969,0.8867460317460317,1.0,1.0,1.0,0.8281746031746031
square,0.8376455026455025,0.8619576719576718,1.0,1.0,0.8660052910052911,0.9044973544973545
yellow,0.7821164021164021,0.8035449735449736,1.0,1.6666666666666667,0.7825925925925925,0.8933862433862434
