Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
wedge,triangle/triangle_3 (nan)      triangle/triangle_3 (nan)      eggplant/eggplant_3 (nan)      semicylinder/semicylinder_3 ( )      ,triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) triangle/triangle_3 (nan) ,triangle/triangle_3 (nan) triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,semicylinder/semicylinder_3 ( )      eggplant/eggplant_3 (nan)      plum/plum_3 (plum)      cabbage/cabbage_1 (nan)      triangle/triangle_3 (nan)      triangle/triangle_3 (nan)      ,triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) triangle/triangle_3 (nan) ,triangle/triangle_3 (nan) triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) ,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,triangle/triangle_3 (nan)      eggplant/eggplant_3 (nan)      triangle/triangle_3 (nan)      semicylinder/semicylinder_3 ( )      ,triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) triangle/triangle_3 (nan) ,triangle/triangle_3 (nan) triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,cabbage/cabbage_1 (nan)      semicylinder/semicylinder_3 ( )      eggplant/eggplant_3 (nan)      plum/plum_3 (plum)      triangle/triangle_3 (nan)      ,triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) triangle/triangle_3 (nan) ,triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) ,2.0,2.0,0.0,1.0,0.8,1.0,0.666666666667,0.8
wedge,cabbage/cabbage_1 (nan)      semicylinder/semicylinder_3 ( )      plum/plum_3 (plum)      triangle/triangle_3 (nan)      triangle/triangle_3 (nan)      eggplant/eggplant_3 (nan)      ,triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) triangle/triangle_3 (nan) ,triangle/triangle_3 (nan) triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) ,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,triangle/triangle_3 (nan)      triangle/triangle_3 (nan)      semicylinder/semicylinder_3 ( )      eggplant/eggplant_3 (nan)      ,triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) triangle/triangle_3 (nan) ,triangle/triangle_3 (nan) triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,semicylinder/semicylinder_3 ( )      eggplant/eggplant_3 (nan)      plum/plum_3 (plum)      triangle/triangle_3 (nan)      ,triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) triangle/triangle_3 (nan) ,semicylinder/semicylinder_3 ( ) triangle/triangle_3 (nan) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
wedge,triangle/triangle_3 (nan)      semicylinder/semicylinder_3 ( )      eggplant/eggplant_3 (nan)      triangle/triangle_3 (nan)      ,triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) triangle/triangle_3 (nan) ,triangle/triangle_3 (nan) triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
wedge,plum/plum_3 (plum)      cabbage/cabbage_1 (nan)      triangle/triangle_3 (nan)      triangle/triangle_3 (nan)      semicylinder/semicylinder_3 ( )      eggplant/eggplant_3 (nan)      ,triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) triangle/triangle_3 (nan) ,triangle/triangle_3 (nan) triangle/triangle_3 (nan) semicylinder/semicylinder_3 ( ) ,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
