Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
wedge,triangle/triangle_1 (nan)      triangle/triangle_1 (nan)      lime/lime_2 (nan)      eggplant/eggplant_2 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) lime/lime_2 (nan) ,2.0,0.0,1.0,1.0,0.5,0.666666666667,0.666666666667,0.666666666667
wedge,eggplant/eggplant_2 (nan)      triangle/triangle_1 (nan)      triangle/triangle_1 (nan)      lime/lime_2 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
wedge,triangle/triangle_1 (nan)      cucumber/cucumber_4 (nan)      eggplant/eggplant_2 (nan)      triangle/triangle_1 (nan)      triangle/triangle_1 (nan)      lime/lime_2 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,cucumber/cucumber_4 (nan) triangle/triangle_1 (nan) triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,3.0,2.0,1.0,0.0,0.833333333333,0.75,1.0,0.857142857143
wedge,triangle/triangle_1 (nan)      eggplant/eggplant_2 (nan)      triangle/triangle_1 (nan)      lime/lime_2 (nan)      cucumber/cucumber_4 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) cucumber/cucumber_4 (nan) ,2.0,1.0,1.0,1.0,0.6,0.666666666667,0.666666666667,0.666666666667
wedge,triangle/triangle_1 (nan)      eggplant/eggplant_2 (nan)      triangle/triangle_1 (nan)      cucumber/cucumber_4 (nan)      lime/lime_2 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) cucumber/cucumber_4 (nan) ,2.0,2.0,1.0,0.0,0.8,0.666666666667,1.0,0.8
wedge,triangle/triangle_1 (nan)      eggplant/eggplant_2 (nan)      triangle/triangle_1 (nan)      lime/lime_2 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
wedge,triangle/triangle_1 (nan)      lime/lime_2 (nan)      cucumber/cucumber_4 (nan)      eggplant/eggplant_2 (nan)      triangle/triangle_1 (nan)      triangle/triangle_1 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) cucumber/cucumber_4 (nan) triangle/triangle_1 (nan) ,3.0,2.0,1.0,0.0,0.833333333333,0.75,1.0,0.857142857143
wedge,eggplant/eggplant_2 (nan)      eggplant/eggplant_2 (nan)      triangle/triangle_1 (nan)      cucumber/cucumber_4 (nan)      lime/lime_2 (nan)      ,triangle/triangle_1 (nan) ,triangle/triangle_1 (nan) cucumber/cucumber_4 (nan) ,1.0,3.0,1.0,0.0,0.8,0.5,1.0,0.666666666667
wedge,triangle/triangle_1 (nan)      triangle/triangle_1 (nan)      lime/lime_2 (nan)      eggplant/eggplant_2 (nan)      cucumber/cucumber_4 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) cucumber/cucumber_4 (nan) ,2.0,2.0,1.0,0.0,0.8,0.666666666667,1.0,0.8
