Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
wedge,triangle/triangle_1 (nan)      banana/banana_4 (nan)      cucumber/cucumber_4 (nan)      triangle/triangle_1 (nan)      corn/corn_3 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,triangle/triangle_1 (nan) cucumber/cucumber_4 (nan) triangle/triangle_1 (nan) corn/corn_3 (nan) ,2.0,1.0,2.0,0.0,0.6,0.5,1.0,0.666666666667
wedge,corn/corn_3 (nan)      banana/banana_4 (nan)      triangle/triangle_1 (nan)      banana/banana_4 (nan)      cucumber/cucumber_4 (nan)      triangle/triangle_1 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,cucumber/cucumber_4 (nan) corn/corn_3 (nan) banana/banana_4 (nan) triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,2.0,1.0,3.0,0.0,0.5,0.4,1.0,0.571428571429
wedge,corn/corn_3 (nan)      triangle/triangle_1 (nan)      banana/banana_4 (nan)      cucumber/cucumber_4 (nan)      ,triangle/triangle_1 (nan) ,triangle/triangle_1 (nan) corn/corn_3 (nan) cucumber/cucumber_4 (nan) ,1.0,1.0,2.0,0.0,0.5,0.333333333333,1.0,0.5
wedge,banana/banana_4 (nan)      triangle/triangle_1 (nan)      triangle/triangle_1 (nan)      cucumber/cucumber_4 (nan)      corn/corn_3 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) cucumber/cucumber_4 (nan) corn/corn_3 (nan) ,2.0,1.0,2.0,0.0,0.6,0.5,1.0,0.666666666667
wedge,banana/banana_4 (nan)      triangle/triangle_1 (nan)      triangle/triangle_1 (nan)      corn/corn_3 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,corn/corn_3 (nan) triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,2.0,1.0,1.0,0.0,0.75,0.666666666667,1.0,0.8
wedge,corn/corn_3 (nan)      corn/corn_3 (nan)      banana/banana_4 (nan)      banana/banana_4 (nan)      cucumber/cucumber_4 (nan)      triangle/triangle_1 (nan)      ,triangle/triangle_1 (nan) ,cucumber/cucumber_4 (nan) corn/corn_3 (nan) triangle/triangle_1 (nan) corn/corn_3 (nan) banana/banana_4 (nan) ,1.0,1.0,4.0,0.0,0.333333333333,0.2,1.0,0.333333333333
wedge,banana/banana_4 (nan)      banana/banana_4 (nan)      triangle/triangle_1 (nan)      cucumber/cucumber_4 (nan)      corn/corn_3 (nan)      ,triangle/triangle_1 (nan) ,banana/banana_4 (nan) triangle/triangle_1 (nan) cucumber/cucumber_4 (nan) corn/corn_3 (nan) ,1.0,1.0,3.0,0.0,0.4,0.25,1.0,0.4
wedge,triangle/triangle_1 (nan)      triangle/triangle_1 (nan)      banana/banana_4 (nan)      corn/corn_3 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) banana/banana_4 (nan) corn/corn_3 (nan) ,2.0,-1.0,2.0,1.0,0.25,0.5,0.666666666667,0.571428571429
wedge,triangle/triangle_1 (nan)      banana/banana_4 (nan)      corn/corn_3 (nan)      cucumber/cucumber_4 (nan)      triangle/triangle_1 (nan)      banana/banana_4 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,triangle/triangle_1 (nan) cucumber/cucumber_4 (nan) banana/banana_4 (nan) corn/corn_3 (nan) triangle/triangle_1 (nan) ,2.0,1.0,3.0,0.0,0.5,0.4,1.0,0.571428571429
wedge,triangle/triangle_1 (nan)      triangle/triangle_1 (nan)      corn/corn_3 (nan)      banana/banana_4 (nan)      ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) triangle/triangle_1 (nan) ,triangle/triangle_1 (nan) triangle/triangle_1 (nan) corn/corn_3 (nan) banana/banana_4 (nan) ,2.0,-1.0,2.0,1.0,0.25,0.5,0.666666666667,0.571428571429
Total - wedge,,,,,,,,0.4683333333333334,0.425,0.9333333333333332,0.5652380952380952
 ,,,,,,,,,,,
cylinder,cabbage/cabbage_3 (nan)      corn/corn_3 (nan)      orange/orange_3 (nan)      eggplant/eggplant_2 (nan)      cylinder/cylinder_4 (nan)      eggplant/eggplant_2 (nan)      ,cylinder/cylinder_4 (nan) ,eggplant/eggplant_2 (nan) eggplant/eggplant_2 (nan) cylinder/cylinder_4 (nan) ,1.0,3.0,2.0,0.0,0.666666666667,0.333333333333,1.0,0.5
