Token,Type,2-corn/corn_2,2-corn/corn_3,2-corn/corn_1,0-cube/cube_2,0-cube/cube_3,0-cube/cube_1,4-cube/cube_2,4-cube/cube_3,3-banana/banana_4,3-corn/corn_3,3-corn/corn_2,3-corn/corn_1,0-corn/corn_1,0-corn/corn_2,0-corn/corn_3,3-cube/cube_1,3-cube/cube_3,3-cube/cube_2,2-cucumber/cucumber_2,2-cucumber/cucumber_3,0-banana/banana_4,2-cucumber/cucumber_1,0-banana/banana_3,0-banana/banana_1,1-banana/banana_3,1-banana/banana_1,1-banana/banana_4,0-cucumber/cucumber_1,0-cucumber/cucumber_2,0-cucumber/cucumber_3,1-corn/corn_1,1-corn/corn_3,1-corn/corn_2,5-corn/corn_2,3-cucumber/cucumber_3,3-cucumber/cucumber_2,3-cucumber/cucumber_1,2-banana/banana_1,5-cucumber/cucumber_3,2-banana/banana_4,4-cucumber/cucumber_1,4-cucumber/cucumber_3,4-corn/corn_2,4-corn/corn_3,1-cube/cube_3,1-cube/cube_2,1-cube/cube_1,2-cube/cube_1,2-cube/cube_2,2-cube/cube_3,1-cucumber/cucumber_1,1-cucumber/cucumber_3,1-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.0003048236941065754,0.0012776731200413957,0.014819837058025968,6.443608655282367e-05,8.427041863685424e-21,0.9999999999242002,9.301055416999613e-05,2.811565140167944e-18,0.9991028533782511,0.0014360610748588398,0.0003963468158458678,0.01765527223073473,0.014238162923812483,0.00022776235918292597,0.0005614004518414359,0.9999999999137312,1.0738880180030852e-19,0.0004244563179152756,0.04873275948603999,0.09604096244684182,0.9999932383693767,0.1953756857999016,0.9999430858890933,0.9989234425552819,0.9999986786732391,0.9994857228656252,0.9997638221257614,0.29370446449165566,0.03121090500397276,0.05719433575303143,0.016220004435631936,0.0010599192268855606,0.0003633016906209669,0.0006220536568311249,0.12853618261024322,0.19544877833334645,0.03501535545948734,0.9995651449530859,0.14242812653960402,0.9999999801630552,0.010861358133881787,0.12550399714761043,0.0006748108180264678,0.0014655338140886983,1.6767353857528833e-20,5.475258772741238e-05,0.9999999999274043,0.9999999999283227,8.588103567009712e-05,3.477610800850609e-20,0.16188686946878272,0.21520083739636023,0.07768916799603885
banana,shape,0.0003996295880433134,0.0012869848750961775,0.0015468190110828246,0.0002854170530019301,0.04096506583390565,0.00032023683777121894,0.00031024684039677905,1.0709992725171515e-05,0.9996174950750942,0.0009668615169666218,1.7308413944324863e-05,0.00010352392268918368,4.4626862712407896e-05,0.0001379225374075862,0.0002542827750629426,0.0010879315299130515,6.972727340408485e-05,8.084061239034376e-05,0.9479307731248973,0.01239762514679593,0.9996016913903487,0.00037634916764463293,0.9997622382439443,0.999904500546897,0.9999747611904195,0.9998609513995262,0.9993246825174544,0.015408470204329325,0.0010860914258397378,0.005670549547612144,0.001356234169792769,0.005650799645992122,0.00013792253740758665,0.000350244395685266,0.009629174500756739,3.183466303105993e-05,0.08932255026389908,0.9995546765399806,0.00947845967148585,0.9998961082430969,5.745842148041124e-05,0.02620057505598743,0.0007471809677713722,0.001342029317810814,0.006255990164874491,8.043331419001394e-05,0.0004136368491207593,3.302644166828972e-05,0.00010460241458968744,0.000656517260854599,0.0024634278574528863,0.495301896892005,0.27821343340722166
banana,object,0.00021735062154373648,0.0007396903089016489,0.0018920129750139914,0.00018250169983442753,2.0838848950997365e-11,0.9990168596835607,0.00014699334696924657,4.370303946840283e-12,0.9997360423766325,0.0007978693971920115,2.83854406016009e-05,0.0014184294772424664,0.0002603450895862051,7.499101637369946e-05,0.00013644281992536048,0.9990493944958694,2.1090085362749367e-12,0.00010168444266820734,0.4077294847242487,0.014942424798575731,0.9998191708468107,0.012268907769125812,0.9998442510972939,0.9999402193472339,0.9999935582662253,0.9999221191984561,0.9996135077382665,0.044863595986007435,0.006889442237145734,0.011530329642407898,0.002292463333677624,0.0013141923534925868,9.401894042193323e-05,0.0001842568707518414,0.0362691779731087,0.0042749391421271245,0.025569726587434494,0.9997507290899134,0.05424368530865423,0.9999964247945651,0.0015988316210665042,0.01576732034681544,0.00038086245087581193,0.0017861949713572558,1.051540004686618e-11,4.46061949204834e-05,0.9990479192213997,0.9942726724415103,5.216878217897856e-05,3.1265944666643177e-12,0.00914114144286557,0.25461354771363304,0.05628372987317883
block,rgb,0.0002511092991507629,0.00021012320603097144,0.00020225109953956753,0.999743894241622,0.9999999975800162,0.9978176672115204,0.9923144789130017,0.9999959633201748,0.005370481102706687,0.00020955149594251127,0.00024869333854737327,0.00020541079490401368,0.0002130180372902052,0.00025480825171716163,0.000224272676299389,0.9967096824201368,0.9999999347745685,0.9974128408868309,0.09932537335587371,0.19777357084651948,0.5438165178549221,0.1567108959886662,0.003057818677104445,0.0010944835259233667,0.023118905990554627,0.001454316804258449,0.038702899669597154,0.3454256780489178,0.1258940020180987,0.1640542857776743,0.00021500199009248978,0.00022095178388040467,0.0002617437251001604,0.0002340299195076427,0.17712542304976767,0.18113958987382411,0.05175368969476908,0.0013208698409878244,0.10096806684476034,0.9694452183382944,0.02630533023485542,0.15098344453192875,0.0002450123867676214,0.00021003926787448437,0.9999999948203488,0.9993846892287607,0.9976685790848859,0.9976906753480737,0.9992628829649317,0.9999999873539885,0.21447587774190438,0.3150052947820622,0.13957708578752312
block,shape,2.76463124840004e-06,3.5918580536080705e-05,0.00014308195321201215,0.9999966354757293,0.9998467643147693,0.9999926301079232,0.9997183306043407,0.999974474160991,0.1589613836073492,0.0005269658019132015,8.030865408366162e-06,0.0012101102794403954,1.5570186175454842e-05,5.21280941471204e-06,7.722344429947613e-07,0.9998480377240289,0.9998149878080083,0.9998970502619702,0.02817309955461801,9.174186934748018e-06,8.516177451296519e-05,0.6233008706840429,3.6156436679035337e-06,0.9501607168683974,0.0002455497915485878,0.6495021709342201,3.615576446747296e-05,0.002287294929172405,0.03475224560164586,8.231507376705343e-06,7.381549883759934e-05,3.5106432982551374e-06,5.212809414712078e-06,1.0042245963693257e-05,0.01573661025290277,0.9999237149440137,0.00012751330655798505,0.9984277379272222,0.9989256190439555,0.31757993474389634,0.999988840772396,5.497312798456698e-07,2.4219156948536995e-06,0.8745299532094217,0.9999825971196701,0.999963384949065,0.9999977665677593,0.9998310093647352,0.9999002733910994,0.9998359302565722,6.0763861248330744e-05,0.0006530824927586039,4.3790202879222575e-07
block,object,1.8324594370606784e-06,3.1542851921304386e-05,0.00011421327600073678,0.9999942139295439,0.9998840781418574,0.9999879151979595,0.999749918807158,0.9999738874951015,0.017587071980628824,0.00045767524534655237,4.962125454589084e-06,0.0010479032444200105,1.4682202727160201e-05,3.1259655718594673e-06,8.460477817248641e-07,0.9998597682836915,0.9999050058149728,0.9998933557744518,0.027029004764370847,1.63297482655175e-05,7.221930783473818e-05,0.3546443535325984,2.6654420464083476e-06,0.613473798612267,0.0001947297325634642,0.18679944985230693,4.1726861423281305e-05,0.0016553602452944768,0.013455950203361176,1.1985247455491952e-05,6.0167679732801914e-05,4.630385786116511e-06,3.165068567059842e-06,8.919962392455308e-06,0.009255580165609187,0.9994659023283465,0.00020516445576622386,0.9714045402119178,0.9932254820578956,0.21201833586231156,0.9998427169364196,2.4194059826782303e-06,3.3937168662190078e-06,0.607761391979395,0.9999889287402057,0.9999614047631217,0.9999956066451201,0.9998567515067919,0.9999074967368717,0.9999078785955613,7.93718358657892e-05,0.0005663517401906115,1.574991305677728e-06
cob,rgb,0.9999495594442349,0.9999223947520836,0.9997620190724477,2.6974657876407196e-05,0.9999998428522763,7.29894511856814e-05,0.00046833195837281313,0.9999995315724011,0.6589868730014455,0.9999175561135615,0.9999413677525179,0.9997341751769204,0.999733900169027,0.9999571471206882,0.9999442215148697,0.00011038456129512402,0.9999996341997387,9.664840255363494e-05,0.08372039893733163,0.027844111450384647,0.0020288102042110728,0.031660330024619716,0.8963425653457406,0.9714443840099157,0.4328373148811047,0.9564005892913252,0.09438911869322737,0.008578776628400075,0.06999822037291609,0.04164893981511478,0.9997127001914871,0.9999205990768691,0.9999366175426713,0.9999332697102726,0.03001902371332797,0.025905499260307777,0.19604469571107563,0.9649002375207305,0.06168214984987987,0.00017012864387991891,0.4721877283210207,0.037617390714147075,0.9999207936943056,0.9999160757326332,0.9999997052772416,6.054136077879984e-05,8.046805526301002e-05,8.008845001562722e-05,5.9085159208300644e-05,0.9999995718706668,0.02145991065516299,0.010972213951435784,0.04760404216190249
cob,shape,0.9999721657559464,0.9999905210281123,0.9999050156042248,3.6384667859286205e-06,0.006633526066480536,2.5094287328920914e-06,0.00037323250800054314,0.00021316536245259555,0.9990255727215152,0.9999699131090537,0.9999771664422111,0.9992058487963047,0.9999251009662319,0.9999533564278351,0.9999991101020304,9.70962258561553e-05,0.002849085892089938,0.0001350787590515707,0.7264522451052946,0.999785148292931,0.9999953355765759,0.2132556697593347,0.9999954224173067,0.0006824902169814669,0.07185794806416346,0.9075282773983371,0.9963882316257122,0.9807359159738344,0.9913610287714103,0.9997045794397342,0.9999446904044538,0.9999996548166451,0.9999533564278351,0.9999961322379272,0.9273219057066119,0.0010575534136352757,0.9995943208756944,0.0015996425825939066,0.0001627309556399145,0.0016039533171419297,2.610582257957708e-05,0.9999973978778256,0.9999993340567382,0.9993649572782659,6.434481339262376e-05,4.957556234430862e-05,2.089502869575512e-06,9.445812522403457e-05,0.00013821214938766654,0.0003438950518339044,0.999547964167195,0.9676252962159164,0.9999979312372899
cob,object,0.9999768654782127,0.9999906193484057,0.9999515143809354,3.5770788226678665e-06,0.9803780001472677,7.823756680033911e-06,0.00020969996571021534,0.8465978693356953,0.9903556246937835,0.999976570361043,0.9999789471503643,0.9995586330548611,0.9999344298548476,0.9999687930434669,0.9999969538964635,7.412066135237396e-05,0.9583381790299813,6.624855534144757e-05,0.36715686503093065,0.9490298891258659,0.9867525996624963,0.09546627308353858,0.9997651304660831,0.16772633656568242,0.3308474250962818,0.9395211559009721,0.9000294894726831,0.5430837708016958,0.8297151811246292,0.949752404736352,0.9999580789904904,0.9999981803450075,0.9999623755460602,0.9999949165460106,0.5030803762617206,0.0032189803980046164,0.9802324799699145,0.18536259661187535,0.0019528459056082376,0.001014056867665708,0.0024496696638155024,0.9968809752558172,0.999996912319549,0.9996989545472548,0.7382600600234323,2.3669008469079096e-05,7.341594669169179e-06,6.730111202377535e-05,5.2355514082557376e-05,0.878934182658689,0.924973592496044,0.4899346673524532,0.9973861120275385
