Token,Type,0-banana/banana_3,1-banana/banana_3,0-corn/corn_1,1-corn/corn_1,2-corn/corn_1,3-corn/corn_1,0-cube/cube_3,1-cube/cube_3,2-cube/cube_3,3-cube/cube_3,4-cube/cube_3,0-cucumber/cucumber_4,1-cucumber/cucumber_4,2-cucumber/cucumber_4,3-cucumber/cucumber_4,4-cucumber/cucumber_4
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.9999430858890933,0.9999986786732391,0.014238162923812483,0.016220004435631936,0.014819837058025968,0.01765527223073473,8.427041863685424e-21,1.6767353857528833e-20,3.477610800850609e-20,1.0738880180030852e-19,2.811565140167944e-18,0.033827953855948646,0.024774227160479372,0.025010954314057615,0.024431599696144668,0.02104736050794849
banana,shape,0.9997622382439443,0.9999747611904195,4.4626862712407896e-05,0.001356234169792769,0.0015468190110828246,0.00010352392268918368,0.04096506583390565,0.006255990164874491,0.000656517260854599,6.972727340408485e-05,1.0709992725171515e-05,0.005520726581978651,0.00010023552196424105,0.591743930981645,0.0003114214136434086,0.7374510625815781
banana,object,0.9998442510972939,0.9999935582662253,0.0002603450895862051,0.002292463333677624,0.0018920129750139914,0.0014184294772424664,2.0838848950997365e-11,1.051540004686618e-11,3.1265944666643177e-12,2.1090085362749367e-12,4.370303946840283e-12,0.010077037446759102,0.0005530669734068448,0.07749082359510039,0.0022170540002004243,0.12861264656660332
block,rgb,0.007163640577393133,0.05506239012949404,0.00034016071017572893,0.0003450931604997433,0.0003233723189095094,0.00033070232214933324,0.9999999679745278,0.9999999368114523,0.9999998580999158,0.9999993542784607,0.9999716694241773,0.11474215171520129,0.08465876110234619,0.0748321286562304,0.07316686199796893,0.04267065940178208
block,shape,0.00018820405138035985,0.0024666814913609316,5.6340683735000014e-05,0.002523350785489981,0.002069423022524536,0.9996938778431188,0.9999630243163137,0.9999965293553402,0.9999871289483464,0.9999765604181646,0.999981374366907,0.003725576672544522,6.808003170249334e-06,4.5619425855999124e-05,0.004884488781047084,0.022268950194535727
block,object,0.00015871431383346959,0.002234048679624699,5.3778173733316056e-05,0.0021027352805592257,0.0018059932542862293,0.9994160694694134,0.9999638944015216,0.9999963865121697,0.9999874245402862,0.9999777226325879,0.9999793508973989,0.0034668765201381177,9.807722295650477e-06,6.135102428861573e-05,0.0047726969283779005,0.024873735310124313
cob,rgb,0.0011104050443174857,1.1807507306054889e-05,0.999062928016016,0.9989096931421027,0.9991526206936909,0.9989526090334432,1.0,0.9999999999999998,0.9999999999999996,0.9999999999999993,0.9999999999999947,0.010327988168084857,0.021091468414721294,0.02521708812240902,0.026573131762669615,0.06622822188676368
cob,shape,0.0035972523858222834,5.318129480881795e-06,0.9999584676266988,0.9998578482548216,0.9998477365596762,0.999137958342717,0.0008245706918168305,9.679831799777818e-05,0.0005168768474997647,0.005913569634828582,0.00036472825031305857,0.9996832249209523,0.9999717117003808,0.08505548510872597,0.9999616842316449,0.04670799161621451
cob,object,0.0029264124125560633,1.7718023373767286e-05,0.9999665192647903,0.9998974770211749,0.9999244024209782,0.9995242289827173,0.9972776131000857,0.9941685025104426,0.9976126766698084,0.9992891599624061,0.9958518602189951,0.9743289331394435,0.9857165651118434,0.012895340736777488,0.9944437304277844,0.02785473312093465
