,banana/banana_3,corn/corn_1,cube/cube_3,cucumber/cucumber_4
,87.0,87.0,85.0,90.0
3d,0.0,0.0,1.0,0.0
appears,1.0,0.0,1.0,3.0
aubergine,0.0,0.0,0.0,1.0
baby,0.0,1.0,0.0,0.0
background,1.0,0.0,1.0,0.0
banana,89.0,0.0,0.0,0.0
bananna,4.0,0.0,0.0,0.0
black,1.0,0.0,1.0,0.0
block,0.0,0.0,18.0,0.0
blue,0.0,0.0,76.0,0.0
box,0.0,0.0,1.0,0.0
bright,0.0,0.0,1.0,0.0
brightly,0.0,0.0,1.0,0.0
brown,0.0,2.0,0.0,0.0
building,0.0,0.0,2.0,0.0
carbohydrate,0.0,1.0,0.0,0.0
chair,0.0,0.0,1.0,0.0
child,0.0,0.0,3.0,0.0
close,1.0,0.0,0.0,0.0
cob,0.0,19.0,0.0,0.0
cobb,0.0,1.0,0.0,0.0
color,5.0,6.0,8.0,7.0
colored,0.0,0.0,4.0,0.0
colour,0.0,0.0,1.0,0.0
coloured,0.0,0.0,1.0,0.0
common,0.0,0.0,0.0,1.0
consumption,1.0,0.0,0.0,0.0
corn,0.0,86.0,0.0,0.0
courgette,0.0,0.0,0.0,1.0
cube,0.0,0.0,50.0,0.0
cubeshaped,0.0,0.0,1.0,0.0
cubic,0.0,0.0,1.0,0.0
cuboid,0.0,0.0,1.0,0.0
cucumber,0.0,0.0,0.0,84.0
cucumebr,0.0,0.0,0.0,1.0
cylindrical,0.0,0.0,0.0,1.0
dark,0.0,0.0,0.0,1.0
dehusked,0.0,1.0,0.0,0.0
delicious,0.0,1.0,0.0,0.0
die,0.0,0.0,1.0,0.0
different,1.0,0.0,0.0,0.0
ear,0.0,29.0,0.0,0.0
eat,0.0,1.0,0.0,0.0
eaten,0.0,1.0,0.0,0.0
either,0.0,0.0,0.0,1.0
end,0.0,1.0,0.0,0.0
energy,0.0,1.0,0.0,0.0
face,0.0,0.0,1.0,0.0
favorite,0.0,0.0,0.0,1.0
floating,0.0,0.0,1.0,0.0
food,0.0,0.0,0.0,1.0
fresh,0.0,2.0,0.0,2.0
frozen,1.0,0.0,0.0,0.0
fruit,2.0,0.0,0.0,1.0
good,0.0,2.0,0.0,0.0
green,4.0,0.0,0.0,32.0
greyish,0.0,0.0,0.0,1.0
grows,0.0,0.0,0.0,1.0
house,0.0,0.0,1.0,0.0
husk,0.0,5.0,0.0,0.0
husked,0.0,1.0,0.0,0.0
ice,0.0,0.0,1.0,0.0
image,0.0,1.0,1.0,1.0
isa,0.0,1.0,0.0,0.0
kernel,0.0,2.0,0.0,0.0
kid,0.0,0.0,1.0,0.0
large,0.0,0.0,0.0,1.0
laying,6.0,2.0,1.0,5.0
left,1.0,0.0,0.0,0.0
light,0.0,4.0,1.0,0.0
like,0.0,0.0,2.0,2.0
long,0.0,2.0,0.0,2.0
longer,0.0,0.0,0.0,1.0
look,0.0,3.0,2.0,3.0
lying,3.0,5.0,0.0,3.0
maize,0.0,3.0,0.0,0.0
many,0.0,1.0,0.0,1.0
medium,1.0,0.0,0.0,1.0
mostly,1.0,0.0,0.0,0.0
narrow,0.0,1.0,0.0,0.0
object,1.0,3.0,8.0,5.0
oblong,0.0,0.0,0.0,1.0
old,0.0,1.0,0.0,0.0
one,0.0,0.0,0.0,1.0
painted,0.0,0.0,1.0,0.0
pale,0.0,3.0,0.0,0.0
peeled,0.0,1.0,0.0,0.0
picture,3.0,5.0,5.0,5.0
piece,0.0,3.0,0.0,0.0
play,0.0,0.0,1.0,0.0
poly,0.0,0.0,1.0,0.0
position,1.0,0.0,0.0,0.0
prism,0.0,0.0,1.0,0.0
ready,1.0,0.0,0.0,0.0
rectangle,0.0,0.0,1.0,0.0
rectangleshape,0.0,0.0,2.0,0.0
rectangular,0.0,0.0,5.0,0.0
removed,0.0,4.0,0.0,0.0
rich,0.0,1.0,0.0,0.0
ripe,9.0,0.0,0.0,0.0
rough,0.0,1.0,0.0,1.0
shape,0.0,0.0,7.0,0.0
shaped,0.0,0.0,7.0,0.0
shiny,0.0,0.0,1.0,0.0
shot,1.0,0.0,0.0,0.0
shucked,0.0,1.0,0.0,0.0
side,8.0,6.0,1.0,8.0
size,0.0,0.0,1.0,0.0
sized,1.0,0.0,0.0,0.0
skin,0.0,0.0,0.0,1.0
slightly,0.0,0.0,1.0,0.0
small,0.0,0.0,1.0,0.0
solid,0.0,0.0,2.0,0.0
source,0.0,1.0,0.0,0.0
square,0.0,0.0,19.0,0.0
still,0.0,1.0,0.0,0.0
surface,0.0,1.0,0.0,0.0
sweet,0.0,3.0,0.0,0.0
sweetcorn,0.0,2.0,0.0,0.0
toy,0.0,0.0,5.0,0.0
unable,0.0,0.0,1.0,0.0
unripe,1.0,0.0,0.0,0.0
vegetable,0.0,0.0,0.0,6.0
verify,0.0,0.0,1.0,0.0
vine,0.0,0.0,0.0,1.0
white,0.0,8.0,0.0,0.0
wide,0.0,0.0,0.0,1.0
without,0.0,1.0,0.0,0.0
wooden,0.0,0.0,2.0,0.0
yello,1.0,0.0,0.0,0.0
yellow,35.0,19.0,0.0,0.0
zucchini,0.0,0.0,0.0,2.0
