Token,Type,2-corn/corn_3,2-corn/corn_1,2-corn/corn_4,1-corn/corn_4,0-cube/cube_2,0-cube/cube_3,0-cube/cube_1,4-cube/cube_2,4-cube/cube_3,3-banana/banana_4,3-corn/corn_4,3-corn/corn_3,3-corn/corn_1,1-corn/corn_1,0-corn/corn_1,0-corn/corn_3,0-corn/corn_4,3-cube/cube_1,3-cube/cube_3,3-cube/cube_2,2-cucumber/cucumber_2,0-banana/banana_4,2-cucumber/cucumber_1,0-banana/banana_3,2-cucumber/cucumber_4,0-banana/banana_1,1-banana/banana_3,1-banana/banana_1,1-banana/banana_4,0-cucumber/cucumber_1,0-cucumber/cucumber_2,0-cucumber/cucumber_4,1-corn/corn_3,3-cucumber/cucumber_4,3-cucumber/cucumber_2,3-cucumber/cucumber_1,4-cucumber/cucumber_4,2-banana/banana_1,2-banana/banana_4,4-cucumber/cucumber_1,4-corn/corn_4,4-corn/corn_3,1-cube/cube_3,1-cube/cube_2,1-cube/cube_1,2-cube/cube_1,2-cube/cube_2,2-cube/cube_3,1-cucumber/cucumber_4,1-cucumber/cucumber_1,1-cucumber/cucumber_2
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
banana,rgb,0.999991152873596,0.9999909963007485,0.9999909274656479,0.9999906848543497,0.9999999124640616,1.154115513582381e-06,0.01869978047642157,0.9999999654823039,0.008711039027836544,0.9999502607970785,0.9999911288603512,0.9999912477413626,0.9999911104692311,0.9999919365929792,0.9999918960387907,0.9999910452858574,0.9999903691348777,0.02127944286703736,0.00010361061612369905,0.9999999451244771,0.9999999163678849,0.9996830729630489,0.999999876208653,0.9989040602880919,0.9999999168646205,0.999781164230755,0.9900088421070664,0.9997011373585734,0.9999572624231688,0.999999865823916,0.9999999299249918,0.9999999204226805,0.999991840990406,0.9999999167763332,0.9999998792342538,0.9999999095716008,0.9999999030303187,0.9996034186041628,0.9334668020530682,0.9999999134674721,0.9999899668922664,0.999991316177643,5.6119066898180005e-06,0.9999999356378818,0.017539423042958198,0.017258824326323776,0.9999999361369237,2.2643870891429203e-05,0.999999920197486,0.9999998911873181,0.9999999100630707
banana,shape,0.9993872158114232,0.9997760370414288,0.9999287075054332,0.9999410748272821,3.0399912603350367e-05,0.0002972045154737091,3.481621978052655e-05,0.160428833940247,2.7550178165559687e-05,0.9998714244734914,0.9998704425924082,0.9987720992739613,0.0008517801391826408,0.9994596569335205,0.9998048359022552,0.9998567636336548,0.9998837415741183,0.00017385635389028831,0.00025671822814563256,0.00014122950940378018,0.998710392214442,0.999948251953523,0.7445024085535487,0.9999457685976046,0.9999367541063475,0.9998715053337762,0.9999938978574964,0.9996320851356362,0.999974634660198,0.999644352531705,0.9923535069940235,0.9995463868537702,0.9997566021220534,0.9989162080579964,0.00024471051916140227,0.9999374520887794,0.9998420346215451,0.9996336402789743,0.9999767956878676,6.985877665546225e-05,0.9998542165026035,0.3860507625452117,9.845628115470917e-05,8.332348036984961e-06,3.70870116792999e-05,4.110883912093112e-05,0.00014144708499751757,8.414249527687982e-05,0.9999187231440727,0.9998642006375417,0.999918250408089
banana,object,0.9991257499481101,0.9997403571183412,0.9999256185794277,0.9999389726173148,1.983409026546068e-05,0.00012239058584783197,0.00010379481352759355,0.05273366307549447,1.1275779154716516e-05,0.9999265076612982,0.9998239787224138,0.997982015242681,0.009962807916191965,0.9991307875133402,0.9997268836382752,0.9998170810579126,0.9998788589724161,0.0002893863813854195,8.305988372842812e-05,6.108410716942688e-05,0.9813064755646287,0.9999564481093761,0.7243492694692246,0.999968235757652,0.9998182612806317,0.9999057537744962,0.9999932013521811,0.9997375779663396,0.9999686115297048,0.998735535325118,0.9764188347734649,0.9987287305170364,0.9995844606584187,0.9956337338515644,0.0028920569228209855,0.9997726384689617,0.9991049642091927,0.9997320163313995,0.9999602288538559,0.0012686164828482737,0.9998443071632993,0.7775748681279601,8.918963423385825e-06,5.031221332168785e-06,9.513342028235392e-05,9.670852497276015e-05,6.327465119820455e-05,8.662726367979644e-06,0.9997678755898349,0.999468082126959,0.9997268412690048
corn,rgb,0.9997155745491796,0.9995886393973684,0.999730865889282,0.9997450364499016,1.146858398359818e-11,5.099414958661333e-05,0.0003573997143849944,1.752878859678086e-09,0.001438122045174842,0.8332314600531651,0.9997174418331707,0.9997077480759908,0.9995577915807359,0.9994817537254381,0.9995047940624693,0.9997290095210483,0.9997607945647305,0.0006645190718260223,0.00013557397211441877,3.0299938042009765e-10,0.00032278561327744876,0.00091679574980196,0.00014149126066195325,0.9938646468724469,0.001283468986677246,0.9972146829012349,0.950111429174363,0.9961098124366053,0.08966213100983579,2.2094503721989493e-05,0.00018526197004159204,0.000506087932180432,0.9996753542345971,0.0013461953174863247,0.00010166893113822705,0.0012770650965280065,0.004443411678566628,0.9974208478856594,0.0001836243941267519,0.005232360921702386,0.9997733713992111,0.9997032070848606,3.7135349888636655e-05,4.10487409630771e-11,0.00042429992267878456,0.0004229187183267595,5.15412873673636e-11,4.0516070663895304e-05,0.0009698796915178345,6.621241843019453e-05,0.00016030375151697375
corn,shape,0.9999940862112193,0.9999199508322738,0.999999466712735,0.999999814282117,1.2425801866117684e-06,9.227772007233456e-05,2.017185463248321e-06,0.09387076905800104,3.854527577547283e-05,0.9976045911620749,0.9999877249617087,0.9999742759359957,0.9989709873402447,0.9999766631693909,0.9999558539357547,0.9999987139298976,0.9999305892301928,8.748694507363152e-05,0.0003200113499452014,0.00034597729032664117,0.8316251672108497,0.9999943815011835,0.579646515444493,0.9999921608277476,0.9995285746382923,0.015863866293861172,0.09749265271516687,0.9060987188017411,0.998520351466567,0.9924884672113796,0.9943708181210821,0.9963184396885789,0.9999994263838972,0.9985077574738349,0.00022042990819341312,0.9989906694840127,0.9821571941066868,0.00026291015895160447,0.0016363199813220052,1.3272189099147205e-05,0.9999998076559332,0.9995626737208229,2.205532540366757e-05,1.6007733240604977e-05,7.960620189025299e-07,0.0001547935852573218,0.0001797556726870234,0.00013642939620609425,0.9999972850389467,0.9996660469277746,0.9999970442628664
corn,object,0.999993527543124,0.9999649114257086,0.9999993364394903,0.9999997364462667,3.048633293864555e-07,5.378331992452375e-05,1.3741399035640115e-05,0.006976523669352482,3.6290066450510716e-05,0.9998591147286588,0.9999898822604878,0.9999642536340282,0.9992213864163908,0.9999782956411412,0.9999601413026824,0.9999980904880965,0.9999448303950839,0.0001376695229873346,0.00020068907939618276,2.703700808044406e-05,0.44026449806100687,0.9999790416894077,0.4345002878152406,0.9999960326994316,0.9986987713131319,0.41613145500433363,0.9022462908492311,0.9809126020720683,0.9983847399835184,0.9575737291218376,0.9661780048919918,0.9847106989589935,0.9999987197406418,0.9919906045659742,0.0014986415628447313,0.9970477711124824,0.9529038466739174,0.07576632047545402,0.052579542512530955,0.000270921056831696,0.999999591490173,0.999707543436638,5.443987708936368e-06,2.092087068818647e-06,5.736505926922703e-06,0.00018881942525249433,1.5706044173030253e-05,3.219284231767788e-05,0.999954462423279,0.9963879515997061,0.9999586000385281
cube,rgb,0.00024177295503292174,0.0002730609660118227,0.0002391946254927966,0.00023692426604933112,0.9996971819341702,0.9999999072959426,0.9994480469459995,0.9918225287926081,0.9999282649076936,0.013422291148386946,0.00024147825327311228,0.00024304339940849914,0.0002805897266064483,0.0002927310757161246,0.0002875479776516907,0.00024430320097683063,0.00023465253307840126,0.9991688071743516,0.9999982482996377,0.9974251356860838,0.14470569071507144,0.7818739853107588,0.23610579019834915,0.008399491541643279,0.07401370868959564,0.002663304555854066,0.07017719637611892,0.0036586839595192356,0.0972826224507347,0.47150941097749977,0.17675784995710614,0.11512399508037383,0.0002516033557609199,0.07229921355629787,0.26859391037330627,0.07627241689233719,0.04155742509796919,0.0033355644474117956,0.9911466152328273,0.03687388144180871,0.00022802778877036278,0.00024398140314051744,0.9999998214214153,0.9992814986393802,0.999411331772171,0.9994170198759161,0.999166550863148,0.999999607184102,0.08392859267600698,0.30871110008827013,0.20314812843457275
cube,shape,2.6769968358229077e-05,6.531792109641358e-05,3.842229415288893e-06,2.503281027796966e-06,0.9999918216011563,0.999559772328175,0.9999669761308024,0.9995663146885055,0.9999920206948684,0.02406498798646734,6.458544055668273e-06,0.00031913778428577607,0.0006358766986840871,5.054416994186498e-05,2.946154964576972e-05,3.367509037429521e-06,2.1533878183473984e-05,0.9996801113244691,0.9997306941066925,0.9998408432022478,0.0002637735076703245,0.00010999971600043987,0.15913483356949798,4.500353002296014e-05,0.000516050702100451,0.00015349172080506815,0.00028184275871000485,0.00011350893633559138,1.2710192166374447e-05,5.48471223937805e-05,0.001198709020093905,2.5833097177030933e-05,1.0187868754439361e-05,9.142054782467332e-05,0.9999736269067071,0.0002822450740561731,0.0009770721094685155,0.00028773946427725517,0.03425927257581819,0.9999969996299939,1.12038982576871e-06,0.5434881390196429,0.9999230532816941,0.9999763990152709,0.9999883245041162,0.9998503387610244,0.9998227812232119,0.9997756252100257,5.907349148516171e-06,9.471611848260775e-06,4.401085892910553e-05
cube,object,1.4808232073705928e-05,3.567250469725913e-05,6.895827861573772e-07,4.2729510039467467e-07,0.9999855794563196,0.9997865490633794,0.9999500310524031,0.9996678866082886,0.9999920827063031,0.0006310101343954734,2.026528413196076e-06,0.00022426701095602507,0.0005029317239077323,2.7458811273667464e-05,1.2116365780496148e-05,1.1474324018486856e-06,3.6403010387085882e-06,0.9997542884115368,0.9999356973117928,0.9998579566501019,0.0006999611449898722,3.699759845358045e-05,0.04554526499872456,4.803619202459455e-06,0.00013786499533716083,0.00010361570375093375,5.913696802363367e-05,8.00423249449713e-05,7.698132228601534e-06,5.536623429160258e-05,0.0005123960561941543,1.9801608983008558e-05,6.443721101422701e-06,6.105317321594358e-05,0.9991412690763256,0.0001801733439768394,0.0010613376692142074,0.0001813115999178647,0.01169613429283435,0.9997588101766544,8.779614353053977e-07,0.15690889419818005,0.9999840292597719,0.9999716056092799,0.999977988879066,0.9998738821373421,0.9998628845157854,0.9999395845838677,3.515416997083719e-06,1.0547882290816362e-05,2.4990189366908388e-05
