,banana/banana_2,corn/corn_3,cube/cube_1,cucumber/cucumber_2
2,0.0,0.0,1.0,0.0
a,27.0,10.0,27.0,16.0
again,3.0,2.0,0.0,1.0
agassi,0.0,1.0,0.0,0.0
all,0.0,1.0,0.0,0.0
almost,0.0,0.0,1.0,0.0
already,1.0,0.0,0.0,0.0
also,0.0,0.0,0.0,1.0
american,0.0,1.0,0.0,0.0
and,9.0,11.0,7.0,13.0
anna,1.0,0.0,0.0,0.0
another,2.0,0.0,0.0,0.0
answered,1.0,0.0,0.0,0.0
ants,0.0,0.0,0.0,1.0
anything,0.0,0.0,1.0,0.0
appealing,0.0,0.0,1.0,1.0
are,4.0,2.0,1.0,0.0
arlo,0.0,0.0,1.0,0.0
as,0.0,4.0,1.0,3.0
assuming,0.0,1.0,0.0,0.0
at,1.0,0.0,0.0,0.0
b,1.0,0.0,0.0,0.0
background,0.0,1.0,0.0,0.0
bad,1.0,0.0,1.0,0.0
banana,27.0,0.0,0.0,0.0
bananas,2.0,0.0,0.0,0.0
bark,1.0,0.0,0.0,0.0
be,0.0,4.0,4.0,2.0
beal,1.0,0.0,0.0,0.0
been,1.0,0.0,0.0,0.0
before,0.0,0.0,0.0,1.0
berry,1.0,0.0,0.0,0.0
best,0.0,0.0,0.0,1.0
better,0.0,0.0,2.0,0.0
big,1.0,0.0,0.0,0.0
bird,0.0,0.0,0.0,1.0
bit,1.0,0.0,0.0,0.0
black,1.0,0.0,1.0,0.0
block,0.0,0.0,7.0,0.0
blocked,0.0,1.0,0.0,0.0
bomber,0.0,0.0,0.0,1.0
boomerang,1.0,0.0,0.0,0.0
box,0.0,0.0,1.0,0.0
braids,0.0,1.0,0.0,0.0
bread,0.0,0.0,1.0,0.0
breakfast,1.0,1.0,1.0,0.0
breeding,0.0,0.0,0.0,1.0
bright,1.0,0.0,0.0,0.0
but,1.0,2.0,3.0,0.0
butter,0.0,0.0,4.0,0.0
by,0.0,0.0,1.0,0.0
caa,0.0,0.0,1.0,0.0
call,0.0,1.0,0.0,0.0
can,2.0,5.0,4.0,3.0
candle,1.0,0.0,0.0,0.0
car,0.0,0.0,0.0,1.0
carlos,0.0,1.0,0.0,0.0
case,0.0,1.0,0.0,0.0
cheese,0.0,0.0,9.0,0.0
children,0.0,0.0,1.0,0.0
cielo,0.0,0.0,1.0,0.0
cleaning,0.0,0.0,1.0,0.0
clone,0.0,0.0,0.0,1.0
cob,0.0,2.0,0.0,0.0
color,7.0,4.0,7.0,7.0
comer,0.0,0.0,0.0,1.0
coming,0.0,1.0,0.0,0.0
compared,0.0,1.0,0.0,0.0
cone,0.0,1.0,0.0,0.0
cool,0.0,0.0,0.0,1.0
coomber,0.0,0.0,0.0,1.0
corn,0.0,15.0,0.0,0.0
corners,0.0,0.0,1.0,0.0
corns,0.0,1.0,0.0,0.0
cosmetics,0.0,0.0,0.0,1.0
could,0.0,0.0,2.0,0.0
country,0.0,1.0,0.0,0.0
cream,0.0,0.0,0.0,1.0
cube,0.0,0.0,13.0,0.0
cubic,0.0,0.0,1.0,0.0
cubicle,0.0,0.0,1.0,0.0
cuboid,0.0,0.0,3.0,0.0
cucamonga,0.0,0.0,0.0,1.0
cucumber,0.0,0.0,0.0,19.0
curry,0.0,0.0,0.0,1.0
curved,2.0,0.0,0.0,0.0
cute,0.0,0.0,2.0,0.0
dark,0.0,0.0,1.0,1.0
defined,0.0,0.0,1.0,0.0
delicious,1.0,0.0,0.0,0.0
depth,0.0,0.0,0.0,1.0
did,1.0,0.0,0.0,0.0
didnt,0.0,1.0,1.0,0.0
different,1.0,0.0,0.0,0.0
direction,1.0,0.0,0.0,0.0
discount,0.0,1.0,0.0,0.0
dishes,0.0,0.0,1.0,0.0
does,0.0,1.0,3.0,2.0
dog,1.0,0.0,0.0,0.0
dont,1.0,2.0,1.0,0.0
during,0.0,1.0,0.0,1.0
each,0.0,1.0,0.0,0.0
eat,1.0,0.0,0.0,0.0
eaten,0.0,2.0,0.0,0.0
edges,0.0,0.0,1.0,0.0
ella,1.0,0.0,0.0,0.0
everything,0.0,1.0,0.0,0.0
except,0.0,1.0,0.0,0.0
