,banana/banana_1,corn/corn_1,cube/cube_2,cucumber/cucumber_1
akum,0.0,0.0,0.0,1.0
alia,0.0,1.0,0.0,0.0
alreadi,0.0,0.0,1.0,0.0
also,0.0,2.0,2.0,1.0
amaz,0.0,1.0,0.0,0.0
american,0.0,1.0,0.0,0.0
angri,0.0,1.0,0.0,0.0
appeal,0.0,0.0,2.0,0.0
appli,0.0,1.0,0.0,0.0
approv,1.0,0.0,0.0,0.0
around,1.0,0.0,0.0,0.0
aucuba,0.0,0.0,1.0,0.0
bad,0.0,1.0,0.0,0.0
banana,29.0,0.0,0.0,0.0
barbecu,0.0,2.0,0.0,0.0
barn,0.0,1.0,0.0,0.0
benefit,0.0,0.0,0.0,1.0
better,0.0,0.0,1.0,0.0
betti,1.0,0.0,0.0,0.0
bicycl,0.0,0.0,0.0,1.0
black,0.0,0.0,1.0,0.0
block,0.0,0.0,3.0,0.0
bloodi,0.0,0.0,1.0,0.0
blue,0.0,0.0,1.0,0.0
boil,0.0,1.0,0.0,0.0
box,0.0,0.0,4.0,0.0
breakfast,2.0,2.0,0.0,0.0
broccoli,0.0,0.0,1.0,0.0
brown,0.0,0.0,0.0,1.0
button,0.0,0.0,1.0,0.0
caesar,0.0,1.0,0.0,0.0
call,0.0,1.0,0.0,0.0
cannot,0.0,0.0,1.0,0.0
center,0.0,0.0,1.0,0.0
chees,0.0,0.0,3.0,0.0
children,0.0,0.0,2.0,0.0
clean,0.0,1.0,1.0,0.0
cob,0.0,4.0,0.0,0.0
colin,0.0,1.0,0.0,0.0
color,12.0,7.0,8.0,9.0
compar,0.0,0.0,0.0,1.0
complac,0.0,0.0,1.0,0.0
convers,0.0,0.0,0.0,1.0
cool,0.0,0.0,0.0,3.0
corn,0.0,18.0,0.0,0.0
corner,0.0,0.0,2.0,0.0
cosmet,0.0,0.0,0.0,1.0
cube,0.0,0.0,10.0,0.0
cubic,0.0,0.0,1.0,0.0
cubicl,0.0,0.0,1.0,0.0
cuboid,0.0,0.0,1.0,0.0
cucumb,0.0,0.0,0.0,17.0
cumber,0.0,0.0,0.0,2.0
cute,0.0,0.0,1.0,0.0
cylindr,0.0,2.0,0.0,0.0
daisi,0.0,1.0,0.0,0.0
dark,0.0,0.0,1.0,0.0
dead,0.0,1.0,0.0,0.0
definit,0.0,1.0,0.0,2.0
depth,0.0,0.0,0.0,1.0
diari,0.0,1.0,0.0,0.0
distort,0.0,0.0,1.0,0.0
dog,0.0,1.0,0.0,0.0
dont,0.0,0.0,1.0,1.0
dream,0.0,0.0,1.0,0.0
eat,2.0,4.0,0.0,0.0
eaten,0.0,1.0,0.0,0.0
edg,0.0,0.0,1.0,0.0
edibl,1.0,1.0,0.0,0.0
episcop,0.0,0.0,0.0,1.0
evergreen,0.0,0.0,1.0,0.0
everyday,1.0,0.0,0.0,0.0
except,0.0,0.0,1.0,0.0
eye,0.0,0.0,0.0,1.0
favorit,1.0,0.0,0.0,0.0
feel,0.0,0.0,1.0,0.0
fiber,1.0,0.0,0.0,0.0
flammabl,0.0,0.0,0.0,1.0
flat,1.0,0.0,0.0,0.0
food,0.0,1.0,0.0,0.0
form,0.0,1.0,0.0,0.0
freezer,0.0,0.0,2.0,0.0
fruit,9.0,0.0,0.0,0.0
fuzzi,0.0,0.0,1.0,0.0
general,1.0,1.0,0.0,0.0
go,0.0,2.0,0.0,0.0
gold,0.0,0.0,0.0,1.0
gone,0.0,2.0,0.0,0.0
googl,0.0,0.0,0.0,1.0
got,0.0,0.0,1.0,1.0
gray,0.0,1.0,1.0,0.0
green,1.0,2.0,27.0,14.0
guess,0.0,0.0,0.0,1.0
gym,1.0,0.0,0.0,0.0
hair,0.0,0.0,0.0,1.0
hate,0.0,1.0,0.0,0.0
healthi,1.0,0.0,0.0,0.0
heat,0.0,1.0,0.0,0.0
heavier,0.0,1.0,0.0,0.0
horizont,0.0,1.0,0.0,0.0
huge,0.0,0.0,0.0,1.0
im,0.0,0.0,0.0,1.0
imag,0.0,0.0,0.0,1.0
india,0.0,1.0,0.0,0.0
item,0.0,0.0,1.0,0.0
ivan,0.0,1.0,0.0,0.0
jenna,0.0,0.0,0.0,1.0
juici,0.0,1.0,0.0,0.0
kernel,0.0,2.0,0.0,0.0
khan,0.0,1.0,0.0,0.0
kind,0.0,2.0,0.0,0.0
know,0.0,0.0,1.0,1.0
lemon,0.0,1.0,0.0,0.0
less,0.0,0.0,1.0,0.0
lexicon,0.0,1.0,0.0,0.0
light,0.0,0.0,1.0,0.0
like,2.0,3.0,7.0,3.0
line,0.0,0.0,0.0,1.0
littl,0.0,0.0,1.0,0.0
long,3.0,0.0,0.0,3.0
look,3.0,1.0,7.0,4.0
lot,0.0,1.0,0.0,0.0
lumpi,0.0,0.0,0.0,2.0
major,0.0,0.0,0.0,1.0
make,0.0,2.0,0.0,1.0
materi,0.0,1.0,0.0,0.0
may,0.0,1.0,0.0,0.0
mean,0.0,0.0,0.0,1.0
mess,0.0,0.0,1.0,0.0
milkshak,1.0,0.0,0.0,0.0
music,0.0,0.0,0.0,1.0
need,0.0,1.0,1.0,0.0
nutrit,0.0,0.0,0.0,1.0
object,0.0,0.0,3.0,1.0
okay,0.0,1.0,0.0,0.0
ombr,0.0,0.0,0.0,1.0
one,0.0,1.0,1.0,0.0
ovul,1.0,0.0,0.0,0.0
part,0.0,0.0,1.0,0.0
partial,0.0,0.0,1.0,0.0
peopl,0.0,1.0,0.0,0.0
perfect,1.0,0.0,0.0,1.0
pictur,2.0,2.0,0.0,2.0
piec,0.0,1.0,0.0,0.0
place,0.0,1.0,0.0,0.0
plant,0.0,1.0,0.0,0.0
popcorn,0.0,1.0,0.0,0.0
prefer,0.0,1.0,1.0,0.0
probabl,0.0,0.0,1.0,1.0
properti,0.0,0.0,0.0,1.0
proud,0.0,0.0,1.0,0.0
pure,0.0,0.0,1.0,0.0
purpos,0.0,0.0,0.0,1.0
q,0.0,0.0,1.0,0.0
que,0.0,0.0,1.0,0.0
queue,0.0,0.0,1.0,0.0
raini,0.0,1.0,0.0,0.0
read,0.0,0.0,0.0,1.0
readi,0.0,0.0,0.0,1.0
realli,1.0,0.0,0.0,0.0
rectangl,0.0,0.0,1.0,0.0
rectangular,0.0,0.0,2.0,0.0
remind,0.0,0.0,1.0,0.0
rich,1.0,0.0,0.0,0.0
right,0.0,0.0,0.0,1.0
ripe,2.0,0.0,0.0,1.0
ripen,1.0,1.0,0.0,0.0
roast,0.0,1.0,0.0,0.0
round,0.0,2.0,2.0,0.0
sabin,0.0,0.0,1.0,0.0
sad,0.0,1.0,0.0,1.0
salad,0.0,0.0,0.0,6.0
score,0.0,1.0,0.0,0.0
screen,0.0,0.0,1.0,1.0
season,0.0,1.0,0.0,0.0
see,2.0,1.0,3.0,0.0
seem,1.0,0.0,0.0,0.0
seen,0.0,1.0,0.0,0.0
shade,0.0,0.0,0.0,1.0
shadow,0.0,0.0,1.0,0.0
shape,2.0,3.0,1.0,1.0
short,0.0,1.0,0.0,0.0
side,0.0,0.0,1.0,0.0
slight,0.0,0.0,1.0,0.0
solid,0.0,0.0,1.0,0.0
someth,0.0,0.0,2.0,0.0
sometim,0.0,0.0,0.0,1.0
sort,0.0,0.0,2.0,0.0
spong,0.0,0.0,3.0,0.0
squar,0.0,0.0,3.0,0.0
stripe,0.0,0.0,0.0,1.0
substanc,0.0,0.0,2.0,0.0
succul,1.0,0.0,0.0,0.0
suit,1.0,0.0,0.0,0.0
summer,0.0,0.0,0.0,1.0
swallow,0.0,1.0,0.0,0.0
sweet,1.0,3.0,0.0,0.0
tabl,0.0,1.0,0.0,0.0
take,0.0,1.0,0.0,0.0
that,1.0,0.0,0.0,0.0
there,0.0,1.0,0.0,0.0
think,0.0,1.0,0.0,0.0
