Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
cube,cube/cube_4 (nan)      cube/cube_4 (nan)      banana/banana_4 (nan)      ,cube/cube_4 (nan) cube/cube_4 (nan) cube/cube_4 (nan) ,cube/cube_4 (nan) cube/cube_4 (nan) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
cube,cube/cube_4 (nan)      cube/cube_4 (nan)      banana/banana_4 (nan)      banana/banana_4 (nan)      ,cube/cube_4 (nan) cube/cube_4 (nan) ,cube/cube_4 (nan) cube/cube_4 (nan) banana/banana_4 (nan) ,2.0,1.0,1.0,0.0,0.75,0.666666666667,1.0,0.8
cube,banana/banana_4 (nan)      cube/cube_4 (nan)      banana/banana_4 (nan)      banana/banana_4 (nan)      ,cube/cube_4 (nan) ,banana/banana_4 (nan) cube/cube_4 (nan) ,1.0,2.0,1.0,0.0,0.75,0.5,1.0,0.666666666667
cube,cube/cube_4 (nan)      banana/banana_4 (nan)      banana/banana_4 (nan)      ,cube/cube_4 (nan) ,cube/cube_4 (nan) ,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_4 (nan)      cube/cube_4 (nan)      banana/banana_4 (nan)      banana/banana_4 (nan)      banana/banana_4 (nan)      ,cube/cube_4 (nan) cube/cube_4 (nan) ,cube/cube_4 (nan) cube/cube_4 (nan) banana/banana_4 (nan) ,2.0,2.0,1.0,0.0,0.8,0.666666666667,1.0,0.8
cube,cube/cube_4 (nan)      cube/cube_4 (nan)      cube/cube_4 (nan)      banana/banana_4 (nan)      banana/banana_4 (nan)      banana/banana_4 (nan)      ,cube/cube_4 (nan) cube/cube_4 (nan) cube/cube_4 (nan) ,cube/cube_4 (nan) cube/cube_4 (nan) banana/banana_4 (nan) cube/cube_4 (nan) ,3.0,2.0,1.0,0.0,0.833333333333,0.75,1.0,0.857142857143
cube,cube/cube_4 (nan)      cube/cube_4 (nan)      banana/banana_4 (nan)      ,cube/cube_4 (nan) cube/cube_4 (nan) cube/cube_4 (nan) ,cube/cube_4 (nan) cube/cube_4 (nan) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
cube,cube/cube_4 (nan)      banana/banana_4 (nan)      banana/banana_4 (nan)      ,cube/cube_4 (nan) cube/cube_4 (nan) cube/cube_4 (nan) ,cube/cube_4 (nan) banana/banana_4 (nan) ,1.0,-1.0,1.0,2.0,0.0,0.5,0.333333333333,0.4
cube,cube/cube_4 (nan)      banana/banana_4 (nan)      banana/banana_4 (nan)      banana/banana_4 (nan)      ,cube/cube_4 (nan) ,cube/cube_4 (nan) banana/banana_4 (nan) ,1.0,2.0,1.0,0.0,0.75,0.5,1.0,0.666666666667
