Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
cube,banana/banana_2 (nan)      banana/banana_2 (nan)      cube/cube_3 (nan)      ,cube/cube_3 (nan) cube/cube_3 (nan) ,cube/cube_3 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
cube,cube/cube_3 (nan)      banana/banana_2 (nan)      banana/banana_2 (nan)      ,cube/cube_3 (nan) ,cube/cube_3 (nan) ,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_3 (nan)      banana/banana_2 (nan)      banana/banana_2 (nan)      cube/cube_3 (nan)      ,cube/cube_3 (nan) cube/cube_3 (nan) ,cube/cube_3 (nan) cube/cube_3 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,banana/banana_2 (nan)      banana/banana_2 (nan)      cube/cube_3 (nan)      cube/cube_3 (nan)      ,cube/cube_3 (nan) cube/cube_3 (nan) ,cube/cube_3 (nan) cube/cube_3 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_3 (nan)      banana/banana_2 (nan)      banana/banana_2 (nan)      ,cube/cube_3 (nan) cube/cube_3 (nan) ,cube/cube_3 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
cube,cube/cube_3 (nan)      cube/cube_3 (nan)      cube/cube_3 (nan)      banana/banana_2 (nan)      ,cube/cube_3 (nan) cube/cube_3 (nan) cube/cube_3 (nan) ,cube/cube_3 (nan) cube/cube_3 (nan) cube/cube_3 (nan) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,banana/banana_2 (nan)      banana/banana_2 (nan)      cube/cube_3 (nan)      ,cube/cube_3 (nan) ,cube/cube_3 (nan) ,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_3 (nan)      banana/banana_2 (nan)      cube/cube_3 (nan)      ,cube/cube_3 (nan) cube/cube_3 (nan) ,cube/cube_3 (nan) cube/cube_3 (nan) ,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,cube/cube_3 (nan)      banana/banana_2 (nan)      banana/banana_2 (nan)      cube/cube_3 (nan)      ,cube/cube_3 (nan) cube/cube_3 (nan) ,cube/cube_3 (nan) cube/cube_3 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cube,banana/banana_2 (nan)      banana/banana_2 (nan)      cube/cube_3 (nan)      ,cube/cube_3 (nan) ,cube/cube_3 (nan) ,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - cube,,,,,,,,0.9333333333333332,1.0,0.9,0.9333333333333332
 ,,,,,,,,,,,
corn,cube/cube_3 (nan)      cube/cube_3 (nan)      cube/cube_3 (nan)      cube/cube_3 (nan)      corn/corn_2 (nan)      ,corn/corn_2 (nan) ,cube/cube_3 (nan) corn/corn_2 (nan) cube/cube_3 (nan) cube/cube_3 (nan) cube/cube_3 (nan) ,1.0,0.0,4.0,0.0,0.2,0.2,1.0,0.333333333333
corn,corn/corn_2 (nan)      cube/cube_3 (nan)      corn/corn_2 (nan)      ,corn/corn_2 (nan) corn/corn_2 (nan) ,corn/corn_2 (nan) cube/cube_3 (nan) corn/corn_2 (nan) ,2.0,0.0,1.0,0.0,0.666666666667,0.666666666667,1.0,0.8
corn,cube/cube_3 (nan)      cube/cube_3 (nan)      corn/corn_2 (nan)      ,corn/corn_2 (nan) ,cube/cube_3 (nan) corn/corn_2 (nan) cube/cube_3 (nan) ,1.0,0.0,2.0,0.0,0.333333333333,0.333333333333,1.0,0.5
corn,cube/cube_3 (nan)      cube/cube_3 (nan)      corn/corn_2 (nan)      corn/corn_2 (nan)      ,corn/corn_2 (nan) corn/corn_2 (nan) corn/corn_2 (nan) ,cube/cube_3 (nan) cube/cube_3 (nan) corn/corn_2 (nan) corn/corn_2 (nan) ,2.0,-1.0,2.0,1.0,0.25,0.5,0.666666666667,0.571428571429
corn,corn/corn_2 (nan)      cube/cube_3 (nan)      corn/corn_2 (nan)      corn/corn_2 (nan)      ,corn/corn_2 (nan) corn/corn_2 (nan) corn/corn_2 (nan) ,corn/corn_2 (nan) corn/corn_2 (nan) cube/cube_3 (nan) corn/corn_2 (nan) ,3.0,0.0,1.0,0.0,0.75,0.75,1.0,0.857142857143
corn,cube/cube_3 (nan)      cube/cube_3 (nan)      corn/corn_2 (nan)      cube/cube_3 (nan)      ,corn/corn_2 (nan) ,cube/cube_3 (nan) corn/corn_2 (nan) cube/cube_3 (nan) ,1.0,1.0,2.0,0.0,0.5,0.333333333333,1.0,0.5
corn,cube/cube_3 (nan)      corn/corn_2 (nan)      cube/cube_3 (nan)      corn/corn_2 (nan)      cube/cube_3 (nan)      ,corn/corn_2 (nan) corn/corn_2 (nan) ,cube/cube_3 (nan) corn/corn_2 (nan) corn/corn_2 (nan) cube/cube_3 (nan) cube/cube_3 (nan) ,2.0,0.0,3.0,0.0,0.4,0.4,1.0,0.571428571429
corn,corn/corn_2 (nan)      cube/cube_3 (nan)      cube/cube_3 (nan)      cube/cube_3 (nan)      ,corn/corn_2 (nan) ,corn/corn_2 (nan) cube/cube_3 (nan) cube/cube_3 (nan) ,1.0,1.0,2.0,0.0,0.5,0.333333333333,1.0,0.5
