,banana/banana_2,corn/corn_2,cube/cube_3,cucumber/cucumber_1
,0.0,1.0,1.0,1.0
3D,0.0,0.0,1.0,0.0
A,4.0,4.0,2.0,3.0
AND,0.0,0.0,2.0,0.0
An,0.0,1.0,0.0,0.0
BANANA,3.0,0.0,0.0,0.0
BLUE,0.0,0.0,2.0,0.0
Banana,1.0,0.0,0.0,0.0
Blue,0.0,0.0,1.0,0.0
COLOR,0.0,0.0,1.0,0.0
COLOUR,0.0,0.0,1.0,0.0
CORN,0.0,1.0,0.0,0.0
CUBOID,0.0,0.0,1.0,0.0
CUCUMBER,0.0,0.0,0.0,2.0
Corn,0.0,3.0,0.0,0.0
Cucumber,0.0,0.0,0.0,1.0
Green,0.0,0.0,0.0,2.0
High,0.0,1.0,0.0,0.0
IS,3.0,2.0,2.0,2.0
It,2.0,1.0,1.0,1.0
It's,1.0,0.0,0.0,0.0
RECTANGLESHAPE,0.0,0.0,1.0,0.0
SHAPE,0.0,0.0,1.0,0.0
SWEETCORN,0.0,1.0,0.0,0.0
THIS,3.0,2.0,2.0,2.0
That,0.0,0.0,0.0,1.0
The,4.0,1.0,3.0,2.0
These,1.0,0.0,0.0,1.0
This,23.0,17.0,15.0,15.0
a,29.0,9.0,24.0,22.0
after,0.0,1.0,0.0,0.0
almost,1.0,0.0,0.0,0.0
an,0.0,10.0,0.0,1.0
are,1.0,0.0,0.0,1.0
at,0.0,1.0,0.0,0.0
aubergine,0.0,0.0,0.0,1.0
background,1.0,0.0,0.0,1.0
banana,28.0,0.0,0.0,0.0
bananas,1.0,0.0,0.0,0.0
bananna,1.0,0.0,0.0,0.0
be,0.0,0.0,0.0,1.0
been,0.0,1.0,0.0,0.0
black,1.0,0.0,0.0,1.0
block,0.0,0.0,6.0,0.0
blue,0.0,0.0,21.0,0.0
bluecubeshaped,0.0,0.0,1.0,0.0
box,0.0,0.0,1.0,0.0
bright,0.0,0.0,1.0,0.0
building,0.0,0.0,1.0,0.0
but,1.0,0.0,0.0,0.0
buy,0.0,1.0,0.0,0.0
carbohydrates,0.0,1.0,0.0,0.0
chair,0.0,0.0,1.0,0.0
child's,0.0,0.0,1.0,0.0
cob,0.0,2.0,0.0,0.0
color,1.0,1.0,0.0,0.0
colored,0.0,1.0,1.0,2.0
colour,1.0,0.0,0.0,0.0
coloured,1.0,0.0,0.0,0.0
completely,1.0,0.0,0.0,0.0
corn,0.0,24.0,0.0,0.0
cube,0.0,0.0,14.0,0.0
cubes,0.0,0.0,1.0,0.0
cucumber,0.0,0.0,0.0,18.0
cucumbers,0.0,0.0,0.0,1.0
ear,0.0,13.0,0.0,0.0
eat,0.0,1.0,0.0,0.0
energy,0.0,1.0,0.0,0.0
faces,0.0,0.0,1.0,0.0
foods,0.0,2.0,0.0,0.0
fruits,0.0,0.0,0.0,1.0
frutcose,0.0,1.0,0.0,0.0
green,1.0,0.0,0.0,10.0
ground,0.0,0.0,0.0,1.0
has,0.0,1.0,0.0,0.0
husk,0.0,2.0,0.0,0.0
in,2.0,2.0,1.0,0.0
is,31.0,24.0,26.0,22.0
it,0.0,0.0,1.0,1.0
it's,0.0,1.0,0.0,0.0
its,1.0,2.0,1.0,0.0
largegreen,0.0,0.0,0.0,1.0
laying,1.0,1.0,1.0,0.0
like,0.0,1.0,0.0,0.0
little,1.0,0.0,0.0,0.0
looks,0.0,1.0,0.0,0.0
lying,0.0,1.0,0.0,0.0
maize,0.0,1.0,0.0,0.0
many,0.0,2.0,0.0,0.0
might,0.0,0.0,0.0,1.0
mostly,1.0,0.0,0.0,0.0
object,0.0,0.0,2.0,0.0
oblong,0.0,0.0,0.0,1.0
of,4.0,19.0,2.0,3.0
on,1.0,4.0,1.0,1.0
perfectly,1.0,0.0,0.0,0.0
picture,5.0,2.0,1.0,3.0
raw,0.0,0.0,0.0,1.0
rectangular,0.0,0.0,1.0,0.0
removed,0.0,2.0,0.0,0.0
rich,0.0,2.0,0.0,0.0
ripe,2.0,0.0,0.0,0.0
shape,0.0,0.0,2.0,0.0
shaped,0.0,0.0,1.0,0.0
shiny,0.0,0.0,1.0,0.0
shuckedlight,0.0,1.0,0.0,0.0
side,1.0,3.0,0.0,0.0
sides,0.0,0.0,1.0,0.0
single,1.0,0.0,0.0,0.0
slightly,0.0,0.0,1.0,0.0
source,0.0,2.0,0.0,0.0
square,0.0,0.0,6.0,0.0
still,0.0,1.0,0.0,0.0
supermarket,0.0,1.0,0.0,0.0
suryip,0.0,1.0,0.0,0.0
sweet,0.0,1.0,0.0,0.0
sweetcorn,0.0,1.0,0.0,0.0
that,0.0,0.0,1.0,0.0
the,0.0,5.0,1.0,0.0
this,3.0,2.0,5.0,3.0
too,0.0,1.0,0.0,1.0
toy,0.0,0.0,1.0,0.0
unblemished,1.0,0.0,0.0,0.0
vegetablelying,0.0,0.0,0.0,1.0
we,0.0,2.0,0.0,0.0
white,0.0,4.0,0.0,0.0
with,0.0,1.0,1.0,0.0
yellow,10.0,1.0,0.0,0.0
zucchini,0.0,0.0,0.0,2.0
