,banana/banana_1,corn/corn_3,cube/cube_1,cucumber/cucumber_1
3,0.0,0.0,1.0,0.0
6,0.0,0.0,1.0,0.0
also,0.0,1.0,0.0,0.0
aubergin,0.0,0.0,0.0,1.0
background,1.0,0.0,1.0,1.0
banana,32.0,0.0,0.0,0.0
black,1.0,0.0,1.0,1.0
block,0.0,0.0,9.0,0.0
bright,0.0,0.0,2.0,0.0
build,0.0,0.0,1.0,0.0
butter,0.0,0.0,2.0,0.0
carbohydr,0.0,1.0,0.0,0.0
child,0.0,0.0,2.0,0.0
cob,0.0,5.0,0.0,0.0
cobb,0.0,1.0,0.0,0.0
color,1.0,2.0,1.0,2.0
colour,0.0,0.0,2.0,0.0
cone,0.0,1.0,0.0,0.0
corn,0.0,28.0,1.0,0.0
could,0.0,0.0,1.0,0.0
cube,0.0,0.0,14.0,0.0
cucumb,0.0,0.0,0.0,22.0
ear,0.0,8.0,0.0,0.0
edg,0.0,0.0,1.0,0.0
energi,0.0,1.0,0.0,0.0
fruit,0.0,1.0,0.0,1.0
good,0.0,1.0,0.0,0.0
green,0.0,0.0,0.0,12.0
ground,0.0,0.0,0.0,1.0
husk,0.0,1.0,0.0,0.0
isa,0.0,1.0,0.0,0.0
known,0.0,1.0,0.0,0.0
largegreen,0.0,0.0,0.0,1.0
lay,2.0,0.0,0.0,0.0
lie,1.0,2.0,0.0,0.0
like,0.0,0.0,1.0,0.0
look,0.0,0.0,1.0,0.0
maiz,0.0,1.0,0.0,0.0
might,0.0,0.0,0.0,1.0
object,0.0,0.0,1.0,0.0
oblong,0.0,0.0,0.0,1.0
pale,0.0,1.0,0.0,0.0
pictur,2.0,3.0,2.0,3.0
raw,0.0,0.0,0.0,1.0
rich,0.0,1.0,0.0,0.0
ripe,2.0,0.0,0.0,0.0
shape,0.0,1.0,3.0,0.0
shuck,0.0,2.0,0.0,0.0
side,3.0,2.0,1.0,0.0
singl,1.0,0.0,0.0,0.0
smooth,0.0,0.0,1.0,0.0
sourc,0.0,1.0,0.0,0.0
squar,0.0,0.0,5.0,0.0
sweet,0.0,3.0,0.0,0.0
sweetcorn,0.0,2.0,0.0,0.0
tab,0.0,0.0,1.0,0.0
tell,0.0,0.0,1.0,0.0
toy,0.0,0.0,3.0,0.0
unpeel,1.0,0.0,0.0,0.0
veget,0.0,0.0,0.0,1.0
vibrant,0.0,0.0,1.0,0.0
vivid,0.0,0.0,1.0,0.0
white,0.0,4.0,0.0,0.0
whole,0.0,1.0,0.0,0.0
without,0.0,1.0,0.0,0.0
yellow,9.0,2.0,21.0,0.0
yellowcubeshap,0.0,0.0,1.0,0.0
zucchini,0.0,0.0,0.0,2.0
