token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
wedge,0.5666666666666667,0.5449999999999999,0.9333333333333332,0.6478571428571429,1,3
cylinder,0.9633333333333335,0.9333333333333332,1.0,0.9600000000000002,2,4
square,0.8916666666666668,1.0,0.85,0.9066666666666666,1,3
apple,0.975,1.0,0.9666666666666666,0.9800000000000001,2,3
ripe,0.7133333333333333,0.5833333333333333,0.8,0.6433333333333333,1,3
look,0.8833333333333332,1.0,0.8833333333333332,0.9266666666666667,1,1
cuboid,0.8600000000000001,0.8833333333333332,0.8999999999999998,0.8666666666666668,1,3
half,0.6833333333333333,0.6,0.9666666666666666,0.7247619047619047,2,3
yellow,0.8766666666666667,0.7833333333333333,1.0,0.8566666666666667,3,3
bright,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,3
carrot,0.835,1.0,0.7833333333333333,0.8566666666666667,1,3
lime,0.9266666666666665,1.0,0.8833333333333332,0.9266666666666665,1,3
blue,1.0,1.0,1.0,1.0,1,3
cut,0.8749999999999998,0.95,0.8999999999999998,0.9066666666666666,1,3
lemon,0.8483333333333333,0.7166666666666667,1.0,0.8247619047619047,2,4
purple,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,2,4
long,0.95,1.0,0.9166666666666666,0.9466666666666667,1,2
prism,0.8366666666666667,0.9166666666666666,0.8333333333333333,0.8533333333333333,1,3
orange,1.0,1.0,1.0,1.0,3,4
toy,0.7516666666666667,0.62,1.0,0.748095238095238,3,3
circle,0.72,0.6166666666666667,0.9666666666666666,0.7414285714285714,2,3
semicylinder,0.9066666666666666,0.9666666666666666,0.9,0.9200000000000002,1,3
banana,0.9416666666666667,1.0,0.9333333333333332,0.96,1,3
rectangle,0.9350000000000002,0.95,0.9333333333333332,0.9266666666666667,1,3
tomato,0.96,1.0,0.9333333333333332,0.96,2,4
head,0.8833333333333332,1.0,0.85,0.9066666666666666,1,3
cube,0.975,0.95,1.0,0.9666666666666666,2,3
triangle,0.9466666666666667,1.0,0.9166666666666666,0.9466666666666667,1,3
corn,0.96,1.0,0.9333333333333332,0.96,1,3
object,0.5499999999999999,0.5499999999999999,1.0,0.6928571428571428,5,1
