,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.8223546995460742,0.8418511271750231,-1.0,-1.0,0.8222731953134785,0.9347192098249979
apple,0.8692857142857142,0.8705458373825721,3.306122448979592,2.0,0.8224829931972789,0.9766439909297052
arch,0.7802154195011337,0.8049838030450276,3.068027210884354,1.2857142857142858,0.7682312925170068,0.9283446712018139
banana,0.7797435897435897,0.799284188034188,2.8846153846153846,1.0,0.8584401709401711,0.8262820512820511
block,0.6275747863247862,0.6826083638583638,2.8846153846153846,5.711538461538462,0.5578205128205128,0.9950854700854702
blue,0.8293915343915345,0.8321466364323509,3.0,1.0,0.8030423280423281,0.9227513227513227
bright,0.8736281179138323,0.8681616456106251,3.204081632653061,1.5714285714285714,0.8573922902494331,0.9319727891156461
cabbage,0.9004648526077098,0.9066844833171364,3.0,1.0,0.9476303854875284,0.9022675736961451
carrot,0.8604195011337868,0.8648671849692259,3.0,1.0,0.9215986394557822,0.8632653061224488
child,0.6234693877551021,0.6860657596371883,3.0,1.0,0.6086054421768707,0.8969387755102041
chow,0.8984807256235827,0.903981211532232,3.0,1.0,0.9532312925170068,0.8925170068027211
circle,0.7538208616780046,0.7622756721736313,3.306122448979592,2.0,0.6595238095238094,0.9768707482993199
cob,0.8954807692307691,0.9137988400488399,2.8846153846153846,1.0,0.9771474358974359,0.8887820512820511
colored,0.6276757369614512,0.692128279883382,2.5714285714285716,1.2857142857142858,0.6034580498866213,0.9276643990929706
corn,0.8999145299145298,0.9165567765567766,2.8846153846153846,1.0,0.9780982905982905,0.8910256410256411
cube,0.839155982905983,0.8475717338217339,3.1538461538461537,1.9423076923076923,0.7968482905982907,0.977991452991453
cuboid,0.878605442176871,0.8840459993521218,3.0,1.0,0.9031405895691609,0.9096371882086169
cucumber,0.8862713675213675,0.8967429792429792,2.8846153846153846,1.0,0.9224572649572652,0.9087606837606839
cut,0.8218480725623583,0.8256203433754453,3.0,1.0,0.8150113378684808,0.9012471655328798
cylinder,0.9095464852607709,0.9045562034337545,3.8503401360544216,2.0,0.8768934240362812,0.9700680272108845
cylindrical,0.8653514739229023,0.8708973113054745,3.0,1.0,0.9002154195011337,0.8887755102040815
dark,0.9446428571428572,0.947482993197279,2.869047619047619,1.5,0.9750992063492063,0.9420634920634922
ear,0.9010790598290598,0.9168101343101344,2.8846153846153846,1.0,0.9767094017094018,0.8945512820512821
eggplanet,0.8284240362811791,0.840038872691934,3.0,1.0,0.8439342403628118,0.8958049886621315
eggplant,0.8342743764172336,0.8457693553611921,3.0,1.0,0.8484126984126983,0.8996598639455783
fruit,0.6456122448979592,0.6930628441852932,2.5510204081632653,2.2857142857142856,0.5723356009070295,0.9743764172335602
green,0.8150320512820514,0.8474984737484735,2.8846153846153846,4.903846153846154,0.7905982905982906,0.9946581196581195
half,0.7858390022675737,0.7840200842241659,3.36734693877551,2.0,0.6891609977324262,0.9793650793650793
head,0.8951360544217686,0.901308713961775,3.0,1.0,0.9399092970521541,0.9026077097505669
laying,0.8881691919191919,0.8948214285714285,1.9015151515151516,1.6590909090909092,0.8806565656565657,0.9497474747474746
lemon,0.9496938775510205,0.9500226757369614,3.7142857142857144,2.0,0.9667233560090704,0.953968253968254
like,0.8024603174603175,0.8613281503077421,0.7551020408163265,2.5714285714285716,0.8112811791383221,0.9873015873015872
lime,0.9078571428571427,0.9140848720440556,3.0,1.0,0.9563492063492062,0.9044217687074829
long,0.7237528344671201,0.7562908973113055,2.020408163265306,1.0,0.7490929705215419,0.868140589569161
look,0.8771995464852607,0.9028846776805962,1.0,1.2857142857142858,0.9294444444444444,0.921655328798186
lying,0.8029273504273505,0.8123305860805861,2.4615384615384617,2.0961538461538463,0.7590491452991452,0.9521367521367523
object,0.608482905982906,0.7097191697191697,0.9807692307692307,5.326923076923077,0.5862072649572649,0.9971153846153847
orange,0.910034013605442,0.9085260770975058,3.1360544217687076,3.0,0.866530612244898,0.9954648526077098
plum,0.969251700680272,0.9755102040816329,3.503401360544218,1.8571428571428572,0.9989795918367347,0.9615646258503403
potato,0.8397845804988663,0.8435568513119532,3.0,1.0,0.8537074829931972,0.8888888888888888
prism,0.8633106575963719,0.8549125364431487,3.6258503401360542,1.8571428571428572,0.7973242630385488,0.971201814058957
purple,0.9312358276643992,0.9251409135082604,3.5714285714285716,2.0,0.9030612244897959,0.9807256235827664
rectangle,0.8824036281179136,0.8859102688694528,3.0,1.0,0.8990929705215421,0.9158730158730158
rectangular,0.8864399092970522,0.8847149335924847,3.7823129251700682,2.2857142857142856,0.8336167800453514,0.9848072562358278
red,0.8811224489795917,0.8745497246517654,2.7142857142857144,6.571428571428571,0.8089909297052154,1.0
ripe,0.5914529914529914,0.6499252136752137,2.8846153846153846,1.5384615384615385,0.565224358974359,0.9048076923076925
semi,0.7632275132275133,0.7713416477702192,3.0,1.0,0.7226455026455028,0.8994708994708992
semicircle,0.8851927437641723,0.8835633300939424,3.2108843537414966,1.5714285714285714,0.8737641723356009,0.9401360544217686
semicylinder,0.8980612244897959,0.9006770327178492,3.0,1.0,0.9350340136054421,0.9044217687074829
shape,0.6088671023965142,0.6693697478991597,2.6470588235294117,5.529411764705882,0.5341067538126362,0.9980392156862744
shaped,0.6483974358974359,0.6871047008547009,2.8846153846153846,4.230769230769231,0.5631410256410256,0.9933760683760684
side,0.8257478632478632,0.8651984126984127,0.9423076923076923,5.961538461538462,0.8071153846153847,1.0
square,0.8946367521367521,0.9012973137973139,2.8846153846153846,1.0,0.9455128205128205,0.8949786324786325
tomato,0.771281179138322,0.8198850016196955,3.197278911564626,1.4285714285714286,0.8193990929705215,0.9195011337868481
toy,0.7493197278911565,0.7590411402656301,3.0,3.857142857142857,0.6449773242630386,1.0
triangle,0.8927664399092972,0.8983090379008747,3.0,1.0,0.934297052154195,0.9030612244897959
triangular,0.8998412698412697,0.9049497894395854,3.0,1.0,0.9421201814058957,0.9029478458049885
vegetable,0.9355555555555555,0.9361791383219955,2.4365079365079363,1.6666666666666667,0.9323412698412699,0.9634920634920635
wedge,0.7893537414965986,0.8122319403952057,3.258503401360544,1.5714285714285714,0.7586734693877552,0.9482993197278912
white,0.8956730769230768,0.9121321733821733,2.8846153846153846,1.0,0.9715064102564103,0.8894230769230769
yellow,0.7117307692307693,0.7306654456654456,3.1858974358974357,4.846153846153846,0.6113247863247863,0.9980769230769232
