token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
wedge,0.5933333333333334,0.4749999999999999,0.7666666666666666,0.5557142857142857,1,3
cylinder,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,2,4
square,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,3
apple,1.0,1.0,1.0,1.0,2,3
ripe,0.8466666666666667,0.9333333333333332,0.85,0.8566666666666667,1,3
look,0.8583333333333332,1.0,0.8333333333333333,0.8933333333333333,1,1
cuboid,1.0,1.0,1.0,1.0,1,3
half,0.9466666666666667,1.0,0.9333333333333332,0.9600000000000002,2,3
yellow,1.0,1.0,1.0,1.0,3,3
bright,0.9466666666666667,1.0,0.9333333333333332,0.96,1,3
carrot,0.8633333333333333,1.0,0.7666666666666666,0.8466666666666667,1,3
lime,0.8666666666666666,1.0,0.8833333333333334,0.9166666666666666,1,3
blue,1.0,1.0,1.0,1.0,1,3
cut,0.96,1.0,0.9333333333333332,0.96,1,3
lemon,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,2,4
purple,0.9333333333333332,1.0,0.9333333333333332,0.96,2,4
long,0.23000000000000004,0.3333333333333333,0.85,0.4447619047619048,1,2
prism,0.735,0.9,0.65,0.73,1,3
orange,1.0,1.0,1.0,1.0,3,4
toy,1.0,1.0,1.0,1.0,3,3
circle,1.0,1.0,1.0,1.0,2,3
semicylinder,0.7766666666666666,0.725,0.85,0.729047619047619,1,3
banana,0.7649999999999999,1.0,0.6666666666666667,0.7833333333333333,1,3
rectangle,0.9166666666666666,1.0,0.8666666666666668,0.9133333333333333,1,3
tomato,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,2,4
head,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,3
cube,0.9016666666666667,1.0,0.8666666666666668,0.9200000000000002,2,3
triangle,0.45,0.4916666666666666,0.6166666666666666,0.5190476190476192,1,3
corn,0.8916666666666668,0.85,0.95,0.8733333333333334,1,3
object,1.0,1.0,1.0,1.0,5,1
triangular,0.485,0.4083333333333333,0.6,0.46238095238095234,1,3
cylindrical,0.8666666666666666,1.0,0.8666666666666666,0.9199999999999999,1,3
cucumber,0.96,1.0,0.9333333333333332,0.96,1,3
child,0.93,1.0,0.8666666666666666,0.9133333333333333,1,3
cabbage,0.7883333333333333,1.0,0.7666666666666666,0.8433333333333334,1,3
ear,0.8166666666666668,0.8333333333333333,0.85,0.8133333333333332,1,3
arch,0.9216666666666666,1.0,0.8833333333333332,0.9266666666666665,1,3
white,0.9216666666666666,0.95,0.9333333333333332,0.9266666666666665,1,3
colored,0.8966666666666665,1.0,0.8666666666666668,0.9200000000000002,1,3
semicircle,0.85,0.6833333333333333,1.0,0.7933333333333333,1,3
like,1.0,1.0,1.0,1.0,4,1
semi,1.0,1.0,1.0,1.0,1,3
potato,0.9666666666666666,1.0,0.9666666666666666,0.9800000000000001,1,3
fruit,1.0,1.0,1.0,1.0,4,2
lying,0.6416666666666666,0.51,1.0,0.6564285714285714,3,2
plum,0.8516666666666666,1.0,0.7666666666666666,0.8433333333333334,1,3
shaped,1.0,1.0,1.0,1.0,5,3
shape,0.8366666666666667,0.7333333333333333,1.0,0.8280952380952382,6,3
rectangular,0.9333333333333332,1.0,0.9333333333333332,0.96,2,4
eggplanet,0.93,1.0,0.8666666666666666,0.9133333333333333,1,3
cob,0.8566666666666667,0.925,0.8333333333333333,0.8457142857142858,1,3
green,0.77,0.6583333333333333,1.0,0.7904761904761904,6,3
red,0.6333333333333334,0.545,1.0,0.6904761904761905,6,3
eggplant,0.9333333333333332,1.0,0.9166666666666666,0.9466666666666667,1,3
chow,0.9800000000000001,1.0,0.95,0.9666666666666666,1,3
side,0.4983333333333334,0.4983333333333334,1.0,0.6507142857142857,7,1
block,1.0,1.0,1.0,1.0,6,3
Folder Number:  6000
Accuracy:  0.870233918128655
F1-Score:  0.8813951545530493
Precision:  0.9026900584795322
Recall:  0.9076023391812865
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
wedge,0.37166666666666665,0.5083333333333333,0.6,0.5290476190476191,1,3
cylinder,0.96,1.0,0.9333333333333332,0.96,2,4
square,0.9416666666666667,1.0,0.9333333333333332,0.96,1,3
apple,1.0,1.0,1.0,1.0,2,3
ripe,0.655,0.8,0.7,0.7000000000000001,1,3
look,0.8833333333333332,1.0,0.8666666666666666,0.9200000000000002,1,1
cuboid,1.0,1.0,1.0,1.0,1,3
half,1.0,1.0,1.0,1.0,2,3
yellow,0.975,0.9666666666666666,1.0,0.9800000000000001,3,4
bright,1.0,1.0,1.0,1.0,1,3
carrot,0.8833333333333332,1.0,0.8166666666666667,0.8799999999999999,1,3
lime,0.885,1.0,0.8166666666666667,0.8866666666666667,1,3
blue,0.9133333333333333,1.0,0.8833333333333332,0.9266666666666665,1,3
cut,1.0,1.0,1.0,1.0,1,3
lemon,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,2,4
purple,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,2,4
long,0.68,0.6249999999999999,0.8666666666666666,0.6957142857142857,1,2
prism,0.8133333333333335,0.9,0.6,0.6933333333333332,1,3
orange,1.0,1.0,1.0,1.0,3,4
toy,0.9833333333333334,1.0,0.9666666666666666,0.9800000000000001,3,3
