,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.8359866132987295,0.8415787482868352,-1.0,-1.0,0.850228599452092,0.8951012709556773
apple,0.9386111111111112,0.9359489302967564,3.3260869565217392,2.0,0.9216183574879228,0.9768115942028986
arch,0.9519927536231884,0.9557729468599034,3.0869565217391304,1.3043478260869565,0.9972222222222222,0.9327294685990336
banana,0.8332312925170067,0.8513832199546485,2.877551020408163,1.0,0.9578231292517008,0.8078231292517006
block,0.8013378684807256,0.8406624554583738,2.877551020408163,5.6938775510204085,0.7934920634920635,0.9824263038548754
blue,0.9240432098765431,0.9326543209876542,3.0,1.0,1.0,0.893827160493827
bright,0.9260507246376811,0.9265148378191858,3.217391304347826,1.608695652173913,0.9450483091787439,0.9384057971014492
cabbage,0.8068236714975846,0.8216080055210491,3.0,1.0,0.8205797101449274,0.8991545893719808
carrot,0.8293961352657004,0.8273257418909593,3.0,1.0,0.8498550724637681,0.8756038647342996
child,0.9144323671497584,0.9213940648723258,3.0,1.0,0.9757246376811592,0.8981884057971014
chow,0.9280555555555555,0.9346376811594203,3.0,1.0,1.0,0.8972222222222221
circle,0.8952536231884057,0.8726328502415459,3.246376811594203,2.0,1.0,0.8055555555555556
cob,0.8986848072562358,0.9155571752510527,2.877551020408163,1.0,0.9809297052154194,0.8858276643990932
colored,0.8607125603864735,0.861328502415459,2.579710144927536,1.3043478260869565,0.8609903381642513,0.9243961352657004
corn,0.8789569160997731,0.8969598315516684,2.877551020408163,1.0,0.9420294784580499,0.8933106575963718
cube,0.8967573696145126,0.8896047942986718,3.163265306122449,1.9387755102040816,0.852312925170068,0.9738095238095239
cuboid,0.7342391304347826,0.5674499654934437,3.0,1.0,0.5426932367149759,0.6396135265700483
cucumber,0.8908163265306124,0.899643666990606,2.877551020408163,1.0,0.9260204081632653,0.9139455782312926
cut,0.9331038647342994,0.9411214630779847,3.0,1.0,0.9963768115942029,0.911352657004831
cylinder,0.8808574879227052,0.8751345755693584,3.8043478260869565,2.0,0.877451690821256,0.9289855072463767
cylindrical,0.7641787439613528,0.7832453416149068,3.0,1.0,0.7609541062801932,0.88743961352657
dark,0.8411706349206347,0.8412698412698413,2.9047619047619047,1.5,0.792063492063492,0.9490079365079367
ear,0.9019727891156463,0.9147845804988664,2.877551020408163,1.0,0.9810317460317459,0.8851473922902493
eggplanet,0.7130555555555556,0.7506832298136646,3.0,1.0,0.7085628019323671,0.8950483091787439
eggplant,0.7196497584541063,0.7515683229813664,3.0,1.0,0.7047705314009661,0.9041062801932366
fruit,0.7534420289855072,0.7787353347135956,2.572463768115942,2.1739130434782608,0.6998188405797101,0.9756038647342997
green,0.7377891156462585,0.685907029478458,2.877551020408163,4.836734693877551,0.677063492063492,0.8131519274376418
half,0.8968115942028985,0.8763699102829537,3.3260869565217392,2.0,0.9980072463768116,0.8131642512077295
head,0.783586956521739,0.8060455486542443,3.0,1.0,0.7908937198067634,0.9102657004830917
laying,0.8191919191919191,0.8200054112554113,1.9015151515151516,1.6590909090909092,0.8149873737373737,0.8912878787878786
lemon,0.9610748792270531,0.9637991718426503,3.6956521739130435,2.0,0.9879227053140095,0.954951690821256
like,0.956304347826087,0.9687646652864043,0.7536231884057971,2.4782608695652173,0.9680314009661836,0.986473429951691
lime,0.9179227053140095,0.9263285024154589,3.0,1.0,1.0,0.8841787439613525
long,0.5541304347826087,0.6637474120082816,2.0,1.0,0.6144082125603865,0.8714975845410627
look,0.935144927536232,0.9505797101449276,1.0,1.3043478260869565,1.0,0.9216183574879228
lying,0.8139909297052155,0.8398639455782313,2.489795918367347,2.0408163265306123,0.8108390022675737,0.9502267573696145
object,0.6551814058956916,0.7368869452542921,0.9795918367346939,5.346938775510204,0.6662585034013605,0.9229024943310657
orange,0.8601086956521738,0.8752846790890269,3.0869565217391304,3.0,0.8285386473429952,0.9949275362318841
plum,0.9789130434782609,0.9825845410628021,3.550724637681159,1.9130434782608696,1.0,0.9718599033816425
potato,0.8498792270531401,0.8535610766045547,3.0,1.0,0.8766304347826086,0.8832125603864733
prism,0.8327536231884058,0.6973429951690823,3.6956521739130435,1.9130434782608696,0.8478260869565217,0.6278985507246377
purple,0.9656280193236715,0.9681504485852312,3.608695652173913,2.0,0.9720410628019323,0.9758454106280192
rectangle,0.8601932367149758,0.8603140096618357,3.0,1.0,0.857548309178744,0.9148550724637681
