,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.7961385499507738,0.8201492098377601,-1.0,-1.0,0.788176093782373,0.937797115333324
apple,0.8936825396825397,0.8816190476190476,3.2666666666666666,2.0,0.8361111111111111,0.9765079365079364
arch,0.8168253968253968,0.8315691609977324,3.1523809523809523,1.4,0.7952857142857143,0.9390476190476191
banana,0.8713839285714285,0.893422619047619,2.875,1.0,0.9925595238095238,0.8421130952380952
block,0.6093452380952381,0.6702848639455782,2.875,5.6875,0.5479017857142858,0.9912202380952381
blue,0.35587301587301584,0.533514739229025,3.0,1.0,0.4061507936507936,0.9035714285714282
bright,0.769984126984127,0.7725011337868479,3.238095238095238,1.8,0.6983174603174603,0.9463492063492064
cabbage,0.9171428571428573,0.92178231292517,3.0,1.0,0.9665079365079365,0.9066666666666667
carrot,0.9119841269841269,0.9203809523809525,3.0,1.0,1.0,0.876984126984127
child,0.4948730158730159,0.592451247165533,3.0,1.0,0.4807142857142857,0.8966666666666667
chow,0.7856507936507937,0.8012426303854876,3.0,1.0,0.7717301587301587,0.9076190476190475
circle,0.6653015873015873,0.6934807256235828,3.2285714285714286,2.0,0.5732063492063492,0.974920634920635
cob,0.9002976190476192,0.9191347789115646,2.875,1.0,0.9713392857142857,0.9025297619047619
colored,0.46831746031746035,0.5916167800453516,2.657142857142857,1.4,0.46849206349206346,0.9265079365079365
corn,0.8991517857142857,0.9174553571428571,2.875,1.0,0.970297619047619,0.9023809523809524
cube,0.8388541666666667,0.8502508503401361,3.0625,1.9375,0.8017410714285713,0.9735119047619047
cuboid,0.8594285714285715,0.8652675736961453,3.0,1.0,0.8665555555555555,0.919047619047619
cucumber,0.9010714285714286,0.9163669217687076,2.875,1.0,0.9547619047619048,0.9135416666666666
cut,0.793015873015873,0.8033945578231291,3.0,1.0,0.7824920634920635,0.9014285714285712
cylinder,0.7740793650793651,0.7752585034013605,3.857142857142857,2.0,0.682047619047619,0.974920634920635
cylindrical,0.8642698412698413,0.862859410430839,3.0,1.0,0.8812063492063492,0.8988888888888888
dark,0.9655820105820105,0.9711111111111111,2.8095238095238093,1.6666666666666667,1.0,0.9537037037037037
ear,0.8891815476190477,0.9118707482993198,2.875,1.0,0.9703869047619048,0.8912202380952381
eggplanet,0.9249206349206348,0.9299410430839002,3.0,1.0,0.9873809523809524,0.9028571428571429
eggplant,0.9181269841269841,0.9280090702947847,3.0,1.0,0.9906349206349206,0.8960317460317461
fruit,0.7832380952380953,0.7871043083900228,2.5619047619047617,2.0,0.7033492063492064,0.9736507936507938
green,0.5154910714285714,0.6103465136054422,3.0625,4.375,0.46724702380952376,0.9937500000000001
half,0.6651587301587302,0.7002290249433105,3.380952380952381,2.0,0.5784126984126984,0.9809523809523809
head,0.9350634920634919,0.9438095238095239,3.0,1.0,1.0,0.9117460317460317
laying,0.8446330275229359,0.8442857142857141,1.926605504587156,1.7798165137614679,0.7956574923547398,0.9585626911314985
lemon,0.8794920634920635,0.872984126984127,3.6,1.8,0.8595238095238096,0.9395238095238095
like,0.874936507936508,0.9099410430839002,0.6952380952380952,2.4,0.877984126984127,0.9888888888888889
lime,0.7478730158730158,0.7664648526077097,3.0,1.0,0.722095238095238,0.9028571428571428
long,0.7969365079365077,0.8164580498866213,2.0,1.0,0.8180793650793652,0.8773015873015874
look,0.6981904761904763,0.7568526077097505,1.0,1.2,0.680952380952381,0.9292063492063493
lying,0.884107142857143,0.8861947278911565,2.4732142857142856,1.9642857142857142,0.8686607142857142,0.9467261904761904
object,0.5370535714285715,0.6547959183673469,0.9910714285714286,5.508928571428571,0.5178125,0.9953869047619047
orange,0.9656825396825396,0.9611247165532879,3.0,3.0,0.9423015873015873,0.9965079365079366
plum,0.8471428571428572,0.8269138321995465,3.5714285714285716,2.0,0.7562063492063492,0.9730158730158731
potato,0.8124126984126985,0.8241814058956917,3.0,1.0,0.8404603174603175,0.876984126984127
prism,0.8071111111111111,0.7992131519274377,3.676190476190476,2.0,0.7099047619047619,0.9774603174603175
purple,0.9686984126984127,0.969777777777778,3.4571428571428573,2.0,0.9794444444444445,0.9714285714285714
rectangle,0.8292539682539681,0.8426122448979593,3.0,1.0,0.8373492063492064,0.9123809523809525
rectangular,0.8451904761904764,0.8434965986394559,3.676190476190476,2.4,0.7710952380952382,0.9850793650793651
red,0.7676984126984127,0.7667777777777778,2.6,7.0,0.6482698412698412,1.0
ripe,0.9186309523809523,0.9252125850340137,2.875,1.5625,0.9546130952380952,0.9241071428571429
semi,0.6511111111111111,0.6939399092970521,3.0,1.0,0.6076984126984127,0.9067460317460316
semicircle,0.7935079365079365,0.8055918367346939,3.295238095238095,1.8,0.7390634920634921,0.9663492063492064
semicylinder,0.765,0.777390022675737,3.0,1.0,0.7383968253968253,0.9049206349206348
shape,0.5279510703363914,0.6250349497597203,2.541284403669725,5.431192660550459,0.48816513761467883,0.9964831804281344
shaped,0.5868154761904761,0.6544366496598639,2.875,4.1875,0.5241071428571428,0.9952380952380953
side,0.9414732142857142,0.9501296768707483,0.9375,5.8125,0.925967261904762,1.0
square,0.9059077380952382,0.9125382653061225,2.875,1.0,0.9627232142857142,0.897172619047619
tomato,0.8902063492063492,0.8871428571428572,3.057142857142857,1.4,0.9053968253968255,0.9131746031746031
toy,0.6336666666666666,0.6776825396825397,3.0,4.2,0.5412380952380952,1.0
triangle,0.8594920634920635,0.8556326530612246,3.0,1.0,0.8516190476190476,0.9122222222222222
triangular,0.8483015873015872,0.8490975056689342,3.0,1.0,0.8513968253968254,0.9025396825396824
vegetable,0.8885079365079367,0.8884625850340138,2.5047619047619047,1.8,0.8573015873015871,0.967936507936508
wedge,0.7924920634920636,0.8031451247165533,3.1714285714285713,1.6,0.7415238095238095,0.9501587301587303
white,0.8953571428571429,0.9132079081632654,2.875,1.0,0.9686309523809525,0.8985119047619047
yellow,0.7244196428571428,0.7293367346938775,3.25,5.026785714285714,0.6067559523809525,0.9973214285714286
