token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
wedge,0.8633333333333333,0.7666666666666666,1.0,0.8480952380952381,2,3
cylinder,0.7,0.6766666666666666,0.9,0.7554761904761904,2,4
square,0.8400000000000001,1.0,0.7166666666666667,0.82,1,3
apple,0.73,0.5583333333333333,0.9666666666666666,0.6923809523809523,2,3
ripe,0.9833333333333334,0.975,1.0,0.9857142857142858,2,3
look,0.7050000000000001,0.6583333333333333,0.9666666666666666,0.7771428571428572,1,1
cuboid,0.8216666666666667,0.76,0.9166666666666666,0.7916666666666667,1,3
half,0.6966666666666667,0.6033333333333333,1.0,0.7395238095238095,2,4
yellow,0.7916666666666667,0.6416666666666666,1.0,0.7590476190476191,6,3
bright,0.6849999999999999,0.5066666666666666,1.0,0.6461904761904762,3,4
carrot,0.9,1.0,0.8166666666666668,0.8866666666666667,1,3
lime,0.8883333333333333,1.0,0.85,0.9066666666666666,1,3
cut,0.7083333333333333,0.5333333333333332,0.95,0.6566666666666666,1,3
lemon,0.8833333333333332,1.0,0.8333333333333333,0.8933333333333332,1,3
purple,1.0,1.0,1.0,1.0,2,3
long,0.6166666666666666,0.5333333333333333,0.85,0.6371428571428572,1,2
prism,0.8833333333333334,0.9333333333333332,0.9333333333333332,0.9266666666666665,2,3
orange,1.0,1.0,1.0,1.0,4,3
toy,0.6083333333333333,0.4766666666666667,1.0,0.6261904761904762,5,3
circle,0.705,0.6416666666666666,0.9666666666666666,0.7419047619047617,2,4
semicylinder,0.7933333333333332,0.7833333333333333,0.8666666666666666,0.8,1,3
banana,0.5349999999999999,1.0,0.5333333333333332,0.6833333333333333,1,3
rectangle,0.8716666666666667,0.775,1.0,0.8523809523809524,1,3
tomato,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,2,3
head,0.975,1.0,0.95,0.9666666666666666,1,3
cube,0.7866666666666666,0.6833333333333333,1.0,0.8095238095238095,2,3
triangle,0.8783333333333333,0.8333333333333334,0.9166666666666666,0.8400000000000001,1,3
corn,0.9266666666666665,1.0,0.8833333333333332,0.9266666666666665,1,3
object,0.39166666666666666,0.39166666666666666,1.0,0.550952380952381,5,1
