conf_speech/audio_descriptions.csv_lemmed_stop.conf
conf_speech/audio_descriptions.csv_lemmed_stop.conf
conf_speech/audio_descriptions.csv_lemmed_stop.conf
conf_speech/audio_descriptions.csv_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
apple,0.4833333333333333,0.0,0.0,0.0,1,8
bell,0.6483333333333332,0.6,0.4499999999999999,0.5,1,8
jar,0.5916666666666666,0.55,0.7666666666666667,0.6166666666666668,1,8
frame,0.9466666666666667,1.0,0.9333333333333332,0.96,1,8
scissors,0.72,0.625,0.9,0.7123809523809524,1,8
pepper,0.6316666666666666,0.5333333333333333,0.55,0.4966666666666666,1,8
syringe,0.5916666666666667,0.0,0.0,0.0,1,8
measure,0.5533333333333333,0.0,0.0,0.0,1,8
marker,0.7300000000000001,0.5,0.41666666666666663,0.41666666666666663,1,8
allen,0.5933333333333334,0.0,0.0,0.0,1,8
label,0.9,0.925,0.9166666666666666,0.9157142857142858,1,8
hammer,0.7566666666666666,0.9,0.6499999999999999,0.7166666666666666,1,8
lime,0.7383333333333333,0.65,0.5333333333333333,0.5566666666666666,1,8
pink,0.9633333333333333,1.0,0.9166666666666666,0.9466666666666667,3,10
lemon,0.8533333333333333,1.0,0.7499999999999999,0.8366666666666667,1,8
toothpaste,0.7366666666666666,0.9,0.6499999999999999,0.7266666666666667,1,8
bowl,0.9466666666666667,1.0,0.9166666666666666,0.9466666666666667,1,8
mug,0.6716666666666666,0.7,0.4333333333333333,0.49000000000000005,1,8
plastic,0.5583333333333333,0.0,0.0,0.0,4,8
pen,0.63,0.4,0.21666666666666665,0.26666666666666666,1,8
book,0.7583333333333334,0.5,0.35,0.39666666666666667,1,8
black,0.8033333333333335,0.7166666666666666,1.0,0.8228571428571427,12,7
orange,0.5866666666666667,0.6,0.2333333333333333,0.3333333333333333,3,9
tape,0.6533333333333333,0.0,0.0,0.0,1,8
conf_speech/audio_descriptions.csv_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
apple,0.5166666666666667,0.0,0.0,0.0,1,8
bell,0.7066666666666667,0.5333333333333333,0.5,0.4966666666666666,1,8
jar,0.93,0.9666666666666666,0.9333333333333332,0.9400000000000001,1,8
frame,0.9266666666666665,1.0,0.8833333333333332,0.9266666666666665,1,8
scissors,0.9466666666666667,1.0,0.9333333333333332,0.96,1,8
pepper,0.45166666666666666,0.36666666666666664,0.6,0.44666666666666666,1,8
syringe,0.6533333333333333,0.0,0.0,0.0,1,8
measure,0.58,0.0,0.0,0.0,1,8
marker,0.6233333333333333,0.5,0.33333333333333337,0.3833333333333333,1,8
allen,0.6983333333333334,0.0,0.0,0.0,1,8
label,0.755,0.8,0.8666666666666666,0.8066666666666666,1,8
hammer,0.5599999999999999,0.45,0.6333333333333333,0.5133333333333334,1,8
lime,0.7916666666666667,1.0,0.75,0.8266666666666668,1,8
pink,0.9183333333333333,0.8,0.7333333333333333,0.76,3,10
lemon,0.74,0.8,0.5333333333333333,0.6133333333333333,1,8
toothpaste,0.7566666666666666,0.9,0.5666666666666667,0.6866666666666666,1,8
bowl,0.8966666666666667,1.0,0.8166666666666667,0.8800000000000001,1,8
mug,0.595,0.5,0.26666666666666666,0.32999999999999996,1,8
plastic,0.6266666666666666,0.0,0.0,0.0,4,8
pen,0.5966666666666667,0.3,0.11666666666666665,0.16666666666666666,1,8
book,0.6166666666666666,0.7,0.3,0.4133333333333334,1,8
black,0.8400000000000001,0.6916666666666667,1.0,0.7833333333333334,12,7
orange,0.715,0.5,0.25,0.31666666666666665,3,9
tape,0.5266666666666666,0.0,0.0,0.0,1,8
conf_speech/audio_descriptions.csv_lemmed_stop.conf
token,accuracy,precision,recall,f1,num_positive_instances,num_negative_instances
apple,0.49333333333333335,0.0,0.0,0.0,1,8
bell,0.7483333333333333,0.9,0.5,0.6266666666666667,1,8
jar,0.8966666666666667,0.85,0.9333333333333332,0.86,1,8
frame,0.9466666666666667,1.0,0.9333333333333332,0.96,1,8
scissors,0.8083333333333333,0.8666666666666666,0.8166666666666668,0.8233333333333335,1,8
pepper,0.625,0.65,0.4499999999999999,0.4966666666666667,1,8
syringe,0.315,0.0,0.0,0.0,1,8
measure,0.5633333333333332,0.0,0.0,0.0,1,8
marker,0.6166666666666667,0.1,0.05,0.06666666666666667,1,8
allen,0.5400000000000001,0.0,0.0,0.0,1,8
label,0.8433333333333334,0.8333333333333333,0.8833333333333332,0.8366666666666667,1,8
hammer,0.5850000000000001,0.4666666666666666,0.5499999999999999,0.49000000000000005,1,8
lime,0.8400000000000001,0.9,0.75,0.7966666666666666,1,8
pink,0.9266666666666667,1.0,0.85,0.9066666666666666,3,9
lemon,0.8016666666666665,0.9,0.6333333333333333,0.7233333333333334,1,8
toothpaste,0.8433333333333334,0.9,0.65,0.73,1,8
bowl,0.9800000000000001,1.0,0.9666666666666666,0.9800000000000001,1,8
mug,0.735,0.75,0.4999999999999999,0.5666666666666667,1,8
plastic,0.6966666666666667,0.0,0.0,0.0,4,8
pen,0.7916666666666667,0.6,0.4666666666666666,0.5,1,8
book,0.7966666666666666,0.8,0.4833333333333333,0.58,1,8
black,0.8233333333333335,0.7266666666666666,1.0,0.8230952380952381,12,7
orange,0.6183333333333334,0.55,0.35,0.3833333333333333,3,9
tape,0.5499999999999999,0.0,0.0,0.0,1,8
